Disenrollment Reason codes,,
,,
Advantasure,,HRP /Enrollment sparse value
Value in Memout file,Description,"Code entry for code set name=MemberTerminateReason

disenrollReason"
03,Date of Death,59
02,RELOCATION OUT OF PLAN SERVICE AREA (NO SPECIAL PROVISIONS),02CMS
,,CMS
03,FAILURE TO CONVERT TO RISK PROVISIONS,03CMS
04,FRAUD,04CMS
05,LOSS OF PART B ENTITLEMENT,05CMS
06,LOSS OF PART A ENTITLEMENT (PLAN-SPECIFIC),06CMS
07,FOR CAUSE,07CMS
08,REPORT OF DEATH,3
09,TERMINATION OF CONTRACT (CMS-INITIATED),09CMS
10,TERMINATION OF CONTRACT/Plan,10CMS
,Benefit Package (PBP)/SEGMENT (PLAN WITHDRAWAL),CMS
11,VOLUNTARY DISENROLLMENT THROUGH PLAN,11CMS
12,VOLUNTARY DISENROLLMENT THROUGH DISTRICT OFFICE,12CMS
13,DISENROLLMENT BECAUSE OF ENROLLMENT IN ANOTHER PLAN,13CMS
14,RETROACTIVE,14CMS
15,TERMINATED IN ERROR BY CMS SYSTEM,15CMS
16,END OF State and County Code (SCC) CONDITIONAL ENROLLMENT PERIOD,16CMS
,,CMS
17,BENE DOES NOT MEET AGE CRITERION (PLAN-SPECIFIC),17CMS
18,ROLLOVER,18CMS
19,TERMINATED BY Social Security Administration (SSA) DISTRICT OFFICE,19CMS
,,CMS
20,INVALID ENROLLMENT WITH End,20CMS
,Stage Renal Disease (ESRD),CMS
21,"CANNOT TRAVEL/POOR
HEALTH/TO Health Maintenance Organization (HMO)/PLAN DOCTORS",21CMS
,,CMS
22,SPOUSE IS NO LONGER MEMBER OF HMO/PLAN,22CMS
23,COULDN’T USE MEDICARE CARD TO SEE OTHER PLAN,23CMS
24,DID NOT KNOW I JOINED THIS HMO,24CMS
25,DIFFICULTY REACHING HMO/PLAN DOCTOR BY PHONE PROBLEM,25CMS
,,CMS
26,CALLED HMO/PLAN COULD NOT GET HELP WITH PROBLEM,26CMS
27,DISSATISFIED WITH MEDICAL CARE/DOCS OR HOSPITAL,27CMS
28,TOLD BY PLAN DOCTORS OR STAFF I SHOULD DISENROLL,28CMS
29,PREFER TRADITIONAL MEDICARE,29CMS
30,HAVE OTHER HEALTH INSURANCE BENEFITS AVAILABLE,30CMS
,,CMS
31,FOUND HMO/PLAN TO BE TOO CONFUSING,31CMS
32,MY CLAIMS/BILLS WERE NOT PAID,32CMS
33,HAD LITTLE OR NO CHOICE OF SPECIALIST,33CMS
34,TREATED DISCOURTEOUSLY BY DOCTOR/NURSE/STAFF,34CMS
35,DOCTOR COULDN’T IMPROVE MY CONDITION,35CMS
36,HMO/PLAN MEDICAL GROUP WAS LOCATED TOO FAR AWAY,36CMS
37,HAD LIMITED OR NO CHOICE OF MY PRIMARY DOCTOR,37CMS
41,YOU MOVED PERMANENTLY OUT OF AREA WHERE PLAN PROVIDES SERVIC,41CMS
,,CMS
42,YOUR DOCTOR OR THE PLAN TOLD YOU TO DISENROLL,42CMS
43,YOUR DOCTOR DIDN’T GIVE YOU GOOD QUALITY CARE,43CMS
44,YOU USED UP THE PRESCRIPTION ALLOWANCE,44CMS
45,THE PLAN COST YOU TOO MUCH,45CMS
46,YOU COULDN’T GET CARE WHEN YOU NEEDED IT,46CMS
47,YOUR DOCTOR ISN’T IN THE PLAN,47CMS
48,YOU DIDN’T KNOW YOU SIGNED UP FOR THIS PLAN,48CMS
49,YOU DIDN’T LIKE HOW THE PLAN WORKED,49CMS
50,ROLLED OVER ENROLLMENT REMOVED/AUDITED,50CMS
,,CMS
54,PART A OR B START DATE CHANGE,54CMS
56,BENEFICIARY MEDICAID PERIOD RECEIVED,56CMS
57,BENEFICIARY HOSPICE PERIOD RECEIVED,57CMS
59,INVALID ENROLLMENT WITH HOSPICE,59CMS
60,BENEFICIARY LIVES IN USA LESS THAN 183 DAYS A YEAR,60CMS
61,LOSS OF PART D ELIGIBILITY,61CMS
62,PART D DISENROLLMENT DUE TO FAILURE TO PAY IRMAA,62CMS
63,MMP (Medicare and Medicaid Plan) OPT-OUT AFTER ENROLLED,63CMS
64,LOSS OF DEMONSTRATION ELIGIBILITY,64CMS
65,LOSS OF EMPLOYER GROUP PLAN ELIGIBILITY,65CMS
70,CONFIRMED INCARCERATION,70CMS
71,NOT LAWFULLY PRESENT,71CMS
72,DISENROLLMENT DUE TO PLAN- SUBMITTED ROLLOVER,72CMS
88,CONVERSION,88CMS
90,ENROLLMENT CANCELLED DUE TO BENEFICIARY MERGE,90CMS
91,FAILURE TO PAY PREMIUMS,91CMS
92,RELOCATION OUT OF PLAN SERVICE AREA,92CMS
93,LOST SPECIFIC PLAN ELIGIBILITY (Special Needs Plan (SNP) ONLY),93CMS
99,OTHER (NOT SUPPLIED BY BENE),99CMS
Y8,REPORT OF DEATH DATE CHANGE,Y8CMS
