EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Hardcoded Values,TABLE/COLUMN NAME,Mapping Logic
ISA,,,,,,,,
ISA01,Authorization Information Qualifier,Authorization Information Qualifier,R,"00 No Authorization Information Present (No Meaningful Information in I02)
03 Additional Data Identification",,"Hardcode as ""00""",,
ISA02,Authorization Information,Authorization Information,R,,,Leave it blank,,
ISA03,Security Information Qualifier,Security Information Qualifier,R,"00 No Security Information Present (No Meaningful Information in I04)
01 Password",,"Hardcode as ""00""",,
ISA04,Security Information,Security Information,R,,,Leave it blank,,
ISA05,Interchange ID Qualifier,Interchange ID Qualifier,R,ZZ Mutually Defined,,"Hardcode as ""ZZ""",,
ISA06,Interchange Sender ID,Interchange Sender ID,R,,,,RECEIVERID,
ISA07,Interchange ID Qualifier,Interchange ID Qualifier,R,ZZ Mutually Defined,,"Hardcode as ""ZZ""",,
ISA08,Interchange Receiver ID,Interchange Receiver ID,R,,,,SENDERID,
ISA09,Interchange Date,Interchange Date,R,,,"Map this value from  current date in the format of ""YYMMDD""",,
ISA10,Interchange Time,Interchange Time,R,,,Map this value from   current time in the format of HHMM,,
ISA11,Repetition Separator,Repetition Separator,R,,,"Hardcode as ""^""",,
ISA12,Interchange Control Version Number,Interchange Control Version Number,R,,,Hardcode as “00501”,,
ISA13,Interchange Control Number,Interchange Control Number,R,,,Unique ISA control number needs to generated in Edifecs for each EDI file.,,
ISA14,Acknowledgment Requested,Acknowledgment Requested,R,"0 No Interchange Acknowledgment Requested
1 Interchange Acknowledgment Requested (TA1)",,"Hardcode as ""0""",,
ISA15,Interchange Usage Indicator,Interchange Usage Indicator,R,"P Production Data
T Test Data",,"""P""  if it is a Production region
""T""  if it is a Non-Production region",,
ISA16,Component Element Separator,Component Element Separator,R,,,"Hardcode  as "":""",,
GS,Segment: Functional Group Header,,R,,,,,
GS01,Functional Identifier Code,Code identifying a group of application related transaction sets,R,,,Hardcode as “HN”,,
GS02,Application Sender's Code,Code identifying party sending transmission; codes agreed to by trading partners,R,,,,RECEIVERID,
GS03,Application Receiver's Code,Code identifying party receiving transmission; codes agreed to by trading partners,R,,,,SENDERID,
GS04,Date,Date the Group Header is created.,R,,,"Map this value from  current date in the format of ""YYYYMMDD""",,
GS05,Time,"Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99)",R,,,"Map this value from current Time in the format of ""HHMM""",,
