277CA REPO TABLE,EDI 837 Placeholder/DefaultValue
RECORD_ID,Record id
RAY_ID,Ray id
CLAIM_TYPE,"I FOR 837I, P FOR 837P"
SENDERID,ISA06
RECEIVERID,ISA08
CLAIM_RECEIVED_DATE,"Current Date, CCYYMMDD"
PAYER_NAME,2010BB.NM103
PAYER_ID,2010BB.NM109
SUBMITTER_LNAME,1000A.NM103
SUBMITTER_FNAME,1000A.NM104
SUBMITTER_MNAME,1000A.NM105
SUBMITTER_ID,1000A.NM109
EXTERNAL_CLAIM_BATCH_NO,BHT03
BILLED_AMT,2300.CLM02
BILLINGPROVIDER_LNAME,2010AA.NM103
BILLINGPROVIDER_FNAME,2010AA.NM104
BILLINGPROVIDER_MNAME,2010AA.NM105
BILLINGPROVIDER_SUFFIX,2010AA.NM106
BILLINGPROVIDER_ID,2010AA.NM109
PATIENT_LNAME,Map from 2010CA.NM103 if present else from 2010BA.NM103
PATIENT_FNAME,Map from 2010CA.NM104 if present else from 2010BA.NM104
PATIENT_MNAME,Map from 2010CA.NM105 if present else from 2010BA.NM105
PATIENT_SUFFIX,Map from 2010CA.NM107 if present else from 2010BA.NM107
PATIENT_ID,2010BA.NM109
FACILITY_TYPE_CODE,2300.CLM05-1
FREQUENCY_CODE,2300.CLM05-3
SERVICE_DATE,"2400.DTP*472 - earliest service level dates in loop 2400 (DTP01-472) to the latest service level
date(Proff/2300.DTP*434 (Inst)"
PATIENT_CONTROL_NUMER,2300.CLM01
CLEARINGHOUSE_TRACENO,2300.REF*D9
CLAIM_STATUS,
CLAIM_HCCID,
CLAIM_LOAD_STATUS,
INPUT_FILE_NAME,
INPUT_ID,
ACK_CREATED_TIME,
ERROR_DESCRIPTION,
RETRY_FLAG,
SOURCE_DATA_CREATED_TIME,
SOURCE_DATA_UPDATED_TIME,
