277CA REPO TABLE,Data Type/Length
RECORD_ID,VARCHAR(50)
RAY_ID,VARCHAR(50)
CLAIM_TYPE,VARCHAR(30)
SENDERID,VARCHAR(15)
RECEIVERID,VARCHAR(15)
CLAIM_RECEIVED_DATE,DATE(10)
PAYER_NAME,VARCHAR(60)
PAYER_ID,VARCHAR(80)
SUBMITTER_LNAME,VARCHAR(60)
SUBMITTER_FNAME,VARCHAR(35)
SUBMITTER_MNAME,VARCHAR(25)
SUBMITTER_ID,VARCHAR(80)
EXTERNAL_CLAIM_BATCH_NO,VARCHAR(50)
BILLED_AMT,NUMERIC(18)
BILLINGPROVIDER_LNAME,VARCHAR(60)
BILLINGPROVIDER_FNAME,VARCHAR(35)
BILLINGPROVIDER_MNAME,VARCHAR(25)
BILLINGPROVIDER_SUFFIX,VARCHAR(10)
BILLINGPROVIDER_ID,VARCHAR(80)
PATIENT_LNAME,VARCHAR(60)
PATIENT_FNAME,VARCHAR(35)
PATIENT_MNAME,VARCHAR(25)
PATIENT_SUFFIX,VARCHAR(10)
PATIENT_ID,VARCHAR(80)
FACILITY_TYPE_CODE,VARCHAR(2)
FREQUENCY_CODE,VARCHAR(1)
SERVICE_DATE,VARCHAR(35)
PATIENT_CONTROL_NUMER,VARCHAR(50)
CLEARINGHOUSE_TRACENO,VARCHAR(50)
CLAIM_STATUS,VARCHAR(50)
CLAIM_HCCID,VARCHAR(30)
CLAIM_LOAD_STATUS,VARCHAR(30)
INPUT_FILE_NAME,VARCHAR(255)
INPUT_ID,VATCHAR(100)
ACK_CREATED_TIME,DATETIME
ERROR_DESCRIPTION,VARCHAR(5000)
RETRY_FLAG,VARCHAR(10)
SOURCE_DATA_CREATED_TIME,DATETIME
SOURCE_DATA_UPDATED_TIME,DATETIME
