##,I Network Fields,Cooper Fields Mapping,Mapping Rules,
1,Service Market,Service Market,,
2,Provider NPI,Provider NPI,,
3,First Name,First Name,,
4,Last Name,Last Name,,
5,Degree,Degree,,
6,Primary Specialty,"1. Taxonomy Code for the 1st record
2. Secondary Specialty(if exist) Split and map an additional record with the specialty into I N/w output (second record)",,
7,Secondary Specialty,,Leave Blank,
8,PCP or Specialist?,PCP or Specialist?,,
9,Hospital Based?,Hospitalist?,,
10,Board Certified?,Board Certified?,Do not Map,
11,Board Name (certifying board name),Board Name,Do not Map,
12,DEA Number,DEA #,"Do not Map if one of the following values are received (Pending, Not Required)",
13,CDS (If Applicable),CDS #,"Do not Map if one of the following values are received (Pending, Not Required)",
14,Medical License Number,License #,"Do not Map if one of the following values are received (Pending, Not Required)",
15,Medical School Name,Medical School Name,,
16,Medical School Grad Year,Medical School Grad Year,"Map only if year ""YYYY"" is passed on the record",
17,Social Security Number,Social Security #,,
18,DOB,DOB,"Convert date format to ""MM-DD-YYYY""",
19,Gender,Gender,"Expected values - M,F,Male,Female,MALE,FEMALE

Map ""Male"" if input value is ""M"" or ""Male"" or ""MALE""
Map ""Female"" if input value is ""F"" or ""Female"" or ""FEMALE""","MALE, FEMALE is also considered- Remya"
20,Original Credential Date,,Do not Map,
21,Most Recent Credential Date,,Do not Map,
22,Next Reappointment Date,,Do not Map,
23,Additional Languages?,Additional Languages?,Example - English; Indonesian; Chinese; Mandarin,
24,Active Date,Active Date,"Convert date format to ""MM-DD-YYYY""",
25,Practice/Group Name,Practice/Group Name,,
26,Practice/Group NPI,Practice/Group NPI,,
27,Site Name,,Direct Map,
28,Provider's Primary Location?,,"Default it to ""N""",
29,List Location in Directory?,List Location in Directory?,"IF ""Hospitalist?"" is ""Y"" or ""YES"". Then Map it as ""No""
Else Map it to ""Yes"" in case if no values is received","Yes, yes is also considered- Remya"
30,"Panel Status (Accepting New Patients, Accepting Existing Patients, Closed)","Panel Status (Accepting New Patients, Accepting Existing Patients, Closed)","Map ""Yes"" if one of the following values are received - Accepting New Patients, Accepting Existing Patients separately or in combinations or blank

Map it to ""No"" for all other cases",
31,Provider Email,Provider Email,,
32,Service Address,Service Address,,
33,Service Address 2,Service Address 2,,
34,Service Location City,Service Location City,,
35,Service Location State,Service Location State,"If length of state is <> 2 characters
 Lookup State names against crosswalk to get the 2 digit code and map that code
Else
 Map the input state as-is",
36,Service Location Zip,Service Location Zip,Map only first 5 digit numeric,
37,Service Location County,Service Location County,,
38,Service Location Phone,Service Location Phone,"Remove ""(""
Remove ""-""
Remove Spaces
Convert to phone number format (xxxxxxxxxx)
Expected formats - (856) 508-1000, 856-508-1000",
39,Service Location Fax,Service Location Fax,"Remove ""(""
Remove ""-""
Remove Spaces
Convert to phone number format (xxxxxxxxxx)
Expected formats - (856) 508-1000, 856-508-1000",
40,Tax ID,Tax ID,"1. Remove ""-""
Reject -
If Length <>9",
41,Remit Address,Remit Address,,
42,Remit Address 2,Remit Address 2,,
43,Remit Address City,Remit Address City,,
44,Remit Address State,Remit Address State,"If length of state is <> 2 characters
 Lookup State names against crosswalk to get the 2 digit code and map that code
Else
 Map the input state as-is",
45,Remit Address Zip,Remit Address Zip,Map only first 5 digit numeric,
46,Billing Phone,Billing Phone,"Remove ""(""
Remove ""-""
Remove Spaces
Convert to phone number format (xxxxxxxxxx)
Expected formats - (856) 508-1000, 856-508-1000",
47,Billing Fax,Billing Fax,"Remove ""(""
Remove ""-""
Remove Spaces
Convert to phone number format (xxxxxxxxxx)
Expected formats - (856) 508-1000, 856-508-1000",
