##,I Network Fields,NorthSide Fields Mapping,Mapping Rules
1,Service Market,,
2,Provider NPI,Provider NPI,
3,First Name,First Name,
4,Last Name,Last Name,
5,Degree,Degree,
6,Primary Specialty,Taxonomy,
7,Secondary Specialty,,
8,PCP or Specialist?,PCP_SPC_HospBased,"Expected values - PCP, SPC, Hospital Based, Urgent Care

Map ""PCP"" if input value is ""PCP""
Map ""Specialist"" if input value is ""SPC""
Map ""Specialist"" if input value is ""Hospital Based""
Map ""Specialist"" if input value is ""Urgent Care"""
9,Hospitalist?,PCP_SPC_HospBased,"Expected values - PCP, SPC, Hospital Based, Urgent Care

Map ""Y"" if input value is ""Hospital Based""
Map ""N"" in all other cases"
10,Board Certified?,,
11,Board Name (certifying board name),,
12,License #,GA License Number,
13,DEA #,DEA#,
14,CDS # (If Applicable),,
15,Social Security #,,
16,Medical School Name,,
17,Medical School Grad Year,,
18,DOB,DOB,"Convert date format to ""YYYY-MM-DD"""
19,Gender,Gender,"Expected values - M,F,Male,Female

Map ""Male"" if input value is ""M""
Map ""Female"" if input value is ""F"""
20,Additional Languages?,,
21,Active Date,Requested Effective Date,"Convert date format to ""YYYY-MM-DD"""
22,Practice/Group Name,Practice Name,
23,Practice/Group NPI,Group NPI,
24,Provider's Primary Location?,,"Default it to ""N"""
25,List Location in Directory?,,"IF ""PCP_SPC_HospBased"" is ""Hospital Based"" Then Map it as ""No""
Else Map it to ""Yes"" in case if no values is received"
26,"Panel Status (Accepting New Patients, Accepting Existing Patients, Closed)",,"Map ""Yes"" if one of the following values are received - Accepting New Patients, Accepting Existing Patients

Default it to ""Yes"" in case of no values present"
27,Provider Email,,
28,Service Address,Address,
29,Service Address 2,Address_2,
30,Service Location City,City,
31,Service Location State,State,
32,Service Location Zip,Zip Code,Map only first 5 digit numeric
33,Service Location County,Provider Address County,
34,Service Location Phone,Phone,"Remove ""(""
Remove ""-""
Remove Spaces
Convert to phone number format (xxxxxxxxxx)
Expected formats - (856) 508-1000, 856-508-1000"
35,Service Location Fax,Fax,"Remove ""(""
Remove ""-""
Remove Spaces
Convert to phone number format (xxxxxxxxxx)
Expected formats - (856) 508-1000, 856-508-1000"
36,Tax ID,Tax ID,"Remove ""-"""
37,Remit Address,<Not in Source file. Checking internally how these values are updated>,
38,Remit Address 2,<Not in Source file. Checking internally how these values are updated>,
39,Remit Address City,<Not in Source file. Checking internally how these values are updated>,
40,Remit Address State,<Not in Source file. Checking internally how these values are updated>,
41,Remit Address Zip,<Not in Source file. Checking internally how these values are updated>,Map only first 5 digit numeric
42,Billing Phone,,
43,Billing Fax,,
