Billing Entity Name,Tax Id,NPI,Remittance Address,City,State,Zip,Phone,Fax
"Gwinnett Physician Group, LLC",20-4553410,1578574661,P O Box 930223,Atlanta,GA,31193-0223,(678)223-7932,(678)956-8966
North Atlanta Professional Services LLC,20-5106086,1316959869,PO Box 935257,Atlanta,GA,31193-5257,(678)223-7781,(770)989-1703
Northside Cardiovascular Professional Services LLC,33-1105310,1518979921,PO Box 935560,Atlanta,GA,31193-5560,(678)223-7928,(770)989-1709
Northside Primary Care Professional Services LLC,45-1259435,1922397553,PO Box 935544,Atlanta,GA,31193-5544,(678)223-7932,(770)989-1709
Northside Surgical Professional Services LLC,45-1259671,1356630990,PO Box 935552,Atlanta,GA,31193-5552,(678)223-7924,(770)989-1709
AGA Professional Services LLC,45-3694469,1063799120,PO Box 935329,Atlanta,GA,31193-5329,(678)223-7750,(770)989-1703
NSH Cancer Institute Professional Services A LLC,46-0667707,1215288378,PO Box 935547,Atlanta,GA,31193-5547,(404)419-1140,(404)419-1164
NSH Cancer Institute Professional Services G LLC,46-0676654,1144571381,PO Box 935561,Atlanta,GA,31193-5561,(404)491-3610,(678)868-2002
"Gwinnett Cardiology Services, LLC",46-1977635,1306185491,P O Box 930446,Atlanta,GA,31193-0446,(866)929-0776,(   )   -
Medical Associates Professional Services LLC,46-3806922,1083041867,PO Box 936160,Atlanta,GA,31193-6160,(678)223-7932,(770)989-1709
Georgia Surgical Professional Services LLC,46-3858353,1801224506,PO Box 936166,Atlanta,GA,31193-6166,(678)223-7932,(770)989-1709
"Gwinnett Hospital System GME, LLC",46-5634252,1780076927,P O Box 930389,Atlanta,GA,31193-0389,(678)312-5600,(770)339-2120
Urological Professional Services LLC,46-5754759,1033521810,PO Box 932285,Atlanta,GA,31193-2285,(678)284-4040,(678)284-4076
Perimeter Professional Services LLC,47-1088986,1235543620,PO Box 932306,Atlanta,GA,31193-2306,(678)223-7932,(770)989-1709
Northside Urgent Care Holding LLC,47-1625673,1679962237,PO Box 934218,Atlanta,GA,31193-4218,(770)989-1755,(770)989-1703
Urology Specialists of Atlanta North LLC,47-2619158,1265821110,PO Box 101458,Atlanta,GA,30392-1458,(678)223-7932,(770)989-1709
Advanced Joint Surgery Specialists LLC,47-4793694,1477929206,PO Box 931324,Atlanta,GA,31193-1324,(678)223-7924,(770)989-1709
AGA Clinical Services LLC,81-1319493,1295193399,PO Box 931275,Atlanta,GA,31193-1275,(678)631-4614,(678)631-4615
"North Atlanta Eye Care Professional Services, LLC",82-3273795,1154834505,P O Box 936501,Atlanta,GA,31193-6501,(678)892-2020,(678)538-1950
"Northside SEPC Professional Services, LLC",82-5334312,1265920029,P O Box 936590,Atlanta,GA,31193-6590,(770)716-7999,(770)716-8444
"Northeast Georgia Diagnostic Associates and Clinic, LLC",82-5415284,1144719311,PO Box 936587,Atlanta,GA,31193-6587,(770)536-9864,(770)297-5023
"North Atlanta Oncology Services, LLC",83-4237605,1871055434,P O Box 930159,Atlanta,GA,31193-0159,(770)963-8030,(770)339-9577
"Northside Gwinnett Surgical Associates, LLC",83-4390271,1679136824,P O Box 930348,Atlanta,GA,31193-0348,(678)223-7932,(678)956-8966
"Northside Cardiovascular Institute, LLC",84-1936693,1962060368,P O Box 930631,Atlanta,GA,31193-0631,(678)223-7932,(678)956-8966
"Sports Medicine South of Gwinnett, LLC",85-0900005,1265053110,P O Box 934216,Atlanta,GA,31193-4216,(678)223-7932,(678)956-8966
"Northside CV Professional Services, LLC",85-1277546,1821612938,PO Box 932611,Atlanta,GA,31193-2611,(301)990-3995,(301)971-3858
"Advanced Neurosurgery Associates, LLC",85-2031927,1356959969,P O Box 936768,Atlanta,GA,31193-6768,(678)223-7932,(678)956-8966
"North Atlanta Anesthesia Professionals, LLC",88-2051065,1982349296,P O Box 931567,Atlanta,GA,31193-1567,(800)250-7603,(302)709-2414
