EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic/ Comments,
ISA,Segment: Interchange Control Header,,R,,,,,
ISA01,Authorization Information Qualifier,Code identifying the type of information in the Authorization Information,R,00 : No Authorization Information Present,00,,,
ISA02,Authorization Information,,R,Blank (10 spaces),Blank (10 spaces),,,
ISA03,Security Information Qualifier,Code identifying the type of information in the Security Information,R,00 : No Security Information Present,00,,,
ISA04,Security Information,"security information about the interchange sender
or the data in the interchange",R,Blank (10 spaces),Blank (10 spaces),,,
ISA05,Interchange ID Qualifier,radin,R,ZZ : Mutually Defined,ZZ,,,
ISA06,Interchange Sender ID,Sender ID,R,<Sender ID>,Product,,,
ISA07,Interchange ID Qualifier,"Code indicating the system/method of code structure used to designate the
sender or receiver ID element being qualified",R,ZZ : Mutually Defined,ZZ,,,
ISA08,Interchange Receiver ID,Receiver Id,R,<Receiver ID>,Product,,,
ISA09,Interchange Date,Date of the interchange,R,SysDate (YYMMDD),SysDate (YYMMDD),,,
ISA10,Interchange Time,Time of the interchange,R,SysTime (HHMM),SysTime (HHMM),,,
ISA11,Interchange Control Standards Identifier,,R,^,^,,,
ISA12,Interchange Control Version Number,Code specifying the version number of the interchange control segments,R,00501,00501,,,
ISA13,Interchange Control Number,A control number assigned by the interchange sender,R,,Generate ID In EDIFECS (9 Bytes),"Must be a fixed length with nine (9) characters and match IEA02 Used to identify file level duplicate collectively with GS06, ST02, and BHT03",,
ISA14,Acknowledgment Requested,Code indicating sender’s request for an interchange acknowledgment,R,"0 : No Interchange Acknowledgement Requested
1 : Interchange Acknowledgment Requested",1,,,
ISA15,Interchange Usage Indicator,"Code indicating whether data enclosed by this interchange envelope is test,
production or information",R,P : Production Data T : Test,"P for Prod
T for Test",,,
ISA16,Component Element Separator,The delimiter used to separate component data elements,R,": = Element separator
~ = Segment Terminator",,,,
GS,Segment: Functional Group Header,,R,,,,,
GS01,Functional Identifier Code,The two-character identifier Code for the transaction set included.,R,HC : Health Care Claim (837),HC,,,
GS02,Application Senders Code,"Code identifying party sending transmission,  codes agreed to by trading partners
This is Submitter-specific.",R,<Sender ID>,Product,,,
GS03,Application Receivers Code,Code identifying party receiving transmission; codes agreed to by trading partners,R,<HealthPlan ID>/,Product,This value must match the value in ISA08 without the padding,,
GS04,Date,Date the Group Header is created.,R,SysDate (YYYYMMDD),SysDate (YYYYMMDD),,,
