Column Name,DataType,Min Value,Max Value,Remarks
FileLevel_Identifier,VARCHAR,0,100,UID
Vendor_Identifier,VARCHAR,0,100,PRODUCT
Submitter_Name,VARCHAR,1,130,1000B - NM103(60) + NM104(35) + NM105(25) (Submitter)  + 2(delimiter)
FileInput_Type,VARCHAR,0,30,EDI
Input_File_Name,VARCHAR,0,255,FileName
Input_Archive_Name,VARCHAR,0,255,Archived Name
Transaction_RecordIdentifier_Source,VARCHAR,1,50,REF*EJ --> 02 Value
Patient_Identification_Number,VARCHAR,2,80,1000D - NM109
Provider_Id,VARCHAR,2,80,1000C - NM109
Provider_Name,VARCHAR,1,80,1000C - NM103(3) + NM104(35) + NM105(25) + NM107(10)  + 3(delimiter)
Patient_Name,VARCHAR,1,140,1000D - NM103(60) +  NM104(35) + NM105(25) + NM107(10  + 3(delimiter))
AttachmentLevel_Identifier,VARCHAR,0,50,GUID
Attachment_RecordIdentifier_Source,VARCHAR,1,50,2000A - TRN02 | Attachment Controm Number
Attachment_Name,VARCHAR,0,255,AttachmentLevelID(TRN02).Extension
Total_Attachment_Count,VARCHAR,0,10,Total Attachment Count
Process_Stage_Name,VARCHAR,0,100,Stage Name
Process_Status,VARCHAR,0,20,Status - Success or Failure
Error_Message,VARCHAR,0,5000,Error message from LDNS
Audit_Time,VARCHAR,,25,Format - {CDT[yyyy-MM-dd HH:mm:ss.SSS]}
Created_Time,datetime,not null,,
