EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Mapped to XSD element,HRP Element Description,Transformation Logic,Comments /Needs to review,
ISA - Interchange Control Header Segment,,,,,,,,,,
ISA01,Authorization Information Qualifier,Code identifying the type of information in the Authorization Information,R,00 : No Authorization Information Present,,,,,,
ISA02,Authorization Information,Code identifying the type of information in the Authorization Information,R,"00: No Authorization Information Present (No
Meaningful Information in I02)
03:Additional Data Identification",,,,,,
ISA03,Security Information Qualifier,Code identifying the type of information in the Security Information,R,00,,,,,,
ISA04,Security Information,"security information about the interchange sender
or the data in the interchange",R,Blank (10 spaces),,,,,,
ISA05,Interchange ID Qualifier,"Code indicating the system/method of code structure used to designate the
sender or receiver ID element being qualified",R,ZZ - Mutually Defined,,,,,,
ISA06,Interchange Sender ID,"Identification code published by the sender for other parties to use as the receiver
ID to route data to them; the sender always codes this value in the sender ID
element",R,<Sender ID>,Example: 100SS,institutionalClaimIBRequestRoot/header/senderId,Sender ID from EDI837 X12 will be mapped to the header of each claim bundle.,,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/tradingPartnerID,Sender ID from EDI837 X12 will be mapped to the Trading Partner ID.,,,
,,,,,,institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/claimSource,"Reference to the ClaimSource
codeset.",,,
ISA07,Interchange ID Qualifier,"Code indicating the system/method of code structure used to designate the
sender or receiver ID element being qualified",R,ZZ,,,,,,
ISA08,Interchange Receiver ID,Receiver Id,R,<Receiver ID>,,institutionalClaimIBRequestRoot/header/receiverId,Receiver ID from EDI837 X12 will be mapped to the header of each claim bundle.,,,
ISA09,Interchange Date,Date of the interchange,R,SysDate (YYMMDD),Example : 220915,,,,,
ISA10,Interchange Time,Time of the interchange,R,SysTime (HHMM),Example : 0145,,,,,
ISA11,Repetition Separator,"the repetition separator is a delimiter and not a data
element; this field provides the delimiter used to separate repeated occurrences
of a simple data element or a composite data structure; this value must be
different than the data element separator, component element separator, and the
segment terminator",R,^,,,,,,
ISA12,Interchange Control Version Number,Code specifying the version number of the interchange control segments,R,00501,,,,,,
ISA13,Interchange Control Number,A control number assigned by the interchange sender,R,,Exaample:000004846,,,,,
ISA14,Acknowledgment Requested,Code indicating sender’s request for an interchange acknowledgment,R,1= Interchange Acknowledgment Requested,,,,,,
ISA15,Interchange Usage Indicator,"Code indicating whether data enclosed by this interchange envelope is test,
production or information",R,P=Production,,,,,,
