EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Encounter Mapping,HRP Element Description,Transformation Logic,Comments
ISA (Interchange Control Header Segment),,,,,,,,,
ISA,Segment: Interchange Control Header,,R,,,,,,
ISA01,Authorization Information Qualifier,Code identifying the type of information in the Authorization Information,R,00 : No Authorization Information Present,,,,,
ISA02,Authorization Information,,R,Blank (10 spaces),,,,,
ISA03,Security Information Qualifier,Code identifying the type of information in the Security Information,R,00 : No Security Information Present,,,,,
ISA04,Security Information,"security information about the interchange sender
or the data in the interchange",R,Blank (10 spaces),,,,,
ISA05,Interchange ID Qualifier,radin,R,ZZ : Mutually Defined,,,,,
ISA06,Interchange Sender ID,Sender ID,R,<Sender ID>,,professionalClaimIBRequestRoot/header/senderId,Sender ID from EDI837 X12 will be mapped to the header of each claim bundle.,,
,,,,<Sender ID>,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/tradingPartnerID,Sender ID from EDI837 X12 will be mapped to the Trading Partner ID.,,
,,,,<Sender ID>,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/claimSource,,"Crosswalk Name : P_IB_837_ClaimSourceLookup
•Provide the Sender Id and Receiver Id as the source columns.
•Provide the ClaimSource and ClaimDeliveryType as the target columns.
HRP values:
1. External system Pharmacy Claims
2. TRUHEARING",
ISA07,Interchange ID Qualifier,"Code indicating the system/method of code structure used to designate the
sender or receiver ID element being qualified",R,ZZ : Mutually Defined,,,,,
ISA08,Interchange Receiver ID,Receiver Id,R,<Receiver ID>,,professionalClaimIBRequestRoot/header/receiverId,Receiver ID from EDI837 X12 will be mapped to the header of each claim bundle.,,
ISA09,Interchange Date,Date of the interchange,R,SysDate (YYMMDD),Example : 210630,,,,
ISA10,Interchange Time,Time of the interchange,R,SysTime (HHMM),Example : 1732,,,,
ISA11,Interchange Control Standards Identifier,,R,^,,,,,
ISA12,Interchange Control Version Number,Code specifying the version number of the interchange control segments,R,00501,,,,,
ISA13,Interchange Control Number,A control number assigned by the interchange sender,R,,Example : 319003402,,,,
ISA14,Acknowledgment Requested,Code indicating sender’s request for an interchange acknowledgment,R,"0 : No Interchange Acknowledgement Requested
1 : Interchange Acknowledgment Requested",,,,,
ISA15,Usage Identifier,"Code indicating whether data enclosed by this interchange envelope is test,
production or information",R,P : Production Data T : Test,,,,,
ISA16,Component Element Separator,The delimiter used to separate component data elements,R,": = Element separator
~ = Segment Terminator",,,,,
GS (Functional Group Header),,,,,,,,,
GS,Segment: Functional Group Header,,R,,,,,,
GS01,Functional Identifier Code,The two-character identifier Code for the transaction set included.,R,HC : Health Care Claim (837),,,,,
GS02,Application Senders Code,"Code identifying party sending transmission,  codes agreed to by trading partners
This is Submitter-specific.",R,<Sender ID>,,,,,
GS03,Application Receivers Code,Code identifying party receiving transmission; codes agreed to by trading partners,R,<HealthPlan ID>/,,,,,
GS04,Date,Date the Group Header is created.,R,SysDate (YYYYMMDD),Example : 210630,,,,
GS05,Time,Time the Group Header is created.,R,SysTime (HHMM),Example : 1732,,,,
GS06,Group Control Number,Submitter-specific number.,R,<Group Control Number>,319003402,,,,
GS07,Responsible Agency Code,Code identifying the issuer of the EDI standard being used.,R,X : Accredited Standards Committee X12,,,,,
GS08,Version/Release/Industry Identifier Code,"Code indicating the version, release, subrelease, and industry identifier of the EDI
standard being used,
ST03 and GS08 must be identical",R,005010X222A1,,,,,
ST (Transaction Set Header),,,,,,,,,
ST,Segment: Transaction Set Header,,R,,,,,,
ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,R,837 : Health Care Claim,,,,,
ST02,Transaction Set Control Number,Unique Sequential Number Assigned by Internal Processes for each Transaction Set. Starts from 001 and increments with each transaction set,R,"<Transaction set Control Number>
Starts from 001 and increments with each transaction set",319003402,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/externalBatchSequenceNumber,,,
ST03,Implementation Convention Reference,Standards Approved by ACS X12 Review Board.                 ST03 and GS08 must be identical,R,005010X222A1,,,,,
BHT,Segment: Beginning Of Hierarchical Transaction,,R,,,,,,
BHT01,Hierarchical Structure Code,Code indicating the hierarchical application structure of a transaction set,R,"0019 : Information Source, Subscriber, Dependent",,,,,
BHT02,Transaction Set Purpose Code,"Code identifying purpose of transaction set.  Used to convey the electronic transmission status of
the 837 batch",R,"00 : Original
18 : Reissue",,,,,
BHT03,Reference Identification,Reference information as defined for a particular Transaction Set,R,<Originator Application Transaction Identifier>,319003402,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/externalClaimBatchNumber,"Batch number assigned by external
system.",,
BHT04,Date,The date the transaction was created,R,SysDate (YYYYMMDD),20210630,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/cleanClaimDate,"Mapped from BHT04, formatted to YYYY-MM-DD
Date as of which all of the information
necessary to process the
claim was received. This information
can be used to determine
whether interest should be calculated
on the claim. -- reflected in Clean Claim Date at claim line level",,
,,,,SysDate (YYYYMMDD),,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/receiptDate,"Mapped from BHT04, formatted to YYYY-MM-DD

Date on which the Health Care Company
was first made aware- of the
claim. - reflected as Received Date in HRP UI",,
BHT05,Time,The time the transaction was created,R,SysTime (HHMMSS),173250,,,,
BHT06,Transaction Type Code,Code specifying the type of transaction,R,"CH- Chargeable
RP- Reporting",,,,,
Loop 1000A — SUBMITTER NAME (Required)  Loop Repeat: 1,,,,,,,,,
NM1,Segment NM1 - Submitter Name  (Required),,R,,,,,,
1000A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,41 : Submitter,,,,,
1000A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-person Entity",,,,,
1000A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/submitterName,<Submitter Last/Org Name>,,
1000A.NM104,Name First,Individual first name,S,,,,,,
1000A.NM105,Name Middle,Individual middle name or initial,S,,,,,,
