MAINTENANCE REASON CODES  - 2000.INS04,,,Member Level Dates  - 2000.DTP01,,,Race Codes - 2100A.DMG05 - 1,
ID,VALUE,,Code,Description,,Code,Description
01,Divorce,,286,Retirement,,7,Not Provided
02,Birth,,336,"Employment Begin
New Hire",,8,Not Applicable
03,Death,,337,Employement End,,A,Asian or Pacific Islander
04,Retirement,,394,Rehire,,B,Black
05,Adoption,,338,Medicare Begin,,C,Caucasian
06,Strike,,339,Medicare End,,D,Subcontinent Asian American
07,Termination of Benefits,,301,Consolidated Omnibus Budget Reconciliation Act,,E,Other Race or Ethnicity
08,Termination of Employment,,303,Maintenance Effective,,F,Asian Pacific American
09,Consolidation Omnibus Budget Reconciliation Act (COBRA),,340,COBRA Begin,,G,Native American
10,Consolidation Omnibus Budget Reconciliation Act (COBRA) Premium Paid,,341,COBRA End,,H,Hispanic
11,Surviving Spouse,,356,Eligibility Begin,,I,American Indian or Alaskan Native
12,Lay Off,,357,Eligibility End,,J,Native Hawaiian
13,Leave of Absence,,,,,N,Black (Non-Hispanic)
14,Voluntary Withdrawal,,,,,O,White (Non-Hispanic)
15,Primary Care Provider (PCP) Change,,,,,P,Pacific Islander
16,Quit,,,,,Z,Mutually Defined
17,Fired,,,,,Race Codes - 2100A.DMG05 - 3,
18,Suspended,,LANGUAGE CODES - 2100A.LUI02,,,ID,VALUE
19,Sabbatical,,ID,VALUE,,2056-0,Black
20,Active,,abk,Abkhazian,,2131-1,Other Race Or Ethnicity
21,Disability,,ace,Achinese,,2135-2,Hispanic
22,Plan Change,,ach,Acoli,,2106-3,White (Non-Hispanic)
23,Furloughed,,ada,Adangme,,1002-5,American Indian or Alaskan Native
24,Resigned,,aar,Afar,,2079-2,Native Hawaiian
25,Change in Identifying Data Elements,,afh,Afrihili,,2076-8,Pacific Islander
26,Declined Coverage,,afr,Afrikaans,,2060-2,African
27,Pre-Enrollment,,afa,Afro-Asiatic,,2058-6,African American
28,Initial Enrollment,,aka,Akan,,2028-9,Asian
29,Benefit Selection,,akk,Akkadian,,2029-7,Asian Indian
30,Discrimination Test,,alb,Albanian,,2032-1,Burmese
31,Legal Separation,,sqi,Albanian,,2088-3,Chamorro
32,Marriage,,ale,Aleut,,2151-9,Chicano
33,Personnel Data,,alg,Algonquian languages,,2034-7,Chinese
34,Investment Elections and Contribution Rates,,tut,Altaic,,2182-4,Cuban
35,Loan Repayment,,amh,Amharic,,2069-3,Dominican
36,Contribution or Plan Allocation,,apa,Apache languages,,2184-0,Dominican
37,Leave of Absence with Benefits,,ara,Arabic,,2120-4,Egyptian
38,Leave of Absence without Benefits,,arc,Aramaic,,2062-8,Ethiopian
39,Lay Off with Benefits,,arp,Arapaho,,2036-2,Filipino
40,Lay Off without Benefits,,arn,Araucanian,,2111-3,French
41,Re-enrollment,,arw,Arawak,,2112-1,German
42,New Entity,,arm,Armenian,,2087-5,Guamanian
43,Change of Location,,hye,Armenian,,2071-9,Haitian
44,Change of Telephone Number,,art,Artificial,,2038-8,Indonesian
45,Went Out of Business,,asm,Assamese,,2121-2,Iranian
46,Current Customer Information File in Error,,ath,Athapascan languages,,2122-0,Iraqi
47,Account Balance Reporting,,map,Austronesian,,2113-9,Irish
48,Fees Processing,,ava,Avaric,,2114-7,Italian
49,Interfund Transfer,,ave,Avestan,,2072-7,Jamaican
4A,Business Name Change,,awa,Awadhi,,2039-6,Japanese
4B,Business Name Correction,,aym,Aymara,,2040-4,Korean
4C,Physical or Mailing Address Correction,,aze,Azerbaijani,,2148-5,Mexican
50,Loan Request,,nah,Aztec,,2149-3,Mexican American
51,Enrollment in Subsequent Benefit Plan,,ban,Balinese,,2044-6,Pakistani
52,Health Care Facility Change,,bat,Baltic,,2124-6,Palestinian
53,Name Synonym Add,,bal,Baluchi,,2115-4,Polish
54,Sub Location Add,,bam,Bambara,,2180-8,Puerto Rican
55,Sub Location Change,,bai,Bamileke languages,,2080-0,Samoan
56,Sub Location Expire,,bad,Banda,,2054-5,Black or African American
57,Buyout,,bnt,Bantu,,2046-1,Thai
58,Merger,,bas,Basa,,2047-9,Vietnamese
59,Non Payment,,bak,Bashkir,,2500-7,Other Pacific Islander
60,Coverage Placed Elsewhere,,baq,Basque,,2086-7,Guamanian or Chamorro
61,Duplicate Coverage,,eus,Basque,,2186-5,Not Hispanic or Latino
62,Change in Ownership,,bej,Beja,,,
63,Business Sold,,bem,Bemba,,,
64,Underwriting Reason,,ben,Bengali,,,
65,"No Employees, Exposure or Operations",,ber,Berber,,,
66,Revocation of Voluntary Market Acceptance,,bho,Bhojpuri,,,
67,Include Primary Business Management,,bih,Bihari,,,
68,Exclude Primary Business Management,,bik,Bikol,,,
69,Failure to Pay Deductible,,bin,Bini,,,
70,Misrepresented Information,,bis,Bislama,,,
71,Rewritten,,bra,Braj,,,
72,Adding a Jurisdiction,,bre,Breton,,,
73,Deleting a Jurisdiction,,bug,Buginese,,,
75,Occupational Illness,,bul,Bulgarian,,,
76,Change Insured Federal Employer Identification Number (FEIN),,bua,Buriat,,,
77,Change Employer Federal Employer Identification Number (FEIN),,bur,Burmese,,,
78,Change Employer Unemployment Insurance (UI) Code,,mya,Burmese,,,
79,Change Policy Number,,bel,yelorussian,,,
80,Modification without a Specific Operating Unit Location in Jurisdiction,,cad,Caddo,,,
81,Change Policy Effective Date,,car,Carib,,,
82,Change Policy Expiration Date,,cat,Catalan,,,
83,Change Insurer Federal Employer Identification Number (FEIN),,cau,Caucasian,,,
84,No Eligible Employees,,ceb,Cebuano,,,
85,Reinstatement - Canceled in Error,,cel,Celtic,,,
86,Change in Insured Information,,cai,Central American Indian,,,
87,Change in Employer Information,,chg,Chagatai,,,
88,Parent Identification Change,,cha,Chamorro,,,
89,Change to Expiration Date,,che,Chechen,,,
90,Phone Verify Only,,chr,Cherokee,,,
91,Name Synonym Delete,,chy,Cheyenne,,,
92,Duplicate Entry on Customer Identification File,,chb,Chibcha,,,
93,Removal of the Customer Identification File Merge ID,,chi,Chinese,,,
94,Removal of the Customer Identification File Buyout ID,,zho,Chinese,,,
95,Removal of the Customer Identification File in Error ID,,chn,Chinook jargon,,,
96,Re-activation of an Out-of-Business Customer,,cho,Choctaw,,,
97,Sub-location Reinstatement,,chu,Church Slavic,,,
AA,Dissatisfaction with Office Staff,,chv,Chuvash,,,
AB,Dissatisfaction with Medical Care/Services Rendered,,cop,Coptic,,,
AC,Inconvenient Office Location,,cor,Cornish,,,
AD,Dissatisfaction with Office Hours,,cos,Corsican,,,
AE,Unable to Schedule Appointments in a Timely Manner,,cre,Cree,,,
AF,Dissatisfaction with Physician's Referral Policy,,mus,Creek,,,
AG,Less Respect and Attention Time Given than to Other Patients,,crp,Creoles Pidgins,,,
AH,Patient Moved to a New Location,,cpe,Creoles Pidgins,,,
AI,No Reason Given,,cpf,Creoles Pidgins,,,
AJ,Appointment Times not Met in a Timely Manner,,cpp,Creoles Pidgins,,,
AL,Algorithm Assigned Benefit Selection,,cus,Cushitic,,,
EC,Member Benefit Selection,,ces,Czech,,,
XB,Became Medical Only,,cze,Czech,,,
XI,Indemnity,,dak,Dakota,,,
XL,Became Lost Time,,dan,Danish,,,
XM,Medical Only,,del,Delaware,,,
XN,Notification Only,,din,Dinka,,,
XT,Transfer,,div,Divehi,,,
ZZ,Mutually Defined,,doi,Dogri,,,
,,,dra,Dravidian,,,
,,,dua,Duala,,,
,,,dut,Dutch,,,
,,,nla,Dutch,,,
,,,dum,Dutch,,,
,,,dyu,Dyula,,,
,,,dzo,Dzongkha,,,
,,,efi,Efik,,,
,,,egy,Egyptian,,,
,,,eka,Ekajuk,,,
,,,elx,Elamite,,,
,,,eng,English,,,
,,,enm,English,,,
,,,ang,English,,,
,,,esk,Eskimo,,,
,,,epo,Esperanto,,,
,,,est,Estonian,,,
,,,ewe,Ewe,,,
,,,ewo,Ewondo,,,
,,,fan,Fang,,,
,,,fat,Fanti,,,
,,,fao,Faroese,,,
,,,fij,Fijian,,,
,,,fin,Finnish,,,
,,,fiu,Finno-Ugrian,,,
,,,fon,Fon,,,
,,,fra,French,,,
,,,fre,French,,,
,,,frm,French,,,
,,,fro,French,,,
,,,fry,Frisian,,,
,,,ful,Fulah,,,
,,,gaa,Ga,,,
,,,gae,Gaelic,,,
,,,gdh,Gaelic,,,
,,,glg,Gallegan,,,
,,,lug,Ganda,,,
,,,gay,Gayo,,,
,,,gez,Geez,,,
,,,geo,Georgian,,,
,,,kat,Georgian,,,
,,,deu,German,,,
,,,ger,German,,,
,,,gmh,German,,,
,,,goh,German,,,
,,,gem,Germanic,,,
,,,gil,Gilbertese,,,
,,,gon,Gondi,,,
,,,got,Gothic,,,
,,,grb,Grebo,,,
,,,grc,Greek,,,
,,,ell,Greek,,,
,,,gre,Greek,,,
,,,kal,Greenlandic,,,
,,,grn,Guarani,,,
,,,guj,Gujarati,,,
,,,hai,Haida,,,
,,,hau,Hausa,,,
,,,haw,Hawaiian,,,
,,,heb,Hebrew,,,
,,,her,Herero,,,
,,,hil,Hiligaynon,,,
,,,him,Himachali,,,
,,,hin,Hindi,,,
,,,hmo,Hiri Motu,,,
,,,hun,Hungarian,,,
,,,hup,Hupa,,,
,,,iba,Iban,,,
,,,ice,Icelandic,,,
,,,isl,Icelandic,,,
,,,ibo,Igbo,,,
,,,ijo,Ijo,,,
,,,ilo,Iloko,,,
,,,inc,Indic,,,
,,,ine,Indo-European,,,
,,,ind,Indonesian,,,
,,,ina,Interlingua,,,
,,,ine,Interlingue,,,
,,,iku,Inuktitut,,,
,,,ipk,Inupiak,,,
,,,ira,Iranian,,,
,,,gai,Irish,,,
,,,mga,Irish,,,
,,,iro,Iroquoian languages,,,
,,,ita,Italian,,,
,,,jpn,Japanese,,,
,,,jav,Javanese,,,
,,,jaw,Javanese,,,
,,,jv,Javanese,,,
,,,jw,Javanese,,,
,,,jrb,Judeo-Arabic,,,
,,,jpr,Judeo-Persian,,,
,,,kab,Kabyle,,,
,,,kac,Kachin,,,
,,,kam,Kamba,,,
,,,kan,Kannada,,,
,,,kau,Kanuri,,,
,,,kaa,Kara-Kalpak,,,
,,,kar,Karen,,,
,,,kas,Kashmiri,,,
,,,kaw,Kawi,,,
,,,kaz,Kazakh,,,
,,,kha,Khasi,,,
,,,khm,Khmer,,,
,,,khi,Khoisan,,,
,,,kho,Khotanese,,,
,,,kik,Kikuyu,,,
,,,kin,Kinyarwanda,,,
,,,kir,Kirghiz,,,
,,,kom,Komi,,,
,,,kon,Kongo,,,
,,,kok,Konkani,,,
,,,kor,Korean,,,
,,,kpe,Kpelle,,,
,,,kro,Kru,,,
,,,kua,Kuanyama,,,
,,,kum,Kumyk,,,
,,,kur,Kurdish,,,
,,,kru,Kurukh,,,
,,,kus,Kusaie,,,
,,,kut,Kutenai,,,
,,,lad,Ladino,,,
,,,lah,Lahnda,,,
,,,lam,Lamba,,,
,,,lao,Lao,,,
,,,lat,Latin,,,
,,,lav,Latvian,,,
,,,ltz,Letzeburgesch,,,
,,,lez,Lezghian,,,
,,,lin,Lingala,,,
,,,lit,Lithuanian,,,
,,,loz,Lozi,,,
,,,lub,Luba-Katanga,,,
,,,lui,Luiseno,,,
,,,lun,Lunda,,,
,,,luo,Luo (Kenya and Tanzania),,,
,,,mac,Macedonian,,,
,,,mak,Macedonian,,,
,,,mad,Madurese,,,
,,,mag,Magahi,,,
,,,mai,Maithili,,,
,,,mak,Makasar,,,
,,,mlg,Malagasy,,,
,,,may,Malay,,,
,,,msa,Malay,,,
,,,mal,Malayalam,,,
,,,mlt,Maltese,,,
,,,man,Mandingo,,,
,,,mni,Manipuri,,,
,,,mno,Manobo languages,,,
,,,max,Manx,,,
,,,mao,Maori,,,
,,,mri,Maori,,,
,,,mar,Marathi,,,
,,,chm,Mari,,,
,,,mah,Marshall,,,
,,,mwr,Marwari,,,
,,,mas,Masai,,,
,,,myn,Mayan languages,,,
,,,men,Mende,,,
,,,mic,Micmac,,,
,,,min,Minangkabau,,,
,,,mis,Miscellaneous,,,
,,,moh,Mohawk,,,
,,,mol,Moldavian,,,
,,,mkh,Mon-Khmer,,,
,,,lol,Mongo,,,
,,,mon,Mongolian,,,
,,,mos,Mossi,,,
,,,mul,Multiple languages,,,
,,,mun,Munda languages,,,
,,,nau,Nauru,,,
,,,nav,Navajo,,,
,,,nde,Ndebele,,,
,,,nbl,Ndebele,,,
,,,ndo,Ndongo,,,
,,,nep,Nepali,,,
,,,new,Newari,,,
,,,nic,Niger-Kordofanian,,,
,,,ssa,Nilo-Saharan,,,
,,,niu,Niuean,,,
,,,non,Norse,,,
,,,nai,North American Indian,,,
,,,nor,Norwegian,,,
,,,nno,Norwegian (Nynorsk),,,
,,,nub,Nubian languages,,,
,,,nym,Nyamwezi,,,
,,,nya,Nyanja,,,
,,,nyn,Nyankole,,,
,,,nyo,Nyoro,,,
,,,nzi,Nzima,,,
,,,oji,Ojibwa,,,
,,,ori,Oriya,,,
,,,orm,Oromo,,,
,,,osa,Osage,,,
,,,oss,Ossetic,,,
,,,oto,Otomian languages,,,
,,,pal,Pahlavi,,,
,,,pau,Palauan,,,
,,,pli,Pali,,,
,,,pam,Pampanga,,,
,,,pag,Pangasinan,,,
,,,pan,Panjabi,,,
,,,pap,Papiamento,,,
,,,paa,Papuan,,,
,,,fas,Persian,,,
,,,per,Persian,,,
,,,peo,Persian,,,
,,,phn,Phoenician,,,
,,,pol,Polish,,,
,,,pon,Ponape,,,
,,,por,Portuguese,,,
,,,pra,Prakrit languages,,,
,,,pus,Pushto,,,
,,,que,Quechua,,,
,,,roh,Rhaeto-Romance,,,
,,,raj,Rajasthani,,,
,,,rar,Rarotongan,,,
,,,roa,Romance,,,
,,,ron,Romanian,,,
,,,rum,Romanian,,,
,,,rom,Romany,,,
,,,run,Rundi,,,
,,,rus,Russian,,,
,,,sal,Salishan languages,,,
,,,sam,Samaritan Aramaic,,,
,,,smi,Sami languages,,,
,,,smo,Samoan,,,
,,,sad,Sandawe,,,
,,,sag,Sango,,,
,,,san,Sanskrit,,,
,,,srd,Sardinian,,,
,,,sco,Scots,,,
,,,sel,Selkup,,,
,,,sem,Semitic,,,
,,,scr,Serbo-Croatian,,,
,,,srr,Serer,,,
,,,shn,Shan,,,
,,,sna,Shona,,,
,,,sid,Sidamo,,,
,,,bla,Siksika,,,
,,,snd,Sindhi,,,
,,,sin,Singhalese,,,
,,,sit,Sino-Tibetan,,,
,,,sio,Siouan languages,,,
,,,sla,Slavic,,,
,,,ssw,Siswant,,,
,,,slk,Slovak,,,
,,,slo,Slovak,,,
,,,slv,Slovenian,,,
,,,sog,Sogdian,,,
,,,som,Somali,,,
,,,son,Songhai,,,
,,,wen,Sorbian languages,,,
,,,nso,Sotho,,,
,,,sot,Sotho,,,
,,,sai,South American Indian,,,
,,,esl,Spanish,,,
,,,spa,Spanish,,,
,,,suk,Sukuma,,,
,,,sux,Sumerian,,,
,,,sun,Sudanese,,,
,,,sus,Susu,,,
,,,swa,Swahili,,,
,,,ssw,Swazi,,,
,,,sve,Swedish,,,
,,,swe,Swedish,,,
,,,syr,Syriac,,,
,,,tgl,Tagalog,,,
,,,tah,Tahitian,,,
,,,tgk,Tajik,,,
,,,tmh,Tamashek,,,
,,,tam,Tamil,,,
,,,tat,Tatar,,,
,,,tel,Telugu,,,
,,,ter,Tereno,,,
,,,tha,Thai,,,
,,,bod,Tibetan,,,
,,,tib,Tibetan,,,
,,,tig,Tigre,,,
,,,tir,Tigrinya,,,
,,,tem,Timne,,,
,,,tiv,Tivi,,,
,,,tli,Tlingit,,,
,,,tog,Tonga,,,
,,,ton,Tongan,,,
,,,tru,Truk,,,
,,,tsi,Tsimshian,,,
,,,tso,Tsonga,,,
,,,tsn,Tswana,,,
,,,tum,Tumbuka,,,
,,,tur,Turkish,,,
,,,ota,Turkish Ottoman,,,
,,,tuk,Turkmen,,,
,,,tyv,Tuvinian,,,
,,,twi,Twi,,,
,,,uga,Ugaritic,,,
,,,uig,Uighur,,,
,,,ukr,Ukrainian,,,
,,,umb,Umbundu,,,
,,,und,Undetermined,,,
,,,urd,Urdu,,,
,,,uzb,Uzbek,,,
,,,vai,Vai,,,
,,,ven,Venda,,,
,,,vie,Vietnamese,,,
,,,vol,VolapÃƒÂ¼k,,,
,,,vot,Votic,,,
,,,wal,Walamo,,,
,,,war,Waray,,,
,,,was,Washo,,,
,,,cym,Welsh,,,
,,,wel,Welsh,,,
,,,wol,Wolof,,,
,,,xho,Xhosa,,,
,,,sah,Yakut,,,
,,,yao,Yao,,,
,,,yap,Yap,,,
,,,yid,Yiddish,,,
,,,yor,Yoruba,,,
,,,zap,Zapotec,,,
,,,zen,Zenaga,,,
,,,zha,Zhuang,,,
,,,zul,Zulu,,,
,,,zun,Zuni,,,
