Loop ID,Segment ID,Segment Name,Element Description,Enumeration Values,Enrollment Sparse_Field Name,Mapping Logic,Custom,Comments
ISA (Interchange Control Header Segment),,,,,,,,
,ISA,Interchange Control Header,,,,,,
,ISA01,Authorization Information Qualifier,Code identifying the type of information in the Authorization Information,00 : No Authorization Information Present,,,,
,ISA02,Authorization Information,Submitter-specific ID number or 10-space placeholder,Blank (10 spaces),,,,
,ISA03,Security Information Qualifier,No Security Information Present Qualifier,00 : No Security Information Present,,,,
,ISA04,Security Information,Submitter-specific ID number or 10-space placeholder,Blank (10 spaces),,,,
,ISA05,Interchange ID Qualifier,Mutually Defined,ZZ : Mutually Defined,,,,
,ISA06,Interchange Sender ID,Interchange Sender ID,,/header/senderId,,,
,ISA07,Interchange ID Qualifier,Mutually Defined,ZZ : Mutually Defined,,,,
,ISA08,Interchange Receiver ID,The Trading Partner ID (TPID) assigned by the client,,/header/receiverId,,,
,ISA09,Interchange Date,Date the Interchange is created,,,,,
,ISA10,Interchange Time,Time the Interchange is created,,,,,
,ISA11,Interchange Control Standards Identifier,Repetition Separator,^,,,,
,ISA12,Interchange Control Version Number,Standards Approved by ACS X12 Review Board,,,,,
,ISA13,Interchange Control Number,"Sender-specific control number
Unique Sequential Number Assigned by Internal Processes for each Interchange - Must be identical to the Interchange Trailer IEA02",,,,,
,ISA14,Acknowledgment Requested,"0 = No Interchange Acknowledgement Requested
1 = Interchange Acknowledgment Requested","0 : No Interchange Acknowledgement Requested
1 : Interchange Acknowledgment Requested",,,,
,ISA15,Usage Identifier,"Code indicating whether data enclosed by this interchange envelope is test,
production or information",P : Production Data T : Test,,,,
,,,The delimiter used to separate component data elements,": = Element separator
~ = Segment Terminator",,,,
,ISA16,Component Element Separator,"Colon - Delimiter to separate component data
Header",,,,,
,GS,Functional Group Header,,,,,,
,GS01,Functional Identifier Code,Benefit Enrollment And Maintenance (834),,,,,
,GS02,Application Sender’s Code,"Code identifying party sending transmission
This is Submitter-specific.",,,,,
,GS03,Application Receiver’s Code,"The Trading Partner ID (TPID)
assigned by the Client",,,,,
,GS04,Date,"Date the Group Header is created.
Enter current date in the CCYYMMDD format",,,,,
,GS05,Time,"Time the Group Header is created.
Enter current time in the HHMM format",,,,,
,GS06,Group Control Number,,,,,,
,GS07,Responsible Agency Code,Code identifying the issuer of the EDI standard being used.,X : Accredited Standards Committee X12,,,,
,GS08,Version/Release/Industry Identifier Code,"Standards Approved for
Publication by ASC X12
Procedures Review Board",005010X220: Standards Approved for Publication by ASC X12,,,,
Segment - Transaction Set Header,,,,,,,,
,ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,834 :Benefit Enrollment and Maintenance,,,,
,ST02,Transaction Set Control Number,"Unique Sequential Number Assigned by Internal Processes for each Transaction Set
ST02 and SE02 must be identical",,,,,
,ST03,Implementation Convention Reference,"Standards Approved by ACS X12 Review Board
ST03 and GS08 must be identical",,,,,
Segment – Beginning Segment,,,,,,,,
,BGN01,Transaction Set Purpose Code,Code identifying purpose of transaction set,"00 :Original
15: Re-Submission
22 :Information Copy",,,,
,BGN02,Reference Identification,Transaction Set Reference Number,,,,,
,BGN03,Transaction Set Creation Date,Date the Transaction Set is created.,,,,,
,,,,,Target/Schema/enrollmentSparseSubmitRequestRecordList/enrollmentSparseSubmitRequestRecord/recordIdDesc,"Concatenate BGN03,BGN04 without any character or space.
Example: If BGN03 = 20200402, BGN04 = 195156,
Then The value of recordIdDesc = ""Transaction Date Time (In YYYYMMDDHHMMSSsss) : 20200402195156""",,
,BGN04,Transaction Set Creation Time,Time the Transaction Set is created,,,,,
,BGN05,Time Zone Code,Time Zone Code,,,,,
,BGN06,Original Transaction Set Reference Number,Original Transaction Set Reference Number,,,,,
,BGN08,Action Code,,,,,,
,,,Code indicating type of action,"2 = Change/Update
4 = Verify",,,,
Segment – File Effective Date,,,,,,,,
,DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time","007 Effective
090 Report Start
091 Report End
303 Maintenance Effective
382 Enrollment
388 Payment Commencement",,,,
,DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",D8 Date Expressed in Format CCYYMMDD,,,,
,DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",,,,,
Segment – Transaction Set Control Totals,,,,,,,,
,QTY01,Quantity Qualifier,Code specifying the type of quantity,"DT : Dependent Total
ET : Employee Total
TO : Total",,,,
,QTY02,Quantity,Record Totals,,,,,
Loop 1000A - SPONSOR NAME (REQUIRED) Loop Repeat: 1,,,,,,,,
1000A,N1,Sponsor Name,This loop identifies the sponsor,,,,,
1000A,N101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",P5 = Plan sponsor,,,,
1000A,N102,Name,Plan Sponsor Name,,,,,
1000A,N103,Identification Code Qualifier,Code designating the system/method of code structure used for Identification,"24 : Employer’s Identification Number
FI: Federal Taxpayer’s Identification Number",,,,
1000A,N104,Identification Code,Sponsor Identifier,,,,,
1000A,N105,Entity Relationship code,,,,,,
1000A,N106,Entity Identifier Code,,,,,,
Loop 1000B -PAYER (REQUIRED) Loop Repeat: 1,,,,,,,,
1000B,N1,Payer,,,,,,
1000B,N101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",IN : Insurer,,,,
1000B,N102,Name,Insurer Name,,,,,
1000B,N103,Identification Code Qualifier,Code designating the system/method of code structure used for Identification,"94 : Code assigned by the organization that is the
ultimate destination of the transaction set
FI : Federal Taxpayer’s Identification Number
XV :Centers for Medicare and Medicaid Services PlanID",,,,
1000B,N104,Identification Code,Insurer Identification Code,,,,,
1000C — TPA/BROKER NAME Loop Repeat: 2,,,,,,,,
1000C,N1,TPA/Broker Name,,,,,,
1000C,N101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",,,,,
1000C,N102,Name,TPA/Broker Name (free-form),,,,,
1000C,N103,Identification Code Qualifier,Code designating the system/method of code structure used for Identification,,,,,
1000C,N104,Identification Code,TPA or Broker Identification Code,,,,,
,,,,,,,,
1100C — TPA/BROKER ACCOUNT INFORMATION Loop Repeat: 1,,,,,,,,
1100C,ACT,TPA/BROKER ACCOUNT INFORMATION,,,,,,
1100C,ACT01,"Account
Number","Account
Number",,,,,
1100C,ACT02,Name,Name,,,,,
1100C,ACT03,Identification Code Qualifier,Identification Code Qualifier,,,,,
1100C,ACT04,Identification Code,Identification Code,,,,,
1100C,ACT05,Account Number Qualifier,Account Number Qualifier,,,,,
1100C,ACT06,Account Number,Account Number,,,,,
1100C,ACT07,Description,Description,,,,,
1100C,ACT08,Payment Method Type Code,Payment Method Type Code,,,,,
1100C,ACT09,Benefit Status Code,Benefit Status Code,,,,,
2000 — MEMBER LEVEL DETAIL Loop Repeat: >1,,,,,,,,
Loop  2000 - Member Level Detail,,,,,,,,
2000,INS01,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response / Subscriber Indicator,"Y :Yes
N :No",Target/Schema/enrollmentSparseSubmitRequestRecord/enrollment/member/memberIsSubscriber,"When INS01 is to Y, map ""true"", else ""false""",,
2000,INS02,Individual Relationship Code,Code indicating the relationship between two individuals or entities,18 :Self,Target/Schema/enrollmentSparseSubmitRequestRecord/enrollment/member/relationshipToSubscriberDefinitionReference/reference/ID,"When INS02 = 18, populate as Self .",,
