2000.INS02,Value in HRP.
01,Spouse
02,Father or Mother
03,Grandmother or Grandfather
04,Grandson or Granddaughter
05,Uncle or Aunt
06,Nephew or Niece
07,Cousin
08,Adopted Child
10,Foster Child
11,Son-in-law or Daughter-in-law
12,Brother-in-law or Sister-in-law
13,Mother-in-law or Father-in-law
14,Brother or Sister
15,Ward
16,Stepparent
17,Stepson or Stepdaughter
18,Self
19,Child
23,Sponsored Dependent
24,Dependent of a Minor Dependent
25,Ex-spouse
26,Guardian
31,Court Appointed Guardian
38,Collateral Dependent
53,Life Partner
60,Annuitant
D2,Trustee
G8,Other Relationship
G9,Other Relative
