Individual Relationship Codes,,Employment Status Code,,Race Codes - 2100A.DMG05 - 1,
2000.INS02,Value in XML.,Value in XML,2000.INS08,Code,Description
01,Spouse,AC,AC,7,Not Provided
02,Father or Mother,AO,AO,8,Not Applicable
03,Grandmother or Grandfather,3,AU,A,Asian or Pacific Islander
04,Grandson or Granddaughter,1,FT,B,Black
05,Uncle or Aunt,6,L1,C,Caucasian
06,Nephew or Niece,2,PT,D,Subcontinent Asian American
07,Cousin,4,RT,E,Other Race or Ethnicity
08,Adopted Child,TE,TE,F,Asian Pacific American
10,Foster Child,,,G,Native American
11,Son-in-law or Daughter-in-law,,,H,Hispanic
12,Brother-in-law or Sister-in-law,,,I,American Indian or Alaskan Native
13,Mother-in-law or Father-in-law,,,J,Native Hawaiian
14,Brother or Sister,,,N,Black (Non-Hispanic)
15,Ward,,,O,White (Non-Hispanic)
16,Stepparent,,,P,Pacific Islander
17,Stepson or Stepdaughter,,,Z,Mutually Defined
18,Self,,,,
19,Child,,,,
23,Sponsored Dependent,,,,
24,Dependent of a Minor Dependent,,,,
25,Ex-spouse,,,,
26,Guardian,,,,
31,Court Appointed Guardian,,,,
38,Collateral Dependent,,,,
53,Life Partner,,,,
60,Annuitant,,,,
D2,Trustee,,,,
G8,Other Relationship,,,,
G9,Other Relative,,,,
