JSON field,Mandatory field(Y/N),EDIFECS Logic,Sample value,,,,,,,,
spInvokedBy,N,OUTBOUND-ENROLLMENT-EDIFECS-SERVICE,OUTBOUND-ENROLLMENT-EDIFECS-SERVICE,,,,,,,,
extractName,Y,OB_Enrollment_Extract,OB_Enrollment_Extract,,,,,,,,
recipientName,N,blank,null (custom field),,,,,,,,
extractId,Y,extraction id from summary file,"""20240227-a18118bf-9a7c-40c8-b5d5-e9b864557366""",,,,,,,,
jobId,Y,job ID fetched from summary file,null,,,,,,,,// unique Id
recordCount,N,number of member in a  single family,1,,,,,,,,
pageId,Y,unique id for each memberid,20240227-033631f0-a976-4a05-abe0-a5fb18876b66,,,,,,,,
pageNum,Y,Incremental value for each Xml wrt to the respective extractionid,1,,,,,,,,
extractFileName,Y,"For good EDI event filename = EDI_OB_834_{Prp[summaryExtractionID]}
For bad EDI event filename - Rejected_EDI_OB_834_{Prp[summaryExtractionID]}",Rejected_EDI_OB_834_40241216-b4c1bc44-2d46-4c28-97f2-4cfc7bf516fa,,,,,,,,
pageExtractStatus,N,Refer Audit events tab,"""Publishing_to_Service_Success""",,,,,,,,
pageErrorDesc,N,Refer Audit events tab,null,,,,,,,,
pageProcessStartTs,Y,current date and time,yyyy-MM-dd'T'HH:mm:ss.SSS+00:00,,,,,,,,
pageProcessEndTs,N,blank,null,,,,,,,,
pageDataId,Y,Populate member ID,M000008024-01,,,,,,,,
auditCreatedTs,N,current date and time,yyyy-MM-dd'T'HH:mm:ss.SSS+00:00,,,,,,,,
fileLocation,N,location of the xml file and edi  file,null,,,,,,,,
