,,FILE Summary,"This file should be populated with ALL records that the EDI convertor received in the 834 file from one or more sources, and populate the status of each record to denote if they are  succesfully converted to XML and transmitted to HPSCIL/HRP. PULSE360 application needs this information to identify the fallout of records that happened within EDI convertor( eg:edifecs ) and thus to balance the inbound and outbound population within the ecosystem.",,,,,,
,,FILE Naming convention,"UST_<Layout Converter Name>_EDIextract_Enrollment_<Healthplan>_<Frequency>_<generatedTimeStamp>.csv
Example: UST_Edifecs_EDIextract_Enrollment_Highmark_Daily_12082021144200.csv",,,,,,
,,File Type,csv,,,,,,
,,,,,,,,,
,Sl.No,Field Name,Description,Data Type,Length,Required (R)/Optional from Vendor(O),Default Value,HM Mapping,Comments
,1,Layout Converter Name,"Name of the Electronic health data exchange tool which recieves the enrollment data from multiple sources and convert them to xml format
Example - Edifecs/Mercator/SMART etc",VARCHAR,100,R,,Value hard coded as Edifecs,"Must be populated to Identify the EDI Converter involved with 834 for each customer.
Example : Edifecs ,Mercator etc"
,2,File_name,The name of EDI file in which the convertor received 834 data from source,VARCHAR,255,R,,ediFilename,"This is a Must have field for PULSE to calculate the transaction requests per file per day.
This filename should help to segregate the list of distinct files received from source and hence it is recommended to add created/received timestamp in the name for uniqueness of file name."
,3,EDI file Type,Frequency of the file,VARCHAR,15,O,Daily or Monthly,Daily or Monthly,Must be populated with the source file frequency.
,4,Source,Source from which the EDI file is received,VARCHAR,100,R,,ISA06,The Source from which this data has received . This is a Must have field for PULSE to calculate the total count of Enrollment transactions for each source
,5,EDI File ID,Unique ID for each File generated by the EDI converter,VARCHAR,255,R,,ediFileId,This is a Must have identifier that is required to identify each file uniquely.Should be the same file identifier that is sent to CIL/HRP in XML file
,6,Record_ID_Source,Unique Record ID Generated by the EDI Converter to uniquely identify each transaction,VARCHAR,255,R,,recordId in XML (This field has to be the same as 834 XML mapping enrollmentSparseSubmitRequestRecord/recordId),This field is a Must have field to identify each transaction uniquely. This is needed to keep track of multiple requests per member.Should be the same identifier that is sent to CIL/HRP
