,FILE Summary,This file should be populated with ALL claims that the layout convertor (eg: edifecs/PCS/SDS/OCR) received in the 837 file/paper format and populate the status of each record to denote if they are  succesfully converted to XML and transmitted to HPSCIL/HRP. PULSE360 application needs this information to identify the fallout of claims that happened within different Vendors (eg: Edifecs/PCS/SDS/OCR) and thus to balance the inbound and outbound data within the ecosystem.,,,,,,,,
,FILE Naming convention,"UST_<Layout Converter Name>_AllClaims_<Healthplan>_<Frequency>_<generatedTimeStamp>.csv
Example: UST_PCS_AllClaims_HHO_Daily_12082021144200.csv",,,,,,,,
,File Type,csv,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
S.No,Field Name,Description,Data Type,Length,"Required (R)/
Optional (O) from Vendor",Default Value,HM Mapping,Comments,Mandatory Field in File read Appliction (Y/N),Additional Comments
1,Layout Converter Name,"Name of the Electronic health data exchange tool which recieves claims from multiple sources and convert them to xml format
Example - PCS/SDS/OCR/Edifecs etc",VARCHAR,100,R,,Edifecs,This is a must have data and if this field is not provided by the vendor PULSE dashboard will not provide a categorical view with respect to vendor name,Y,"if SDS/ EDI Files are placed in separate path, this validation is not required"
2,File_Name,The name of EDI file or Paper doc in which the convertor received claim data from source,VARCHAR,255,R,,,"This is a Must have field for PULSE to calculate the transaction requests per file per day.
This filename should help to segregate the list of distinct files received from source and hence it is recommended to add created/received timestamp in the name for uniqueness of file name.",Y,
3,EDI file Type,Frequency of the file,VARCHAR,15,O,Daily or Monthly,Daily,Must be populated with the source file frequency.,N,
4,Source,Name of the Source from which the EDI/Paper claim is received,VARCHAR,100,R,,ISA06,The Source from which this data has received . This is a Must have field for PULSE to calculate the total count of Claims from each source,N,
5,Source_Data_Type,Electronics/Paper/Other,VARCHAR,1,R,E/P/O,"For professional claims: professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/claimDeliveryType

For Institutonal Claims:
professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/claimDeliveryType","Valid values are:
E  - Electronics
P  - Paper
O - Other
This is a Must have data and if this field is not provided by the vendor PULSE dashboard will not be able to provide a categorical view with respect to Source Data Type.This field also used to add filter condition to sort out the claims according to the source data type",Y,Seggregating Paper /Electronic claims
6,EDI File Id,Unique ID for each File generated by the EDI converter,VARCHAR,255,R,,"For professional claims: professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/externalClaimNumber

For Institutional claims: institutionalClaimIBRequestRoot/institutionalClaimIBRequest/institutionalClaimSubmitRequestRecordList/institutionalClaimSubmitRequestRecord/institutionalClaim/externalClaimNumber",This is a Must have identifier for PULSE to identify each file uniquely.Should be the same identifier that is sent to CIL/HRP,Y,
7,Record_Id_Source,Unique Record ID Generated by the Converter tool to uniquely identify each transaction,VARCHAR,255,R,,ISA13,This field is a Must have field to identify each transaction uniquely. This is needed to keep track of the claim requests .Should be the same identifier that is sent to CIL/HRP,Y,
8,Clearing_House_Number/ECN,Unique ID from a Clearinghouse or the Electronic control number to identify an electronic claim,Integer,100,R,,2300.REF[D9]02,"This is a  Must have data and if this field is not provided by the vendor, PULSE dashboard will not be able to track each claim till it is successfully loaded to HRP.This is the unique ID that identifies the claim before loaded to HRP. This field is used to calculate the claim count.",Y,"As of now its not mandatory , for re-checking fallout its required in future"
9,DCN,Document Control Number to identify a paper claim,Integer,100,R,,,"If this data can be provided by the vendor, PULSE Dashboard will  display in the fallout record information",Y,To enable a link between SDS & EDI
10,Claim_Type,Institutional/Professional,VARCHAR,1,R,I or P,I/P,"I - Instituitional
P - Professional

This field a  Must have for PULSE and PULSE needs this to categorise the claims.",N,"As of now, if we receive value, claim type will show I/P.Otherwise chart will be empty. To avoid empty chart ,can we map under ""Other"""
11,Patient_Control_No,Unique Id of a Patient  assigned by the provider,Integer,100,O,,2300.CLM01,"If this data can be provided by the vendor, PULSE Dashboard will  display",N,
12,Patient_First_Name,Patient First Name,VARCHAR,50,R,,2010BA.NM104,First name of the Patient. This field is displayed in the front end,N,
13,Patient_Middle_Name,Patient Middle Name,VARCHAR,50,O,,2010BA.NM105,Middle name of the Patient. This field is displayed in the front end,N,
14,Patient_Last_Name,Patient Last Name,VARCHAR,50,R,,2010BA.NM103,Last name of the Patient. This field is displayed in the front end,N,
15,Patient_Dob,Patient Date of Birth,Date,10,O,Blank/Null,2010BA.DMG02,DOB of the Patient. This field is displayed in the front end and the format is yyyy-mm-dd,N,
16,Subscriber_Id,Subscriber ID under which the patient is enrolled,Integer,100,O,,2010BA.NM109,This field is displayed in the front end when the Fallout record information is displayed.,N,
17,Subscriber_First_Name,Subscriber First Name,VARCHAR,50,R,,2010BA.NM104,This field is displayed in the front end when the Fallout record information is displyed.,N,
18,Subscriber_Middle_Name,Subscriber Middle Name,VARCHAR,50,O,,2010BA.NM105,This field is displayed in the front end when the Fallout record information is displyed.,N,
19,Subscriber_Last_Name,Subscriber Last Name,VARCHAR,50,R,,2010BA.NM103,This field is displayed in the front end when the Fallout record information is displyed.,N,
20,Subscriber_Dob,Subscriber Date of Birth,Date,10,O,Blank or Null,2010BA.DMG02,This field is displayed in the front end when the Fallout record information is displyed (If available). Data format is yyyy-mm-dd,N,
21,Claim_Billed_Amount,Claim Billed amount expected in this column,VARCHAR,50,R,,2300.CLM02,This field is displayed in the front end when the Fallout record information is displyed.,N,
22,Billing_Provider_Npi,National provider identification ID,Integer,100,R,,2010AA.NM109,This field will help to add filter condition based on Provider NPI in the PULSE Dashboard.The Data can be categorised according to this field,N,
23,Billing_ Provider_Tax_Id,Provider Tax ID,Integer,100,O,Blank or Null,,"If this data can be provided by the vendor, PULSE Dashboard will  display in the fallout record information",N,
24,Billing_Provider_State,State from where the provider belongs,VARCHAR,50,O,Blank or Null,,"If this data can be provided by the vendor, PULSE would additionally  display this info along with Fallout record and implement filer condition based on the provider region",N,
25,Status,Accepted/Rejected/On-Hold/Other status (if any),VARCHAR,1,R,A or R or H or O,A or R or H or O,"A - Accepted -For good records that can be pushed to the Claims Adjudication process
R - Rejected - For bad records
H - OnHold - For records under review by the Vendor
O - Other

This field help to categorise the records into different Data check points for the balancing purpose. Major field which is a must have for the PULSE Dashboard to perform Balancing",Y,Key field for balancing
26,Rejection Error_code,"Rejection Code , if the record is not accepted and not being sent to HRP",VARCHAR,50,O,Blank or NULL,,To be populated with the first encountered error for rejected records only . This error code will be displayed in PULSE dashboard if available.,N,
27,Rejection Error description,Reason for rejection,VARCHAR,8000,Conditional,Blank or NULL,,To be populated with the first encountered error for rejected records only . This error description will be displayed in PULSE dashboard and is a must have field for rejected records.,N,
28,File_rejection_error_message,IF an entire file is rejected then the reason for rejection,VARCHAR,100,Conditional,Blank or NULL,,"If the entire file is rejected, the reason for the file rejection is needed to be displayed in the PULSE dashboard.

This field must be populated only if the entire file is rejected. For succesful files , this field can be Blank or NULL and record level rejections can be populated in Error_code and Error_message fields.",N,
29,Total Number of errors,Total number of errors tagged to this transaction by the EDI layout convertor,VARCHAR,10,O,Blank or NULL,,To be populated if this record is rejected with errors. Number of errors will be displayed in PULSE dashboard and is a must have field for rejected records.,N,
30,SNIP1_passed,Flag to denote if this record has passed SNIP type1 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 1 validation. Populate N if the record failed in SNIP type1. Populate NA if validation not applicable,N,
31,SNIP2_passed,Flag to denote if this record has passed SNIP type2 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,
32,SNIP3_passed,Flag to denote if this record has passed SNIP type3 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,
33,SNIP4_passed,Flag to denote if this record has passed SNIP type4 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,
34,SNIP5_passed,Flag to denote if this record has passed SNIP type5 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,
35,SNIP6_passed,Flag to denote if this record has passed SNIP type6 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,
36,SNIP7_passed,Flag to denote if this record has passed SNIP type7 validation,VARCHAR,1,O,Y or N or NA,,Populate Y if this record passed in SNIP type 2 validation. Populate N if the record failed in SNIP type2. Populate NA if validation not applicable,N,
37,Additional_Col1,Additional column to accommodate any customization,VARCHAR,100,O,Blank or NULL,XML file name generated by edifecs,XML file name generated by edifecs,N,
38,Additional_Col2,Additional column to accommodate any customization,VARCHAR,50,O,Blank or NULL,,,N,
39,Additional_Col3,Additional column to accommodate any customization,VARCHAR,20,O,Blank or NULL,Ray ID,Capture Ray ID and Record Identifier for all the transactions,N,
40,Additional_Col4,Additional column to accommodate any customization,VARCHAR,20,O,Blank or NULL,Record Identifier,Capture Ray ID and Record Identifier for all the transactions,N,
41,Additional_Col5,Additional column to accommodate any customization,VARCHAR,20,O,Blank or NULL,Transaction Created Date,,N,
42,Receipt_date,The Date by when EDI covertor received the claim file from source.,DateTime,23,R,,BHT04,This is a must have data and Should be populated in 'yyyy-mm-dd hh:mm:ss.SSS' format. This is mandatory field without which balancing on daily basis can't be achieved.This a major filter condition that is implimented in PULSE Dashboard,Y,used in filter
