INDEX,Filed Name,Data Type,Mandatory?,Start position,Length,Format,Update to HRP,xml tag,Comments,Field Description
1.001,PayerCheckNumber,A,M,1,50,"Left Justified, with trailing spaces",,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/criteria/checkNumber,"Grouping Logic - If the Check numbers are  same then Activity Date, EPC Draft number & Void Flag all three should be same in all the records",check number or payment reference number assigned by the payer (typically the health insurance company or the paying entity) for that specific payment or claim.
1.002,PayerGroupNumber,A,,51,50,"Left Justified, with trailing spaces",,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/recordIdentifierFromSource,Group code+check number,Group Policy Number assigned by the payer.
1.003,Fundcode,A,,101,50,"Left Justified, with trailing spaces - Value if fund code is populated – this allows for bulk pulls from account",,,,code representing the financial source or fund from which the payment is being made.
1.004,CheckAmount,N,M,151,16,Leading 0s,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/criteria/checkAmount,"1. The records which has same check Number and the corresponding Check amount should be summed up and stored in this field
2. Last 2 digits are for decimal point in amount fields",Total amount of the check issued to the provider. Represents the gross payment made.
1.005,Activity_Date,N,M,167,8,YYYYMMDD - Void Date or Cleared Date,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/w3cReconciliationDate,1. Date Format should be YYYY-MM-DD,
,,,,,,,"Only the status in HRP changes to  CLEARED and CLEARED date get updated from the field, after checking the value of 'Void_flag'",updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/additionalPaymentInformation/clearedCheckDate,"1. Populate 'clearedCheckDate' when the Void Flag field is empty, as the the check is considered cleared.
2. Date Format should be YYYY-MM-DD","The date the payment activity occurred, usually the date the check/EFT was issued."
1.006,Payee_Name,A,,175,50,"Left Justified, with trailing spaces",,,,Name of the provider or entity receiving the payment. Matches the name associated with the claim or EPPID.
1.007,EPC_Draft_Number,N,M,225,16,Leading 0s,"Cross check  the external payment id -EPC_Draft_Number that gets updated via settlement process matches with 1.007 EPC_Draft_Number in cleared draft, then only the status will be changed to CLEARED.",updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/additionalPaymentInformation/externalPaymentId,,Draft/Check/EFT reference number generated by the payment vendor. Used for payment tracking.
1.008,EPC_Draft_Amount,N,,241,16,Leading 0s,,,The input file has same value populated in both EPC_Draft_Amount & Check Amount field,Amount of the payment corresponding to that specific draft/check/EFT.
1.009,Void_flag,A,M,257,1,,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/action,"1. when Void Flag is 'Y', Populate ""VOID""
2. when Void Flag is Empty, Populate ""CLEARED""
Note: This field cannot be kept as Mandatory in guideline, as it has blank as a valid value.",
,,,,258,,,,,,
