Index,Field Name,Data Type,Mandatory?,Start position,End Position,Length,Format/Description,Sample Value,Mapped to XSD element,XML tag,Mapping Comments,DESCRIPTION,Final Review Comments
Record Type 001 - Payment Record,,,,,,,,,,,,,
1.001,Record_Type,String,,1,4,4,"""0001""",,,,"0001 .One per consolidated Payment. Paper check,EFT Payment or Zero Pay RA","0001 .One per consolidated Payment. Paper check,EFT Payment or Zero Pay RA. Fixed value ""0001"". Identifies this as a Payment Record.",
1.002,EPPID,String,M,5,54,50,,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/recordIdentifierFromSource,,"EPP ID+check number/EPP ID+Payment ID
Note:
EPP ID+Payment ID:
If check number is Zero",Unique document ID assigned by the payment vendor for tracking the payment.,
1.003,Provider_tax_ID,String,,55,63,9,,,,,,Tax ID of the supplier,
1.004,Return_Name,String,,64,113,50,,,,,,Recipient of return address,
1.005,Return_Addr_Line1,String,,114,163,50,,,,,,"Payer/Issuer (Recipient) return address (used for checks or undeliverable mail processing, regulatory compliance).",
1.006,Return_Addr_Line2,String,,164,213,50,,,,,,"Payer/Issuer (Recipient) return address (used for checks or undeliverable mail processing, regulatory compliance).",
1.007,Bank_Name,String,,214,263,50,,,,,,Name of the bank of the payer,
1.008,Bank_City_State_Zip,String,,264,313,50,,,,,,Zip of the Payer bank,
1.009,Bank_code_Line1,String,,314,363,50,,,,,,Payer bank Code,
1.010,Bank_code_Line2,String,,364,413,50,,,,,,Payer bank Code,
1.011,EPC_Draft_Number,Number,M,414,429,16,"Right-justified, zero-filled",,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/additionalPaymentInformation/externalPaymentId,,,Payment vendor’s check/draft number. Used to match payments during reconciliation between the vendor file and HRP.,
1.012,EPC_Routing_Number,String,,430,449,20,,,,,,For EFT transactions – required for banking reconciliation.,
1.013,EPC_Account_Number,String,,450,469,20,,,updatePaymentStatusIBRequestRoot/updatePaymentStatusRecord/updatePaymentStatus/criteria/bankAccountNumber,,,For EFT transactions – required for banking reconciliation.,
