Loop ID,EDI Segment,EDI Data Element Name,User Option,Length,Enumeration Values,Mapping Logic OR  DFF Position,DFF Field Description,Mapping Comments,Final Review Comments
ISA (Interchange Control Header),,,,,,,,,
,ISA,Segment: Interchange Control Header,R,,,,,,
,ISA01,Authorization Information Qualifier,R,"Min - 2
Max - 2","00 : No Authorization Information Present
03: Additional Data Identification","Hardcode as ""00""",NA,,
,ISA02,Authorization Information,R,"Min - 10
Max - 10",,Leave it blank,NA,,
,ISA03,Security Information Qualifier,R,"Min - 2
Max - 2","00 : No Security Information Present
01 : Password","Hardcode as ""00""",NA,,
,ISA04,Security InformationLQ,R,"Min - 10
Max - 10",,Leave it blank,NA,,
,ISA05,Interchange Sender ID Qualifier,R,"Min - 2
Max - 2","01: Duns (Dun & Bradstreet)
14 Duns Plus Suffix
20 Health Industry Number (HIN)
27 Carrier Identification Number
28 Fiscal Intermediary Identification Number
29 Medicare Provider and Supplier IdentificationNumber
30 U.S. Federal Tax Identification Number
33 National Association of Insurance Commissioners Company Code (NAIC)
ZZ Mutually Defined","Hardcode as ""ZZ""",NA,,
,ISA06,Interchange Sender ID,R,"Min - 15
Max - 15",,"Hardcode as  ""1234           """,NA,"Interchange Sender ID will be different for each customer.From product standpoint, we have hardcoded a random sender ID.",
,ISA07,Interchange Receiver ID Qualifier,R,"Min - 2
Max - 2","01: Duns (Dun & Bradstreet)
14 Duns Plus Suffix
20 Health Industry Number (HIN)
27 Carrier Identification Number
28 Fiscal Intermediary Identification Number
29 Medicare Provider and Supplier IdentificationNumber
30 U.S. Federal Tax Identification Number
33 National Association of Insurance Commissioners Company Code (NAIC)
ZZ Mutually Defined","Hardcode as ""ZZ""",NA,,
,ISA08,Interchange Receiver ID,R,"Min - 15
Max - 15",,"Hardcode  as ""123456789123456""",NA,"Interchange Receiver ID will be different for each customer.From product standpoint, we have hardcoded a random Receiver ID.",
,ISA09,Interchange Date,R,"Min - 6
Max - 6",The date format is YYMMDD.,"Map this value from  current date in the format of ""YYMMDD""",NA,Date  transaction is created – done by translator  (Date for the Process of converting 835 it will be the EDIFECS time of converting 835 ) YYMMDD,
