Record Type 1 Payment Level Information,,,,,,
,,,,,,
INDEX,DATA ELEMENT,DATA TYPE,REQ,DESCRIPTION,Highmark Comments,UST
1.001,Record,Varchar(4),Required,0001,,
1.002,BatchKey,Varchar(75),Required,See key generation,,
1.003,CheckNumberPrefix,Varchar(4),Optional,The prefix for the check number assigned to the check.,,
1.004,CheckNumber,Varchar(25),Optional,The check number assigned to the check.,,
1.005,CheckDate,Date,Optional,The check date MMDDYYYY,,
1.006,CheckAmount,Money,Required,The numeric payment for the check,,
1.007,FractionTransitNumber,Varchar(25),Optional,"The Fractional Transit Number for the bank, as held in Fund Accounting for the applicable account for the group.",,
1.008,MICRTransitNumber,Varchar(9),Required,"The MICR Transit Number for the bank, as held in Fund Accounting for the applicable account for the group.",,
1.009,AccountNumber,Varchar(255),Required,"The Bank Account Number for the bank, as held in Fund Accounting for the applicable account for the group.",,
1.010,BankName,Varchar(255),Required,The Bank Name,,
1.011,BankAddress1,Varchar(255),Optional,The first bank address field,,
1.012,BankAddress2,Varchar(255),Optional,The second bank address field,,
1.013,BankCity,Varchar(255),Optional,The city for the bank,,
1.014,BankState,Varchar(2),Optional,The state for the bank,,
1.015,BankZip,Varchar(10),Optional,The zip for the bank,,
1.016,BankCountry,Varchar(255),Optional,The country code for the bank,,
1.017,PayeeName,Varchar(255),Required,The payee name. This is the recipient for the check.,,
1.018,PayeeAddress1,Varchar(255),Required,The first address line for the payee,,
1.019,PayeeAddress2,Varchar(255),"Required, if available",The second address line for the payee,Missing in the sample PNC extract,If address Line 2 is available in HRP this will be populated
1.020,PayeeCity,Varchar(255),Required,The city for the payee,,
1.021,PayeeState,Varchar(2),Required,The state for the payee,,
1.022,PayeeZip,Varchar(10),Required,The zip for the payee,,
1.023,PayeeCountry,Varchar(255),Required,The country for the payee,,
1.024,SpecHandle,Varchar(10),Optional,"Special Handling for the payment, i.e. reinsurance",,
1.025,ResponseType,Varchar(10),Optional,"Indicates the original response provided by payment vendor in the Response File (2). Valid values are: Payment, 835Only, None.",Missing in the sample PNC extract,This was a required field for another client. For 835 generation this is not used. Marked as optional field
1.026,PPO Network Contract Identifier,Varchar(3),Optional,"(If Available)PPO Contract Identifier from ClaimHeader. For provider voucher processing, it is assumed that the first non-blank PPO Contract Identifier will be communicated (if available).",Missing in the sample PNC extract,This was a required field for another client. For 835 generation this is not used. Marked as optional field
1.027,Provider Phone Number,Varchar(15),Optional,,,
1.028,Provider Email,Varchar(100,Optional,,,
1.029,Provider Type,Varchar(50),Optional,Provider taxonomy code,,
1.030,Provider TIN Sequence Code,Varchar(10),Optional,Sequence code for the payee provider,Missing in the sample PNC extract,This was a required field for another client. For 835 generation this is not used. Marked as optional field
1.031,Paid To,Varchar(1),Required,"if Fully Funded Paid To (E=Employee, D=Dependent, M = Member, P=Provider, S=Split pay)",,
1.032,Payee SSN/TIN,Varchar(9),Required,(if Member Payment) Payee SSN or TIN,,
1.033,Payee NPI,Int,Required,(If Available) The NPI for the payee provider,,
,,,,,,
,,,,,,
,,,,,,
Record Type 2 Claim Level Information,,,,,,
,,,,,,
INDEX,Data Element,Data Type,REQ,Description,,
2.001,Record,Varchar(4),Required,002,,
2.002,BatchKey,Varchar(75),Required,See key generation,,
2.003,ClaimNumber,Varchar(50),Required,The claim number assigned for the claim.,,
2.004,EOBNumber,Varchar(10),Optional,The EOB number assigned for the claim.,,
2.005,PatientID,Varchar(30),Required,The patient account number for the claim. This is assigned by the provider (ie. SSN),,
2.006,PatientName,Varchar(255),Required,The patient's name,,
