processStageName,processStatus(Payment Level),processMessage,JSON TRIGGER EVENT,Comments
EDIFECS-Conversion,PROCESSED,,After the EDI conversion if it’s a success,
EDIFECS-Conversion,ERROR,Edifecs Translator Error,After the EDI conversion if it’s a failure,
EDIFECS-Validation,SUCCESS,,,
EDIFECS-Validation,ERROR,Edifecs HIPAA Validation Error,"After the SNIP Validations, if it’s a bad record",
,,,,
EDIFECS-Validation,ERROR,File Level Validation Error,In case the full file is rejected due to error in header segments. – File level,
,,,,
,,,,
Success,,,,
EDIFECS-Conversion,PROCESSED,,After the EDI conversion if it’s a success,
EDIFECS-Validation,SUCCESS,,,
,,,,
Error Scenario 1,,,,
EDIFECS-Conversion,ERROR,Edifecs Translator Error,After the EDI conversion if it’s a failure,
,,,,
Error Scenario 2,,,,
EDIFECS-Conversion,PROCESSED,,After the EDI conversion if it’s a success,
EDIFECS-Validation,ERROR,Edifecs HIPAA Validation Error,"After the SNIP Validations, if it’s a bad record",
