No,Field,Data Type,Length,Data Source,Usage,Sample Format
"All Transaction Types of a member needs to be grouped together and one record should be written to the CSV file. For the initial version of the product,
DEM transaction, 10 occurences of PLN/PWO/LIS/LEP/FLG/PCP/COB/MCD and 5 occurences of M3P  transactions for a member will be mapped to CSV format.",,,,,,
1,Subscriber ID,VARCHAR,10,,R,
2,ClaimsSubscriberIDNumber,VARCHAR,11,Member Details,S,369258147
3,BenefitPlanStartDate_1,VARCHAR,10,PCP/Enroll History,S,20080101
4,BenefitPlanEndDate_1,VARCHAR,10,Sytem logic,S,20081231
5,BenefitPlanStartDate_2,VARCHAR,10,PCP/Enroll History,S,20080101
6,BenefitPlanEndDate_2,VARCHAR,10,Sytem logic,S,20081231
7,BenefitPlanStartDate_3,VARCHAR,10,PCP/Enroll History,S,20080101
8,BenefitPlanEndDate_3,VARCHAR,10,Sytem logic,S,20081231
9,BenefitPlanStartDate_4,VARCHAR,10,PCP/Enroll History,S,20080101
10,BenefitPlanEndDate_4,VARCHAR,10,Sytem logic,S,20081231
11,BenefitPlanStartDate_5,VARCHAR,10,PCP/Enroll History,S,20080101
12,BenefitPlanEndDate_5,VARCHAR,10,Sytem logic,S,20081231
13,BenefitPlanStartDate_6,VARCHAR,10,PCP/Enroll History,S,20080101
14,BenefitPlanEndDate_6,VARCHAR,10,Sytem logic,S,20081231
15,BenefitPlanStartDate_7,VARCHAR,10,PCP/Enroll History,S,20080101
16,BenefitPlanEndDate_7,VARCHAR,10,Sytem logic,S,20081231
17,BenefitPlanStartDate_8,VARCHAR,10,PCP/Enroll History,S,20080101
18,BenefitPlanEndDate_8,VARCHAR,10,Sytem logic,S,20081231
19,BenefitPlanStartDate_9,VARCHAR,10,PCP/Enroll History,S,20080101
20,BenefitPlanEndDate_9,VARCHAR,10,Sytem logic,S,20081231
21,BenefitPlanStartDate_10,VARCHAR,10,PCP/Enroll History,S,20080101
22,BenefitPlanEndDate_10,VARCHAR,10,Sytem logic,S,20081231
23,SubscriberFlag,VARCHAR,1,Member Details,S,Y
24,MBI,VARCHAR,12,Sytem logic,S,357269487A
25,MemberLastName,VARCHAR,50,Member Details,S,Smith
26,MemberFirstName,VARCHAR,50,Member Details,S,John
27,MiddleInitial,VARCHAR,1,Member Details,S,T
28,MemberTitle,VARCHAR,10,Member Details,S,Mr
29,MemberStatus,VARCHAR,20,Member Details,S,ACTIVE
30,AlternateMemberID,VARCHAR,11,Member Details,S,
31,MemberDateofBirth,VARCHAR,10,Member Details,R,19400528
32,MemberDateofDeath,VARCHAR,10,Member Details,S,20080624
33,MemberGender,VARCHAR,10,Member Details,S,M
34,MemberSocialSecurityNumber,VARCHAR,12,Member Details,S,159357852
35,MemberPermanentAddress _1,VARCHAR,55,PCP/Enroll History,S,123 Main Street
36,MemberPermanentAddress_2,VARCHAR,55,PCP/Enroll History,S,Apt 201
37,Member Permanent Address_3,VARCHAR,55,PCP/Enroll History,S,
38,MemberPermanentCity,VARCHAR,30,PCP/Enroll History,S,Cambridge
39,MemberPermanentCounty,VARCHAR,30,PCP/Enroll History,S,Middlesex
40,MemberPermanentState,VARCHAR,2,PCP/Enroll History,S,MA
