Advantasure fields,,,,,,,,HRP,,,HE - Enrollment Sparse,,
No,field,Type,,Details,Sample,Description,,,,,CSV Mapping,Mapping Logics,Comments
1,Transaction Type,ALL,3,,D,The transaction type that is being output and determines which fields will be populated on the record.,,NA,Not needed,NA,NA,,
,,,,,,,,,,,,,
,,,,,,LOV:,,,,,,,
,,,,,,▪    DEM (Demographics) – Non spanable always contains the latest value,,,,,,,
,,,,,,▪    ADR – Address History,,,,,,,
,,,,,,▪    PLN – Plan Enrollment History,,,,,,,
,,,,,,▪    PWO – Premium Withhold,,,,,,,
,,,,,,▪    LIS – Low Income Subsidy,,,,,,,
,,,,,,▪    LEP – Late Enrollment Penalty,,,,,,,
,,,,,,▪    FLG – Flag set in the system,,,,,,,
,,,,,,▪    BRK – Broker,,,,,,,
,,,,,,▪    PCP – Primary Care Physician,,,,,,,
,,,,,,▪    GRP – Group/Subgroup information,,,,,,,
,,,,,,▪    RDR – Rider,,,,,,,
,,,,,,▪    COB – Coordination of Benefits,,,,,,,
,,,,,,▪    MCD - Medicaid,,,,,,,
2,Claims SubscriberID Number,ALL,11,Member Details,369258147,Unique ID assigned to each member generally assigned by the Claims system,Field may be blank if a member is new and has not been assigned an ID by the client,Subscrier/Member HCCID,Y,Member - ID details,ClaimsSubscriberIDNumber,,"a.Member will maintain the same subscriber ID when switching plans (e.g. HMO to PPO and Vice Versa)
b. Member will maintain their original subscriber id even if they were disenrolled and reenrolled into the same plan or a different plan
c. Member will maintain their original subscriber id if they are reinstated (no gap in coverage)"
3,Start Date,ALL,8,PCP/Enroll History,20080101,Span start date,Start date of the span indicated by the specific transaction type of each record,"Start Date for each transaction type
When Transaction type is PLN - this is the Benefit start date
When Transaction type is PCP - this is the PCP start date",Y,"Member  - Plan
Member - provider",BenefitPlanStartDate_X,"When Transaction Tupe = PLN

Populate it based on the number of occurences PLN Transaction.",
4,End Date,ALL,8,PCP/Enroll History,20081231,Span end date,End date of the span indicated by the specific transaction type of each record,"End Date for each transaction type
When Transaction type DEM comes along with an END Date (a date in field 4) - this is the Benefit end date and PCP end date.
When Transaction type is PCP - this is the PCP end date",Y,"Member  - Plan
Member - provider",BenefitPlanEndDate_X,"When Transaction Tupe = PLN

Populate it based on the number of occurences PLN Transaction.",
5,Subscriber Flag,DEM,1,System Logic,Y,"LOV: Y = Yes, or Null",Will always be Y on DEM record and be blank on all other records.,General: Subscriber Relationship,Y,Member Details,SubscriberFlag,,
6,MBI,ALL,12,Member Details,357269487A,"Medicare Beneficiary Identifier (MBI) of the
member in the system",,Medicare: Medicare Beneficary ID,Y,Member- Medicare,MBI,,
7,Member Name,DEM,105,System Logic,John Smith,First name Last Name,Created by combining first name and last name,General: Primary Name,Y,Member - Demographic,,,
8,Member’s Last Name,DEM,50,Member Details,Smith,Last name of the member in the system,"Note: if member has suffix (e.g. Jr.), it will be appended to the last name",General: Primary Name,Y,Member - Demographic,MemberLastName,,
9,Member’s First Name,DEM,50,Member Details,John,First name of the member in the system,,General: Primary Name,Y,Member - Demographic,MemberFirstName,,
10,Middle Initial,DEM,1,Member Details,T,Member middle initial in the system,,General: Primary Name,Y,Member - Demographic,MiddleInitial,,
11,Member’s Title,DEM,10,Member Details,Mr,"Title or prefix of the member in the system. LOV: Mr, Ms, or Mrs",,General: Primary Name,Y,Member - Demographic,MemberTitle,,
12,Member Status,DEM,20,Member Details,"ACTIVE
PENDING
TERM SUBMITTED
DENIED

We will process any member status in EDIFECS",Current status of the member in the Advantasure system,The current status of the member will be sent (see Member Status Values),General: Status ?? (top most of the screen),Y,Member - Demographic,MemberStatus,,
13,Alternate Member ID,DEM,11,Member Details,,Alternate member ID issued by the client,ID number is separate from the family link indicator number,General: Other ID,Y,Member - ID details,AlternateMemberID,,
14,Member Date of Birth,DEM,8,Member Details,19400528,Member’s date of birth in format YYYYMMDD,,General : Birth Date,Y,Member- Demograohic,MemberDateofBirth,Date format - YYYY-MM-DD,
15,Member Date of Death,DEM,8,Member Details,20080624,Member’s date of death in format YYYYMMDD,,General : Date of Death,Y,Member- Demograohic,MemberDateofDeath,Date format - YYYY-MM-DD,
16,Member Gender,DEM,1,Member Details,M,LOV: M = Male; F = Female; U=Unknown,,General : Gender,Y,Member- Demograohic,MemberGender,"If the input field is 'M' then hardcode as 'Male'
If the input field is 'F' then hardcode as 'Female'
Else, if we get any other input field then hardcode as 'Unknown'",
17,Member Social Security Number,DEM,9,Member Details,159357852,Member’s social security number,Will only populate if SSN is populated on Member Details field but is not collected or required for an MA application,General : SSN,Y,Member- Demograohic,MemberSocialSecurityNumber,"Format of tax identification number - 161-11-7187.

Include hyphen as per the example mentioned above",
18,Address Type,ADR,9,PCP/Enroll History,Permanent,Type of address listed on this ADR record,Will be blank for DEM,NA,Y,NA,,,
19,Member Permanent Address 1,"DEM,",55,PCP/Enroll History,123 Main Street,Address line 1 of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,Contact: Residential Address,Y,Member - Contact,MemberPermanentAddress _1,,
20,Member Permanent Address 2,"DEM,",55,PCP/Enroll History,Apt 201,Address line 2 of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberPermanentAddress _2,,
21,Member Permanent Address 3,"DEM,",55,PCP/Enroll History,,Address line 3 of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberPermanentAddress _3,,
22,Member Permanent City,"DEM,",30,PCP/Enroll History,Cambridge,City of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberPermanentCity,,
23,Member Permanent County,"DEM,",30,PCP/Enroll History,Middlesex,County of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberPermanentCounty,,
24,Member Permanent State,"DEM,",2,PCP/Enroll History,MA,State of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberPermanentState,,
25,Member Permanent SCC,"DEM, ADR",5,PCP/Enroll History,25017,Unique code used by SSA to identify each combination of State and County,DEM transaction: contains most recent address,,N,,,,
26,Member Permanent Zip Code,"DEM,",9,PCP/Enroll History,02138 (5 Digit) 021389999 (9 Digit),Zip Code of the Permanent Residence Address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberPermanentZipCode,,
27,Member Mailing Address 1,"DEM,",55,PCP/Enroll History,,Address line 1 of the mailing address of the member in the system,DEM transaction: contains most recent address,Contact:Correspondence Address,Y,,MemberMailingAddress_1,,
28,Member Mailing Address 2,"DEM,",55,PCP/Enroll History,,Address line 2 of the mailing address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberMailingAddress_2,,
29,Member Mailing Address 3,"DEM,",55,PCP/Enroll History,,Address line 3 of the mailing address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberMailingAddress_3,,
30,Member Mailing City,"DEM,",30,PCP/Enroll History,,City of the mailing address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberMailingCity,,
31,Member Mailing State,"DEM,",2,PCP/Enroll History,,State of the mailing address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberMailingState,,
32,Member Mailing Zip Code,"DEM,",9,PCP/Enroll History,02138 (5 Digit) 021389999 (9 Digit),Zip code of the mailing address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberMailingZipCode,,
33,Member Billing Address 1,"DEM,",55,PCP/Enroll History,,Address line 1 of the billing address of the member in the system,DEM transaction: contains most recent address,Contact: Billing Address,Y,,MemberBillingAddress_1,,
34,Member Billing Address 2,"DEM,",55,PCP/Enroll History,,Address line 2 of the billing address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberBillingAddress_2,,
35,Member Billing Address 3,"DEM,",55,PCP/Enroll History,,Address line 3 of the billing address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberBillingAddress_3,,
36,Member Billing City,"DEM,",30,PCP/Enroll History,,City of the billing address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberBillingCity,,
37,Member Billing State,"DEM,",2,PCP/Enroll History,,State of the billing address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberBillingState,,
38,Member Billing Zip Code,"DEM,",9,PCP/Enroll History,02138 (5 Digit) 021389999 (9 Digit),Zip code of the billing address of the member in the system,DEM transaction: contains most recent address,,Y,,MemberBillingZipCode,"byte1-5zipcode
byte6-9extensioncode",
39,Member Home Phone Number,DEM,10,Member Details,5552227654,Primary phone number for contact,No dashes or hyphens,Contact:Phone number,Y,,MemberHomePhoneNumber,,
40,Alternate Member Phone Number,DEM,10,Member Details,5552345612,"Alternate phone number can be mobile, office, or other voice line",No dashes or hyphens,Contact:Phone number,Y,,AlternateMemberPhoneNumber,,
41,Member Email Address,DEM,60,Member Details,jsmith@add ress.com,Email address supplied by member on the election form,,Contact:Email,Y,,MemberEmailAddress,,
42,Name of Emergency Contact,DEM,200,Member Details,Jane Good,Name of individual to be contacted in case of emergency,,"Couldn’t locate in HRP UI for other responsible
PHI- Personal Representatives",N,"NA
Member - PHI","FirstNameofEmergencyContact
LastNameofEmergencyContact",The Full name is sent across the file. Based on spaces we need to split First name and Last name.,
43,Emergency Contact Relationship to Member,DEM,50,Member Details,Daughter,Emergency contacts relationship to member,,Couldn’t locate in HRP UI,Y,NA,EmergencyContactRelationshiptoMember,,
44,Emergency Contact Phone Number,DEM,10,Member Details,5551347629,Emergency contact phone number,,Couldn’t locate in HRP UI,Y,NA,EmergencyContactPhoneNumber,,
45,"ID Card Trigger flag
The significance of this field",DEM,1,Member Details,Y,Flag indicates if a new ID Card is requested LOV: Y = Yes; N = No,Flag will be reset to No after the file is generated,NA,Not needed,NA,NA,,
46,Endangered Member Flag,DEM,1,Member Details,Y,Flag indicates that member is endangered/at risk; LOV: Y = Yes; N = No,"If Y, member is at risk from family member or cohabiting person",PHI:Confidential communication,,Member-PHI,EndangeredMemberFlag,,
47,Member in OOA Process,DEM,1,Member Details,Y,Flag indicating that the member is currently in the Out Of Area process; LOV: Y = Yes; N = No,,,,,,,
48,Source for placing in OOA process,DEM,30,Member Details,Returned Mail,Provides source of information that placed member in the OOA process,Source could be a TRC received from CMS or an update by a user,Couldn’t locate in HRP UI,N,NA,NA,,
49,Date of Move,DEM,8,Member Details,20120416,"Date member moved out of the service area, in the format YYYYMMDD",Date of move can be prospective or retroactive,Couldn’t locate in HRP UI,N,NA,NA,,
50,Move Deadline,DEM,8,Member Details,20121131,Date calculated by the system based on client logic after which member will be Involuntarily disenrolled,Date Involuntary Termination will be triggered based on move date,Couldn’t locate in HRP UI,N,NA,NA,,
