Sr No,Field Name,Datatype,Length,"Usage
_R: Required
 S: Situational",Comments
1,Subscriber_ID,VARCHAR,10,R,
2,EdiFilename,VARCHAR,100,S,Populate only for Subscriber
3,SenderId,VARCHAR,15,S,Populate only for Subscriber
4,ReceiverId,VARCHAR,15,S,Populate only for Subscriber
5,ActionCode,VARCHAR,2,S,Populate only for Subscriber
6,Maintenance_Type_Code,VARCHAR,20,S,
7,Maintenance_type_code_EDI,VARCHAR,3,S,
8,Maintenance_Override,VARCHAR,5,S,
9,MaintenanceReasonCode_Name,VARCHAR,30,S,Populate only for Subscriber
10,MaintenanceReasonCode_Entry,VARCHAR,3,S,Populate only for Subscriber
11,Member_MaintenanceReasonCode_Name,VARCHAR,30,S,
12,Member_MaintenanceReasonCode_Entry,VARCHAR,3,S,
13,Individual_Relationship_Code,VARCHAR,2,S,
14,Relationship_Name,VARCHAR,30,S,
15,BenefitStatusCode,VARCHAR,1,S,
16,MemberIsSubscriber,VARCHAR,5,S,
17,Ethnicity_codeSetName,VARCHAR,20,S,
18,Ethnicity_1,VARCHAR,1,S,
19,Ethnicity_2,VARCHAR,1,S,
20,Ethnicity_3,VARCHAR,1,S,
21,Ethnicity_4,VARCHAR,1,S,
22,Ethnicity_5,VARCHAR,1,S,
23,Smoking_Status,VARCHAR,20,S,
24,Gender_Code,VARCHAR,1,S,
25,Marital_Status_Code,VARCHAR,30,S,
26,Immigration_Status,VARCHAR,2,S,
27,Birth_Date,VARCHAR,10,S,
28,Last_Name,VARCHAR,60,S,
29,Middle_Name,VARCHAR,25,S,
30,First_Name,VARCHAR,35,S,
31,AddressTypeCode_Name,VARCHAR,30,S,
32,AddressTypeCode_Entry,VARCHAR,2,S,
33,Postal_Address,VARCHAR,55,S,
34,State_Code,VARCHAR,2,S,
35,Zip_Code,VARCHAR,6,S,
36,ZipExtension_Code,VARCHAR,4,S,
37,City_Name,VARCHAR,30,S,
38,County_Code,VARCHAR,30,S,
39,Phone_Area_Code,VARCHAR,3,S,
40,Phone_Number,VARCHAR,7,S,
41,emailAddress,VARCHAR,256,S,
42,Correspondence_Address,VARCHAR,55,S,
43,State_Code_correspondence,VARCHAR,2,S,
44,Zip_Code_correspondence,VARCHAR,15,S,
45,City_Name_correspondence,VARCHAR,30,S,
46,County_Code_correspondance,VARCHAR,3,S,
47,Receipt_Date,VARCHAR,10,S,
48,Identification_Number,VARCHAR,80,S,
49,BenefitPlan_Hcc_Id_EDI_Group Number_1,VARCHAR,50,S,
50,BenefitPlan_Hcc_Id_EDI_Class of Contract code_1,VARCHAR,50,S,
51,BenefitPlan_Hcc_Id_EDI_Client_Reporting Category_1,VARCHAR,50,S,
52,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_1,VARCHAR,50,S,
53,BenefitPlan_startDate_1,VARCHAR,10,S,
54,BenefitPlan_endDate_1,VARCHAR,10,S,
55,Effectuation_Date_1,VARCHAR,10,S,
56,HealthCoverageMaintenanceCode_1,VARCHAR,3,S,
57,InsuranceLineCode_1,VARCHAR,3,S,
58,BenefitPlan_Hcc_Id_EDI_Group Number_2,VARCHAR,50,S,
59,BenefitPlan_Hcc_Id_EDI_Class of Contract code_2,VARCHAR,50,S,
60,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_2,VARCHAR,50,S,
61,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_2,VARCHAR,50,S,
62,BenefitPlan_startDate_2,VARCHAR,10,S,
63,BenefitPlan_endDate_2,VARCHAR,10,S,
64,Effectuation_Date_2,VARCHAR,10,S,
65,HealthCoverageMaintenanceCode_2,VARCHAR,3,S,
66,InsuranceLineCode_2,VARCHAR,3,S,
67,BenefitPlan_Hcc_Id_EDI_Group Number_3,VARCHAR,50,S,
68,BenefitPlan_Hcc_Id_EDI_Class of Contract code_3,VARCHAR,50,S,
69,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_3,VARCHAR,50,S,
70,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_3,VARCHAR,50,S,
71,BenefitPlan_startDate_3,VARCHAR,10,S,
72,BenefitPlan_endDate_3,VARCHAR,10,S,
73,Effectuation_Date_3,VARCHAR,10,S,
74,HealthCoverageMaintenanceCode_3,VARCHAR,3,S,
75,InsuranceLineCode_3,VARCHAR,3,S,
76,BenefitPlan_Hcc_Id_EDI_Group Number_4,VARCHAR,50,S,
77,BenefitPlan_Hcc_Id_EDI_Class of Contract code_4,VARCHAR,50,S,
78,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_4,VARCHAR,50,S,
79,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_4,VARCHAR,50,S,
80,BenefitPlan_startDate_4,VARCHAR,10,S,
81,BenefitPlan_endDate_4,VARCHAR,10,S,
82,Effectuation_Date_4,VARCHAR,10,S,
83,HealthCoverageMaintenanceCode_4,VARCHAR,3,S,
84,InsuranceLineCode_4,VARCHAR,3,S,
85,BenefitPlan_Hcc_Id_EDI_Group Number_5,VARCHAR,50,S,
86,BenefitPlan_Hcc_Id_EDI_Class of Contract code_5,VARCHAR,50,S,
87,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_5,VARCHAR,50,S,
88,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_5,VARCHAR,50,S,
89,BenefitPlan_startDate_5,VARCHAR,10,S,
90,BenefitPlan_endDate_5,VARCHAR,10,S,
91,Effectuation_Date_5,VARCHAR,10,S,
92,HealthCoverageMaintenanceCode_5,VARCHAR,3,S,
93,InsuranceLineCode_5,VARCHAR,3,S,
94,BenefitPlan_Hcc_Id_EDI_Group Number_6,VARCHAR,50,S,
95,BenefitPlan_Hcc_Id_EDI_Class of Contract code_6,VARCHAR,50,S,
96,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_6,VARCHAR,50,S,
97,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_6,VARCHAR,50,S,
98,BenefitPlan_startDate_6,VARCHAR,10,S,
99,BenefitPlan_endDate_6,VARCHAR,10,S,
100,Effectuation_Date_6,VARCHAR,10,S,
101,HealthCoverageMaintenanceCode_6,VARCHAR,3,S,
102,InsuranceLineCode_6,VARCHAR,3,S,
103,BenefitPlan_Hcc_Id_EDI_Group Number_7,VARCHAR,50,S,
104,BenefitPlan_Hcc_Id_EDI_Class of Contract code_7,VARCHAR,50,S,
105,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_7,VARCHAR,50,S,
106,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_7,VARCHAR,50,S,
107,BenefitPlan_startDate_7,VARCHAR,10,S,
108,BenefitPlan_endDate_7,VARCHAR,10,S,
109,Effectuation_Date_7,VARCHAR,10,S,
110,HealthCoverageMaintenanceCode_7,VARCHAR,3,S,
111,InsuranceLineCode_7,VARCHAR,3,S,
112,BenefitPlan_Hcc_Id_EDI_Group Number_8,VARCHAR,50,S,
113,BenefitPlan_Hcc_Id_EDI_Class of Contract code_8,VARCHAR,50,S,
114,BenefitPlan_Hcc_Id_EDI_Client_ReportingCategory_8,VARCHAR,50,S,
115,BenefitPlan_Hcc_Id_EDI_MutuallyDefined_8,VARCHAR,50,S,
116,BenefitPlan_startDate_8,VARCHAR,10,S,
117,BenefitPlan_endDate_8,VARCHAR,10,S,
118,Effectuation_Date_8,VARCHAR,10,S,
119,HealthCoverageMaintenanceCode_8,VARCHAR,3,S,
120,InsuranceLineCode_8,VARCHAR,3,S,
121,COB_PolicyId_1,VARCHAR,50,S,
122,COB_otherInsuranceCompanyName_1,VARCHAR,60,S,
123,COB_groupNumber_1,VARCHAR,50,S,
124,COB_startDate_1,VARCHAR,10,S,
125,COB_endDate_1,VARCHAR,10,S,
126,COB_responsibilitySequenceCode_1,VARCHAR,15,S,
127,COB_PolicyId_2,VARCHAR,50,S,
128,COB_otherInsuranceCompanyName_2,VARCHAR,60,S,
129,COB_groupNumber_2,VARCHAR,50,S,
130,COB_startDate_2,VARCHAR,10,S,
131,COB_endDate_2,VARCHAR,10,S,
132,COB_responsibilitySequenceCode_2,VARCHAR,15,S,
133,COB_PolicyId_3,VARCHAR,50,S,
134,COB_otherInsuranceCompanyName_3,VARCHAR,60,S,
135,COB_groupNumber_3,VARCHAR,50,S,
136,COB_startDate_3,VARCHAR,10,S,
137,COB_endDate_3,VARCHAR,10,S,
138,COB_responsibilitySequenceCode_3,VARCHAR,15,S,
139,COB_PolicyId_4,VARCHAR,50,S,
140,COB_otherInsuranceCompanyName_4,VARCHAR,60,S,
141,COB_groupNumber_4,VARCHAR,50,S,
142,COB_startDate_4,VARCHAR,10,S,
143,COB_endDate_4,VARCHAR,10,S,
144,COB_responsibilitySequenceCode_4,VARCHAR,15,S,
145,COB_PolicyId_5,VARCHAR,50,S,
146,COB_otherInsuranceCompanyName_5,VARCHAR,60,S,
147,COB_groupNumber_5,VARCHAR,50,S,
148,COB_startDate_5,VARCHAR,10,S,
149,COB_endDate_5,VARCHAR,10,S,
150,COB_responsibilitySequenceCode_5,VARCHAR,15,S,
151,PCP_RoleType,VARCHAR,10,S,
152,PCP_hccIdentificationNumber,VARCHAR,80,S,
153,PCP_Change_Effectivedate,VARCHAR,10,S,
154,Language_codeEntry_1,VARCHAR,10,S,
155,Language_shortName_1,VARCHAR,30,S,
156,Language_codeSetName_1,VARCHAR,30,S,
157,Primary_Language_1,VARCHAR,1,S,
158,Native_Language_1,VARCHAR,1,S,
159,Language_codeEntry_2,VARCHAR,10,S,
160,Language_shortName_2,VARCHAR,30,S,
161,Language_codeSetName_2,VARCHAR,30,S,
162,Primary_Language_2,VARCHAR,1,S,
163,Native_Language_2,VARCHAR,1,S,
164,Language_codeEntry_3,VARCHAR,10,S,
165,Language_shortName_3,VARCHAR,30,S,
166,Language_codeSetName_3,VARCHAR,30,S,
167,Primary_Language_3,VARCHAR,1,S,
168,Native_Language_3,VARCHAR,1,S,
169,AsOfDate,VARCHAR,10,S,Populate only for Subscriber
170,Subscriber_count,VARCHAR,15,S,Populate only for Subscriber
171,Policy_number,VARCHAR,50,S,
172,Case_Number,VARCHAR,50,S,
173,Client_Number,VARCHAR,50,S,
174,Client_Reporting_Category,VARCHAR,50,S,
175,Cross_Reference_Number,VARCHAR,50,S,
176,Mutually_Defined_Identifier,VARCHAR,50,S,
177,Reporting_Category_Name_1,VARCHAR,60,S,
