LoopID.Segment ID,EDI Element Name,Element Description,Enumeration Values,Field in CSV layout.,Mapping Logic
ISA,Interchange Control Header,,,,
ISA01,Authorization Information Qualifier,,00 : No Authorization Information Present,,
ISA02,Authorization Information,,Blank (10 spaces),,
ISA03,Security Information Qualifier,,00 : No Security Information Present,,
ISA04,Security Information,,Blank (10 spaces),,
ISA05,Interchange ID Qualifier,,ZZ : Mutually Defined,,
ISA06,Interchange Sender ID,Interchange Sender ID,,SenderId,Populate only for Subscriber record(INS01 =Y)
ISA07,Interchange ID Qualifier,,ZZ : Mutually Defined,,
ISA08,Interchange Receiver ID,The Trading Partner ID (TPID) assigned by the Client,,ReceiverId,Populate only for Subscriber record(INS01 =Y)
ISA09,Interchange Date,Date the Interchange is created,,,
ISA10,Interchange Time,Time the Interchange is created,,,
ISA11,Interchange Control Standards Identifier,Repetition Separator,^,,
ISA12,Interchange Control Version Number,Standards Approved by ACS X12 Review Board,,,
ISA13,Interchange Control Number,A control number assigned by the interchange sender,,,
ISA14,Acknowledgment Requested,Code indicating sender’s request for an interchange acknowledgment,"0 : No Interchange Acknowledgement Requested
1 : Interchange Acknowledgment Requested",,
ISA15,Usage Identifier,"Code indicating whether data enclosed by this interchange envelope is test,
production or information",P : Production Data T : Test,,
ISA16,Component Element Separator,The delimiter used to separate component data elements,": = Element separator
~ = Segment Terminator",,
GS,Functional Group Header,,,,
GS01,Functional Identifier Code,Benefit Enrollment And Maintenance (834),,,
GS02,Application Senders Code,Code identifying party sending transmission; codes agreed to by trading partners,,,
GS03,Application Receivers Code,"The Trading Partner ID (TPID)
assigned by the client",,,
GS04,Date,"Date the Group Header is created.
Enter current date in the CCYYMMDD format",,Receipt_Date,In the format of YYYY-MM-DD
GS05,Time,"Time the Group Header is created.
Enter current time in the HHMM format",,,
GS06,Group Control Number,"Unique Sequential Number Assigned by Internal Processes for each Group Header  by the sender.
Must be identical to the Interchange Trailer GE02 .
This is Submitter-specific.",,,
GS07,Responsible Agency Code,"Code identifying the issuer of the EDI standard being used.
Accredited Standards Committee X12",X : Accredited Standards Committee X12,,
GS08,Version/Release/Industry Identifier Code,"Standards Approved for
Publication by ASC X12
Procedures Review Board",005010X220: Standards Approved for Publication by ASC X12,,
ST,Transaction Set Header,,,,
ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,834 Benefit Enrollment and Maintenance,,
ST02,Transaction Set Control Number,"Unique Sequential Number Assigned by Internal Processes for each Transaction Set
ST02 and SE02 must be identical",,,
ST03,Implementation Convention Reference,"Standards Approved by ACS X12 Review Board
ST03 and GS08 must be identical",,,
BGN,Beginning Segment,,,,
BGN01,Transaction Set Purpose Code,,"00 Original
15 Re-Submission
22 Information Copy",,
BGN02,Reference Identification,Transaction Set Reference Number,,,
BGN03,Date,Date the Transaction Set is created.,,,
BGN04,Time,Time the Transaction Set is created,,,
BGN05,Time Code,Time Zone Code,"Eastern Time, always sent",,
BGN06,Reference Identification,Original Transaction Set Reference Number,,,
BGN07,Transaction Type Code,,,,
BGN08,Action Code,,"2 = Change/Update
4 = Verify",ActionCode,Populate only for Subscriber record(INS01 =Y)
REF,Transaction Set Policy Number,,,,
REF01,Reference Identification Qualifier,,38 Master Policy Number,,
REF02,Reference Identification,Master Policy Number,,,
DTP,DTP - File Effective Date,,,,
DTP01,Date/Time Qualifier,Date Time Qualifier,"007 Effective
090 Report Start
091 Report End
303 Maintenance Effective
382 Enrollment
388 Payment Commencement",,
DTP02,Date Time Period Format Qualifier,,D8 Date Expressed in Format CCYYMMDD,,
DTP03,Date Time Period,,,AsOfDate,"Populate only for Subscriber record(INS01 =Y)

Format - YYYY-MM-DD.
When DTP01 = 007"
QTY,Transaction Set Control Totals,,,,
QTY01,Quantity Qualifier,,"DT Dependent Total
ET Employee Total
TO Total",,
QTY02,Quantity,Record Totals,,Subscriber_count,"when QTY01 = ET
Populate only for Subscriber record(INS01 =Y)"
1000A — SPONSOR NAME Loop Repeat: 1,,,,,
1000A.N1,Sponsor Name,,,,
1000A.N101,Entity Identifier Code,,P5 = Plan sponsor,,
1000A.N102,Plan Sponsor Name,Plan Sponsor Name,,,
1000A.N103,Identification Code Qualifier,,FI = Federal Tax ID Number,,
1000A.N104,Identification Code,Sponsor Identifier,,,
1000A.N2,Additional Name Information,,,,
1000A.N101,Name,,,,
1000A.N102,Name,,,,
1000A.N3,Party Location,,,,
1000A.N101,Address Information,,,,
1000A.N102,Address Information,,,,
1000A.N4,Geographic Location,,,,
1000A.N101,City Name,,,,
1000A.N102,State or Province Code,,,,
1000A.N103,Postal Code,,,,
1000A.N104,Country Code,,,,
1000A.N105,Location Qualifier,,,,
1000A.N106,Location Identifier,,,,
1000A.N107,Country Subdivision Code,,,,
1000A.PER,Administrative Communications Contact,,,,
1000A.PER01,Contact Function Code,,,,
1000A.PER02,Name,,,,
1000A.PER03,Communication Number Qualifier,,,,
1000A.PER04,Communication Number,,,,
1000A.PER05,Communication Number Qualifier,,,,
1000A.PER06,Communication Number,,,,
1000A.PER07,Communication Number Qualifier,,,,
1000A.PER08,Communication Number,,,,
1000A.PER09,Contact Inquiry Reference,,,,
1000B — PAYER Loop Repeat: 1,,,,,
1000B.N1,Payer,,,,
1000B.N101,Entity Identifier Code,,IN = Insurer,,
1000B.N102,Name,Insurer Name,,,
1000B.N103,Identification Code Qualifier,,FI = Federal Tax ID number,,
1000B.N104,Identification Code,Insurer Identification Code,,,
1000C — TPA/BROKER NAME Loop Repeat: 2,,,,,
1000C.N1,TPA/Broker Name,,,,
1000C.N101,Entity Identifier Code,,"BO : Broker or Sales Office
TV : Third Party Administrator (TPA)",,
1000C.N102,Name,TPA/Broker Name (free-form),,,
1000C.N103,Identification Code Qualifier,,FI = Federal Tax ID number,,
1000C.N104,Identification Code,TPA or Broker Identification Code,,,
1100C — TPA/BROKER ACCOUNT INFORMATION Loop Repeat: 1,,,,,
1100C.ACT,TPA/BROKER ACCOUNT INFORMATION,,,,
1100C.ACT1,"Account
Number",TPA or Broker Account Number,,,
1100C. ACT02,Name,,,,
1100C.ACT03,Identification Code Qualifier,,,,
1100C.ACT04,Identification Code,,,,
1100C.ACT05,Account Number Qualifier,,,,
1100C.ACT06,Account Number,,,,
1100C.ACT07,Description,,,,
1100C.ACT08,Payment Method Type Code,,,,
1100C.ACT09,Benefit Status Code,,,,
"2000 — MEMBER LEVEL DETAIL Loop Repeat: >1                            For a family(records with the same REF*0F), there should be  a member record for each INS. Refer Sample CSV Tab.",,,,,
2000.INS,Member Level Detail,,,,
2000.INS01,Subscriber Indicator,,"Y :Yes
N :No",MemberIsSubscriber,"TRUE if INS01 = Y
FALSE if INS01 = N"
2000.INS02,Individual Relationship Code,,"01 Spouse
03 Father or Mother
04 Grandfather or Grandmother
05 Grandson or Granddaughter
06 Uncle or Aunt
07 Nephew or Niece
08 Cousin
09 Adopted Child
10 Foster Child
11 Son-in-law or Daughter-in-law
12 Brother-in-law or Sister-in-law
13 Mother-in-law or Father-in-law
14 Brother or Sister
15 Ward
16 Stepparent
17 Stepson or Stepdaughter
18 Self
19 Child
23 Sponsored Dependent
24 Dependent of a Minor Dependent
25 Ex-spouse
26 Guardian
31 Court Appointed Guardian
38 Collateral Dependent
53 Life Partner
60 Annuitant
D2 Trustee
G8 Other Relationship
G9 Other Relative",Individual_Relationship_Code,
,,,,Relationship_Name,Refer Crosswalks Tab for the mapping logic
2000.INS03,Maintenance Type Code,,"001 = Change,
021 = Addition,
024 = Cancellation or Termination,
025 = Reinstatement/Benefit Plan change,
030 = Audit or Compare",Maintenance_type_code_EDI,
,,,,Maintenance_Type_Code,"CHANGE If INS03 = 001,
CREATE if INS03 =021,
TERMINATE if INS03 =024,
REINSTATE if INS03 =025,
AUDIT if INS03 =030."
,,,,Member_MaintenanceReasonCode_Name,"Member_MaintenanceReasonCode_Name will be  SubscriptionCreateReason if INS03=021,
SubscriptionAmendReason if INS03=01,
SubscriptionTeminateReason if INS03=024,
SubscriptionReinstateReason If INS03=025."
,,,,MaintenanceReasonCode_Name,"Populate for Subscriber record(.i.e INS01 = Y). MaintenanceReasonCode_Name will be  SubscriptionCreateReason if INS03=021,
SubscriptionAmendReason if INS03=01,
SubscriptionTeminateReason if INS03=024,
SubscriptionReinstateReason If INS03=025."
2000.INS04,Maintenance Reason Code,,"03=death
07=Termination of Benefits
15=Primary Care Provider Change
22=Plan Change
25=Change in Identifying Data Elements
28=Initial Enrollment
41=Re-enrollment
43=Change of Location
AI=Effective Date Change
XN=Notification Only (Audit)",MaintenanceReasonCode_Entry,Populate only for Subscriber record(.i.e INS01 = Y)..
,,,,Member_MaintenanceReasonCode_Entry,
2000.INS05,Benefit Status Code,,"A: Active
C: Consolidated Omnibus Budget Reconciliation Act
(COBRA)
S: Surviving Insured
T: Tax Equity and Fiscal Responsibility Act (TEFRA)",BenefitStatusCode,
2000.INS06,MEDICARE STATUS CODE,,,,
2000.INS06-1,Medicare Plan Code,,"A =  Medicare Part A
B =  Medicare Part B
C = Medicare Part A and B
D = Medicare
E  = No Medicare",,
2000.INS06-2,Eligibility Reason Code,,"0 Age
1 Disability
2 End Stage Renal Disease (ESRD)",,
2000.INS07,COBRA Qualifying Event,,"1 Termination of Employment
2 Reduction of work hours
3 Medicare
4 Death
5 Divorce
6 Separation
7 Ineligible Child
8 Bankruptcy of Retiree’s Former Employer (26 U.S.C.
4980B(f)(3)(F))
9 Layoff
10 Leave of Absence
ZZ Mutually Defined",,
2000.INS08,Employment Status Code,,"Conversion Values:
AO - Active Military
AU - Active Military
RT - Retired
L1 - Leave of Absence
FT - Full-Time
PT - Part-Time
AC - Active for enrolled Members
TE - Terminate",,
2000.INS09,Student Status Code,,"F - Full-Time
N - Not a Student
P - Part-Time",,
2000.INS10,Handicap Indicator,,"Y = Yes
N= No",,
2000.INS11,DTP Format Qualifier,,D8 Date Expressed in Format CCYYMMDD,,
2000.INS12,Insured Individual Death Date,Date of Death,,,
2000.INS13,Confidentiality Code,,"R Restricted Access
U Unrestricted Acces",,
2000.INS17,Birth Sequence Number,,,,
2000.REF,Subscriber Identifier,,,,
2000.REF01,Reference Identification Qualifier,,0F Subscriber Number,,
2000.REF02,Reference Identification,Subscriber Identifier,,Subscriber_identification_number,
2000.REF,Member Policy Number,,,,
2000.REF01,Reference Identification Qualifier,,1L Group or Policy Number,,
2000.REF02,Reference Identification,Member Group or Policy Number,,Policy_number,
2000.REF,Member Supplemental Identifier Segment repeat = 13,,,,
2000.REF01,Reference Identification Qualifier,,"17 Client Reporting Category
23 Client Number
3H Case Number
6O Cross Reference Number
Q4 Prior Identifier Number
ZZ Mutually Defined",,
2000.REF02,Reference Identification,Member Supplemental Identifier,,Cross_Reference_Number,If 2000.REF01 = 6O
,,,,Client_Number,If 2000.REF01 = 23
,,,,Client_Reporting_Category,If 2000.REF01 = 17
