EDI LoopID.Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Hardcode,CSV Field,Claim Level/Line Level,Transformation Logic
"For each claim record  in the IB EDI 837I file, there should be
             1) A claim level record and
              2) Line level records corresponding to each line of the claim
           in the CSV file.",,,,,,,,,
ISA - Interchange Control Header Segment,,,,,,,,,
ISA01,Authorization Information Qualifier,Code identifying the type of information in the Authorization Information,R,00 : No Authorization Information Present,,"Hardcode as ""00""",,,
ISA02,Authorization Information,Code identifying the type of information in the Authorization Information,R,"00: No Authorization Information Present (No
Meaningful Information in I02)
03:Additional Data Identification",,Leave it blank,,,
ISA03,Security Information Qualifier,Code identifying the type of information in the Security Information,R,00,,"Hardcode as ""00""",,,
ISA04,Security Information,"security information about the interchange sender
or the data in the interchange",R,Blank (10 spaces),,Leave it blank,,,
ISA05,Interchange ID Qualifier,"Code indicating the system/method of code structure used to designate the
sender or receiver ID element being qualified",R,ZZ - Mutually Defined,,"Hardcode as ""ZZ""",,,
ISA06,Interchange Sender ID,"Identification code published by the sender for other parties to use as the receiver
ID to route data to them; the sender always codes this value in the sender ID
element",R,<Sender ID>,Example: 100SS,,SenderId,Claim Level,
,,,,,,,TradingPartnerID,Claim Level,
ISA07,Interchange ID Qualifier,"Code indicating the system/method of code structure used to designate the
sender or receiver ID element being qualified",R,ZZ,,"Hardcode as ""ZZ""",,,
ISA08,Interchange Receiver ID,Receiver Id,R,<Receiver ID>,,,ReceiverId,Claim Level,
ISA09,Interchange Date,Date of the interchange,R,SysDate (YYMMDD),Example : 220915,"Map this value from  current date in the format of ""YYMMDD""",,,
ISA10,Interchange Time,Time of the interchange,R,SysTime (HHMM),Example : 0145,Map this value from   current time in the format of HHMM,,,
ISA11,Repetition Separator,"the repetition separator is a delimiter and not a data
element; this field provides the delimiter used to separate repeated occurrences
of a simple data element or a composite data structure; this value must be
different than the data element separator, component element separator, and the
segment terminator",R,^,,"Hardcode as ""^""",,,
ISA12,Interchange Control Version Number,Code specifying the version number of the interchange control segments,R,00501,,Hardcode as “00501”,,,
