Sr No,CSV Field,Claim Level/Line Level,Data Type,Length,R/S
1,Claimid,Claim Level,VARCHAR,10,R
2,Scenarios,Claim Level,VARCHAR,100,S
3,EdiFilename,Claim Level,VARCHAR,100,S
4,totalClaimCount,Claim Level,VARCHAR,10,S
5,SenderId,Claim Level,VARCHAR,15,S
6,ReceiverId,Claim Level,VARCHAR,15,S
7,Receipt_Date,Claim Level,VARCHAR,10,S
8,Entry_Date,Claim Level,VARCHAR,10,S
9,Clean_Claim_Date,Claim Level,VARCHAR,10,S
10,Payee_Type_Field,Claim Level,VARCHAR,10,S
11,Frequency_Code,Claim Level,VARCHAR,1,S
12,Clearing_House_TraceNumber,Claim Level,VARCHAR,50,S
13,Benefit_Plan_Type,Claim Level,VARCHAR,1,S
14,TradingPartnerID,Claim Level,VARCHAR,15,S
15,Claim_Source,Claim Level,VARCHAR,15,S
16,Claim_Payor_Type,Claim Level,VARCHAR,1,S
17,Claim_Filing_Code,Claim Level,VARCHAR,2,S
18,Type_Of_Bill_Code,Claim Level,VARCHAR,2,S
19,Totals,Claim Level,VARCHAR,18,S
20,PayTo_Name,Claim Level,VARCHAR,60,S
21,PayTo_Address,Claim Level,VARCHAR,110,S
22,PayTo_CityName,Claim Level,VARCHAR,30,S
23,PayTo_StateCode,Claim Level,VARCHAR,2,S
24,PayTo_Zip_Code,Claim Level,VARCHAR,5,S
25,Statement_Start_Date,Claim Level,VARCHAR,10,S
26,Statement_End_Date,Claim Level,VARCHAR,10,S
27,BillingRecipient_Name,Claim Level,VARCHAR,60,S
28,BillingRecipient_Address,Claim Level,VARCHAR,110,S
29,BillingRecipient_CityName,Claim Level,VARCHAR,30,S
30,BillingRecipient_StateCode,Claim Level,VARCHAR,2,S
31,BillingRecipient_ZipCode,Claim Level,VARCHAR,5,S
32,BillingRecipient_ZipSuffixCode,Claim Level,VARCHAR,4,S
33,BillingRecipient_TelephoneNumber,Claim Level,VARCHAR,15,S
34,Claim_Delivery_Type,Claim Level,VARCHAR,1,S
35,Attachment_Set_ID,Claim Level,VARCHAR,80,S
36,Claim_Number,Claim Level,VARCHAR,50,S
37,Submitted_Subscriber_Id,Claim Level,VARCHAR,80,S
38,Subscriber_Identification_Number,Claim Level,VARCHAR,80,S
39,Subscriber_Name,Claim Level,VARCHAR,150,S
40,Subscriber_Last_Name,Claim Level,VARCHAR,60,S
41,Subscriber_First_Name,Claim Level,VARCHAR,35,S
42,Subscriber_Street_Address,Claim Level,VARCHAR,55,S
43,Subscriber_City_Name,Claim Level,VARCHAR,30,S
44,Subscriber_State_Code,Claim Level,VARCHAR,2,S
45,Subscriber_Postal_Code,Claim Level,VARCHAR,15,S
46,Subscriber_Gender_Code,Claim Level,VARCHAR,1,S
47,Subscriber_Date_Of_Birth,Claim Level,VARCHAR,10,S
48,Subscriber_Insurance_Group_Number,Claim Level,VARCHAR,50,S
49,Subscriber_Group_Name,Claim Level,VARCHAR,60,S
50,Member_Identification_Number,Claim Level,VARCHAR,80,S
51,Member_Name,Claim Level,VARCHAR,150,S
52,Member_Last_Name,Claim Level,VARCHAR,60,S
53,Member_First_Name,Claim Level,VARCHAR,35,S
54,Member_Street_Address,Claim Level,VARCHAR,55,S
55,Member_City_Name,Claim Level,VARCHAR,30,S
56,Member_State_Code,Claim Level,VARCHAR,2,S
57,Member_Postal_Code,Claim Level,VARCHAR,15,S
58,Member_Gender_Code,Claim Level,VARCHAR,1,S
59,Member_DateOfBirth,Claim Level,VARCHAR,10,S
60,Submitter_Id,Claim Level,VARCHAR,80,S
61,Submitter_Name,Claim Level,VARCHAR,60,S
62,Relationship_To_Subscriber_Code,Claim Level,VARCHAR,2,S
63,Patient_Control_Number,Claim Level,VARCHAR,38,S
64,Medical_Record_Number,Claim Level,VARCHAR,50,S
65,Admission_Date,Claim Level,VARCHAR,10,S
66,Admission_TimeCount,Claim Level,VARCHAR,4,S
67,Admission_Type_Code,Claim Level,VARCHAR,1,S
68,Admission_Source_Code,Claim Level,VARCHAR,1,S
69,Discharge_Status_Code,Claim Level,VARCHAR,2,S
70,Tax_Identification_Number,Claim Level,VARCHAR,50,S
71,Supplier_Name,Claim Level,VARCHAR,60,S
72,Supplier_Address,Claim Level,VARCHAR,110,S
73,Supplier_CityName,Claim Level,VARCHAR,30,S
74,Supplier_StateCode,Claim Level,VARCHAR,2,S
75,Supplier_ZipCode,Claim Level,VARCHAR,5,S
76,Supplier_ZipSuffixCode,Claim Level,VARCHAR,4,S
77,Supplier_TelephoneNumber,Claim Level,VARCHAR,15,S
78,Supplier_Npi,Claim Level,VARCHAR,80,S
79,Attending_Practitioner_FullName,Claim Level,VARCHAR,130,S
80,Attending_Practitioner_FirstName,Claim Level,VARCHAR,35,S
81,Attending_practitioner_LastName,Claim Level,VARCHAR,60,S
82,Attending_practitioner_Npi,Claim Level,VARCHAR,80,S
83,Attending_Practitioner_Id,Claim Level,VARCHAR,50,S
84,Attending_Practitioner_Id_Qualifier,Claim Level,VARCHAR,3,S
85,Operating_Practitioner_FirstName,Claim Level,VARCHAR,35,S
86,Operating_practitioner_LastName,Claim Level,VARCHAR,60,S
87,Operating_practitioner_Npi,Claim Level,VARCHAR,80,S
88,Operating_Practitioner_Id,Claim Level,VARCHAR,50,S
89,Operating_Practitioner_Id_Qualifier,Claim Level,VARCHAR,3,S
90,Other_Practitioner_FirstName,Claim Level,VARCHAR,35,S
91,Other_practitioner_LastName,Claim Level,VARCHAR,60,S
92,Other_practitioner_Npi,Claim Level,VARCHAR,80,S
93,Other_Practitioner_Id,Claim Level,VARCHAR,50,S
94,Other_Practitioner_Id_Qualifier,Claim Level,VARCHAR,3,S
95,Payer_Identification_Number,Claim Level,VARCHAR,80,S
96,Primary_Diagnosis_Code,Claim Level,VARCHAR,30,S
97,Primary_Diagnosis_POAIndicator,Claim Level,VARCHAR,1,S
98,Admit_Diagnosis_Code,Claim Level,VARCHAR,30,S
99,PRV_Diagnosis_Code1,Claim Level,VARCHAR,30,S
100,PRV_Diagnosis_Code2,Claim Level,VARCHAR,30,S
101,PRV_Diagnosis_Code3,Claim Level,VARCHAR,30,S
102,External_Diagnosis_Code1,Claim Level,VARCHAR,30,S
103,External_Diagnosis_POA1,Claim Level,VARCHAR,1,S
104,External_Diagnosis_Code2,Claim Level,VARCHAR,30,S
105,External_Diagnosis_POA2,Claim Level,VARCHAR,1,S
106,External_Diagnosis_Code3,Claim Level,VARCHAR,30,S
107,External_Diagnosis_POA3,Claim Level,VARCHAR,1,S
108,External_Diagnosis_Code4,Claim Level,VARCHAR,30,S
109,External_Diagnosis_POA4,Claim Level,VARCHAR,1,S
110,External_Diagnosis_Code5,Claim Level,VARCHAR,30,S
111,External_Diagnosis_POA5,Claim Level,VARCHAR,1,S
112,External_Diagnosis_Code6,Claim Level,VARCHAR,30,S
113,External_Diagnosis_POA6,Claim Level,VARCHAR,1,S
114,DRG_Code,Claim Level,VARCHAR,30,S
115,Other_Diagnosis_Code1,Claim Level,VARCHAR,30,S
116,Other_Diagnosis_POA1,Claim Level,VARCHAR,1,S
117,Other_Diagnosis_Code2,Claim Level,VARCHAR,30,S
118,Other_Diagnosis_POA2,Claim Level,VARCHAR,1,S
119,Other_Diagnosis_Code3,Claim Level,VARCHAR,30,S
120,Other_Diagnosis_POA3,Claim Level,VARCHAR,1,S
121,Other_Diagnosis_Code4,Claim Level,VARCHAR,30,S
122,Other_Diagnosis_POA4,Claim Level,VARCHAR,1,S
123,Priniciple_Procedure_Code,Claim Level,VARCHAR,30,S
