SI.No,CSV Field,,Claim/Line Level,Data Type,Length,Usage
1,Claimid,,Claim Level/Line Level,Varchar,10,R
2,Scenarios,,Claim Level,Varchar,100,S
3,EdiFilename,,Claim Level,Varchar,100,S
4,totalClaimCount,,Claim Level,Varchar,10,S
5,SenderId,ISA06,Claim Level,Varchar,15,S
6,ReceiverId,ISA08,Claim Level,Varchar,15,S
7,Receipt_Date,,Claim Level,Varchar,10,S
8,Entry_Date,,Claim Level,Varchar,10,S
9,Clean_Claim_Date,BHT04,Claim Level,Varchar,10,S
10,Claim_Delivery_Type,hardcode,Claim Level,Varchar,1,S
11,Payee_Type_Field,hardcode,Claim Level,Varchar,10,S
12,Frequency_Code,2300.CLM05.03,Claim Level,Varchar,1,S
13,Clearing_House_Trace_Number,2300.REF02*D9,Claim Level,Varchar,50,S
14,External_Batch_Sequence_Number,ST02,Claim Level,Varchar,9,S
15,Benefit_Plan_Type,hardcode,Claim Level,Varchar,1,S
16,TradingPartnerId,ISA06,Claim Level,Varchar,15,S
17,Claim_Source,ISA06,Claim Level,Varchar,15,S
18,claim_Payor_Type,hardcode,Claim Level,Varchar,1,S
19,Claim_Filing_Code,2000B.SBR09,Claim Level,Varchar,2,S
20,Attachment_Set_ID,2300.PWK06,Claim Level,Varchar,80,S
21,Claim_Number,2300.REF02,Claim Level,Varchar,50,S
22,Submitted_Subscriber_Id,2010BA.NM109,Claim Level,Varchar,80,S
23,Subscriber_Identification_Number,2010BA.NM109,Claim Level,Varchar,80,S
24,Subscriber_Name,,Claim Level,Varchar,120,S
25,Subscriber_Last_Name,2010BA.NM103,Claim Level,Varchar,60,S
26,Subscriber_First_Name,2010BA.NM104,Claim Level,Varchar,35,S
27,Subscriber_Middle_Name,2010BA.NM105,Claim Level,Varchar,25,S
28,Subscriber_Street_Address,2010BA.N301,Claim Level,Varchar,55,S
29,Subscriber_City_Name,2010BA.N401,Claim Level,Varchar,30,S
30,Subscriber_State_Code,2010BA.N402,Claim Level,Varchar,2,S
31,Subscriber_Postal_Code,2010BA.N403,Claim Level,Varchar,15,S
32,Subscriber_Gender_Code,2010BA.DMG03,Claim Level,Varchar,1,S
33,Subscriber_Date_Of_Birth,2010BA.DMG02,Claim Level,Varchar,10,S
34,Benefit_Assignment,2300.CLM08,Claim Level,Varchar,1,S
35,Member_Identification_Number,,Claim Level,Varchar,80,S
36,Member_Name,,Claim Level,Varchar,100,S
37,Member_Last_Name,2010CA.NM103,Claim Level,Varchar,60,S
38,Member_First_Name,2010CA.NM104,Claim Level,Varchar,35,S
39,Member_Street_Address,2010CA.N301,Claim Level,Varchar,55,S
40,Member_City_Name,2010CA.N401,Claim Level,Varchar,30,S
41,Member_State_Code,2010CA.N402,Claim Level,Varchar,2,S
42,Member_Postal_Code,2010CA.N403,Claim Level,Varchar,15,S
43,Member_Gender_Code,2010CA.DMG03,Claim Level,Varchar,1,S
44,Member_DateOfBirth,2010CA.DMG02,Claim Level,Varchar,10,S
45,Submitter_Id,1000A.NM109,Claim Level,Varchar,80,S
46,Submitter_Name,1000A.NM103,Claim Level,Varchar,60,S
47,Relationship_To_Subscriber_Code,2000B.SBR02,Claim Level,Varchar,2,S
48,Account_Number,2300.CLM01,Claim Level,Varchar,38,S
49,Release_Authorization,2300.CLM09,Claim Level,Varchar,1,S
50,Assignment_Acceptance,2300.CLM07,Claim Level,Varchar,1,S
51,Supplier_Billing_Name,2010AA.NM103,Claim Level,Varchar,60,S
52,Tax_Identification_Number,2010AA.REF02,Claim Level,Varchar,50,S
53,Tax_Id_Code,2010AA.REF01,Claim Level,Varchar,3,S
54,Supplier_Street_Address,,Claim Level,Varchar,55,S
55,Supplier_City_Name,2010AA.N401,Claim Level,Varchar,30,S
56,Supplier_State_Code,2010AA.N402,Claim Level,Varchar,2,S
57,Supplier_Postal_Code,2010AA.N403,Claim Level,Varchar,15,S
58,Phone_Country_Code,,Claim Level,Varchar,1,S
59,Phone_Area_Code,,Claim Level,Varchar,3,S
60,Phone_Number,,Claim Level,Varchar,7,S
61,Supplier_Npi,2010AA.NM109,Claim Level,Varchar,80,S
62,Supplier_PIN_Number,2010AA.REF02,Claim Level,Varchar,50,S
63,Additional_Code,,Claim Level,Varchar,50,S
64,Principal_Diagnosis_Code,,Claim Level,Varchar,30,S
65,Diagnosis_Code_1,,Claim Level,Varchar,30,S
66,Diagnosis_Code_2,,Claim Level,Varchar,30,S
67,Diagnosis_Code_3,,Claim Level,Varchar,30,S
68,Diagnosis_Code_4,,Claim Level,Varchar,30,S
69,Diagnosis_Code_5,,Claim Level,Varchar,30,S
70,Diagnosis_Code_6,,Claim Level,Varchar,30,S
71,Diagnosis_Code_7,,Claim Level,Varchar,30,S
72,Diagnosis_Code_8,,Claim Level,Varchar,30,S
73,Diagnosis_Code_9,,Claim Level,Varchar,30,S
74,Diagnosis_Code_10,,Claim Level,Varchar,30,S
75,Diagnosis_Code_11,,Claim Level,Varchar,30,S
76,Referring_Practitioner_Name,2310A.NM103,Claim Level,Varchar,130,S
77,Referring_Practitioner_FirstName,2310A.NM103,Claim Level,Varchar,35,S
78,Referring_Practitioner_LastName,2310A.NM104,Claim Level,Varchar,60,S
79,Referring_Practitioner_MiddleName,2310A.NM105,Claim Level,Varchar,25,S
80,Referring_Practitioner_Suffix,2310A.NM107,Claim Level,Varchar,10,S
81,Referring_Practitioner_Identification,2310A.REF02,Claim Level,Varchar,50,S
82,Referring_IdQualifier,2310A.REF01,Claim Level,Varchar,3,S
83,Referring_ReferralNumber,2300.REF02,Claim Level,Varchar,50,S
84,Referring_npi,2310A.NM109,Claim Level,Varchar,80,S
85,Rendering_Provider_FirstName,2310A.NM103,Claim Level,Varchar,35,S
86,Rendering_Provider_LastName,2310A.NM104,Claim Level,Varchar,60,S
87,Rendering_Provider_MiddleName,2310A.NM105,Claim Level,Varchar,25,S
88,Rendering_Provider_Suffix,2310A.NM107,Claim Level,Varchar,10,S
89,Rendering_Provider_npi,2310A.NM109,Claim Level,Varchar,80,S
90,RenderingFacility_Name,2310C.NM103,Claim Level,Varchar,60,S
91,RenderingFacility_StreetAddress,2310C.N301,Claim Level,Varchar,55,S
92,RenderingFacility_CityName,2310C.N401,Claim Level,Varchar,30,S
93,RenderingFacility_StateCode,2310C.N402,Claim Level,Varchar,2,S
94,RenderingFacility_PostalCode,2310C.N403,Claim Level,Varchar,15,S
95,Supervising_Provider_FirstName,2310A.NM103,Claim Level,Varchar,35,S
96,Supervising_Provider_LastName,2310A.NM104,Claim Level,Varchar,60,S
97,Supervising_Provider_MiddleName,2310A.NM105,Claim Level,Varchar,25,S
98,Supervising_Provider_Suffix,2310A.NM107,Claim Level,Varchar,10,S
99,Supervising_Provider_npi,2310A.NM109,Claim Level,Varchar,80,S
100,Charged_Amount,2300.CLM02,Claim Level,Varchar,18,S
101,Number_of_service_lines,2400.LX01,Claim Level,Varchar,6,S
102,Placeofservice_Code,,Claim Level,Varchar,2,S
103,Original_Line_Number,,Line Level,Varchar,6,S
104,Start_Date,,Line Level,Varchar,10,S
105,End_Date,,Line Level,Varchar,10,S
106,Service_Line_POS,2400.SV105,Line Level,Varchar,2,S
107,Service_Line_ServiceCode,2400.SV101.02,Line Level,Varchar,48,S
108,Service_Line_ServiceFee,,Line Level,Varchar,18,S
109,Service_Line_ServiceUnitCount,,Line Level,Varchar,15,S
110,Service_Line_ServiceMinuteCount,,Line Level,Varchar,15,S
111,Service_Line_RenderingProviderFirstName,2420A.NM103,Line Level,Varchar,35,S
112,Service_Line_RenderingProviderLastName,,Line Level,Varchar,60,S
113,Service_Line_RenderingProvidernpi,,Line Level,Varchar,80,S
114,Service_Line_OtherRenderingProviderId,,Line Level,Varchar,50,S
115,Service_Line_RenderingPractitionerSpecialty,2420A.PRV03,Line Level,Varchar,50,S
116,Line_Supervising_Physician_FirstName,,Line Level,Varchar,35,S
117,Line_Supervising_Physician_LastName,,Line Level,Varchar,60,S
118,Line_Supervising_Physician_npi,,Line Level,Varchar,80,S
119,Line_Ordering_Physician_FirstName,,Line Level,Varchar,35,S
120,Line_Ordering_Physician_LastName,,Line Level,Varchar,60,S
121,Diagnosis_Code_Pointer_1,,Line Level,Varchar,2,S
122,Diagnosis_Code_Pointer_2,,Line Level,Varchar,2,S
123,Diagnosis_Code_Pointer_3,,Line Level,Varchar,2,S
124,Diagnosis_Code_Pointer_4,2400.SV107.01,Line Level,Varchar,2,S
125,Service_Line_Modifier_1,,Line Level,Varchar,2,S
126,Service_Line_Modifier_2,,Line Level,Varchar,2,S
127,Service_Line_Modifier_3,,Line Level,Varchar,2,S
