EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,CSV Field,Claim/Line Level Record,Mapping Logic
"For each claim record  in the IB EDI 837P file, there should be
             1) a claim level record and
              2) line level records corresponding to each line of the claim
           in the CSV file.",,,,,,,,
ISA (Interchange Control Header Segment),,,,,,,,
ISA,Segment: Interchange Control Header,,R,,,,,
ISA01,Authorization Information Qualifier,Code identifying the type of information in the Authorization Information,R,00 : No Authorization Information Present,,,,
ISA02,Authorization Information,,R,Blank (10 spaces),,,,
ISA03,Security Information Qualifier,Code identifying the type of information in the Security Information,R,00 : No Security Information Present,,,,
ISA04,Security Information,Augsep@2023,R,Blank (10 spaces),,,,
ISA05,Interchange ID Qualifier,"Code indicating the system/method of code structure used to designate the
sender or receiver ID element being qualified",R,ZZ : Mutually Defined,,,,
ISA06,Interchange Sender ID,Sender ID,R,<Sender ID>,,TradingPartnerId,Claim Level,
,,,,,,SenderId,Claim Level,
ISA07,Interchange ID Qualifier,"Code indicating the system/method of code structure used to designate the
sender or receiver ID element being qualified",R,ZZ : Mutually Defined,,,,
ISA08,Interchange Receiver ID,Receiver Id,R,<Receiver ID>,,ReceiverId,Claim Level,
ISA09,Interchange Date,Date of the interchange,R,SysDate (YYMMDD),Example : 210630,,,
ISA10,Interchange Time,Time of the interchange,R,SysTime (HHMM),Example : 1732,,,
ISA11,Interchange Control Standards Identifier,,R,^,,,,
ISA12,Interchange Control Version Number,Code specifying the version number of the interchange control segments,R,00501,,,,
ISA13,Interchange Control Number,A control number assigned by the interchange sender,R,,Example : 319003402,,,
ISA14,Acknowledgment Requested,Code indicating sender’s request for an interchange acknowledgment,R,"0 : No Interchange Acknowledgement Requested
1 : Interchange Acknowledgment Requested",,,,
ISA15,Usage Identifier,"Code indicating whether data enclosed by this interchange envelope is test,
production or information",R,P : Production Data T : Test,,,,
ISA16,Component Element Separator,The delimiter used to separate component data elements,R,": = Element separator
~ = Segment Terminator",,,,
GS (Functional Group Header),,,,,,,,
GS,Segment: Functional Group Header,,R,,,,,
GS01,Functional Identifier Code,The two-character identifier Code for the transaction set included.,R,HC : Health Care Claim (837),,,,
GS02,Application Senders Code,"Code identifying party sending transmission,  codes agreed to by trading partners
This is Submitter-specific.",R,<Sender ID>,,,,
GS03,Application Receivers Code,Code identifying party receiving transmission; codes agreed to by trading partners,R,<HealthPlan ID>/,,,,
GS04,Date,Date the Group Header is created.,R,SysDate (YYYYMMDD),Example : 210630,,,
GS05,Time,Time the Group Header is created.,R,SysTime (HHMM),Example : 1732,,,
GS06,Group Control Number,Submitter-specific number.,R,<Group Control Number>,319003402,,,
GS07,Responsible Agency Code,Code identifying the issuer of the EDI standard being used.,R,X : Accredited Standards Committee X12,,,,
GS08,Version/Release/Industry Identifier Code,"Code indicating the version, release, subrelease, and industry identifier of the EDI
standard being used,
ST03 and GS08 must be identical",R,005010X222A1,,,,
ST (Transaction Set Header),,,,,,,,
ST,Segment: Transaction Set Header,,R,,,,,
ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,R,837 : Health Care Claim,,,,
ST02,Transaction Set Control Number,Unique Sequential Number Assigned by Internal Processes for each Transaction Set. Starts from 001 and increments with each transaction set,R,"<Transaction set Control Number>
Starts from 001 and increments with each transaction set",319003402,External_Batch_Sequence_Number,Claim Level,
ST03,Implementation Convention Reference,Standards Approved by ACS X12 Review Board.                 ST03 and GS08 must be identical,R,005010X222A1,,,,
BHT,Segment: Beginning Of Hierarchical Transaction,,R,,,,,
BHT01,Hierarchical Structure Code,Code indicating the hierarchical application structure of a transaction set,R,"0019 : Information Source, Subscriber, Dependent",,,,
BHT02,Transaction Set Purpose Code,"Code identifying purpose of transaction set.  Used to convey the electronic transmission status of
the 837 batch",R,"00 : Original
18 : Reissue",,,,
BHT03,Reference Identification,Reference information as defined for a particular Transaction Set,R,<Originator Application Transaction Identifier>,319003402,,,
BHT04,Date,The date the transaction was created,R,SysDate (YYYYMMDD),20210630,Clean_Claim_Date,Claim Level,Format : YYYY-MM-DD
,,,,,,Receipt_Date,Claim Level,Format : YYYY-MM-DD
BHT05,Time,The time the transaction was created,R,SysTime (HHMMSS),173250,,,
BHT06,Transaction Type Code,Code specifying the type of transaction,R,"CH- Chargeable
RP- Reporting",,,,
Loop 1000A — SUBMITTER NAME (Required)  Loop Repeat: 1,,,,,,,,
NM1,Segment NM1 - Submitter Name  (Required),,R,,,,,
1000A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,41 : Submitter,,,,
1000A.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-person Entity",,,,
1000A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,Submitter_Name,Claim Level,
1000A.NM104,Name First,Individual first name,S,,,,,
1000A.NM105,Name Middle,Individual middle name or initial,S,,,,,
1000A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 : Electronic Transmitter Identification Number (ETIN,,,,
1000A.NM109,Identification Code,Code identifying a party or other code,R,100X,,Submitter_Id,Claim Level,
PER,Segment PER - Submitter EDI Contact Information,,,,,,,
1000A.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC -  Information Contact,,,,
1000A.PER02,Name,Submitter Contact Name,S,<<Submitter Name>>,,,,
1000A.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
1000A.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,,,,
1000A.PER05,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
1000A.PER06,Communication Number,Complete communications number including country or area code when applicable,S,,,,,
1000A.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
1000A.PER08,Communication Number,Complete communications number including country or area code when applicable,S,,,,,
Loop 1000B — RECEIVER NAME (Required) Loop Repeat: 1,,,,,,,,
NM1,Segment NM1 - Receiver Name  (Required),,R,,,,,
1000B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,40 : Receiver,,,,
1000B.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,,,,
1000B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
1000B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",R,46 :  Electronic Transmitter Identification Number (ETIN,,,,
1000B.NM109,Identification Code,Code identifying a party,R,,,,,
Loop 2000A — BILLING PROVIDER HIERARCHICAL LEVEL (Required)  Loop Repeat: >1,,,,,,,,
HL,Segment HL - Billing Provider Hierarchical Level  (Required),,R,,,,,
2000A.HL01,Hierarchical ID Number,"A unique number assigned by the sender to identify a particular data segment in
a hierarchical structure",R,"The first HL01 within each ST-SE envelope must begin with “1”,
and be incremented by one each time an HL is used in the
transaction",,,,
2000A.HL02,Hierarchical Parent ID Number,,R,,,,,
2000A.HL03,Hierarchical Level Code,Code defining the characteristic of a level in a hierarchical structure,R,20 : Information Source,,,,
2000A.HL04,Hierarchical Child Code,"Code indicating if there are hierarchical child data segments subordinate to the
level being described.",R,"1 : Additional Subordinate HL Data Segment in This
Hierarchical Structure.",,,,
PRV,Segment PRV - Billing Provider Specialty Information  (Situational),,,,,,,
2000A.PRV01,Provider Code,Code identifying the type of provider,R,BI : Billing,,,,
2000A.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC :  Health Care Provider Taxonomy Code,,,,
2000A.PRV03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,Additional_Code,Claim Level,
CUR,Segment CUR - Foreign Currency Information (Situational),,,,,,,
2000A.CUR01,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,,,,,
2000A.CUR02,Currency Code,Code (Standard ISO) for country in whose currency the charges are specified,R,,,,,
Loop 2010AA - BILLING PROVIDER NAME (Required) Loop Repeat: 1,,,,,,,,
NM1,Segment NM1 - Billing Provider Name (Required),,R,,,,,
2010AA.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 :  Billing Provider,,,,
2010AA.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,
2010AA.NM103,Name Last or Organization Name,Individual last name or organizational name,S,,,Supplier_Billing_Name,Claim Level,
2010AA.NM104,Name First,Individual first name,S,,,,,
2010AA.NM105,Name Middle,Individual middle name or initial,S,,,,,
2010AA.NM107,Name Suffix,Suffix to individual name,S,,,,,
2010AA.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code (67)",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",,,,
2010AA.NM109,Identification Code,Code identifying a party or other code / Billing Provider Identifier,S,,1477569838,Supplier_Npi,Claim Level,
N3,Segment N3 - Billing Provider Address (Required),,R,,,,,
2010AA.N301,Address Information,Address information,R,,777 BANNOCK ST,Supplier_Street_Address,Claim Level,
2010AA.N302,Address Information,Address information,S,,,,,
N4,"Segment N4 - Billing Provider City, State, ZIP Code (Required)",,R,,,,,
2010AA.N401,City Name,Free-form text for city name,R,,DENVER,Supplier_City_Name,Claim Level,
2010AA.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,CO,Supplier_State_Code,Claim Level,
2010AA.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,802044507,Supplier_Postal_Code,Claim Level,
2010AA.N404,Country Code,Code identifying the country,S,,,,,
2010AA.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment REF - Billing Provider Tax Identification (Required),,R,,,,,
2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"EI : Employer’s Identification Number
SY : Social Security Number",,Tax_Id_Code,Claim Level,
2010AA.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,Tax_Identification_Number,Claim Level,"If /837/2000A/2010AA/REF01 (Reference Identification Qualifier) is ‘EI’ then it will be mapped into ‘XX-XXXXXXX’ format to taxIdentificationNumber
If /837/2000A/2010AA/REF01 (Reference Identification Qualifier) is ‘SY’ then it will be mapped into ‘XXX-XX-XXXX’ format to taxIdentificationNumber"
REF,Segment REF - Billing Provider UPIN/License Information (Situational),,,,,,,
2010AA.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"1G  : Provider UPIN Number
0B :  State License Number",,,,
2010AA.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier",R,,,Supplier_PIN_Number,Claim Level,When REF01=1G
PER,Segment - PER Billing Provider Contact Information (Situational),,,,,,,
2010AA.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group name,R,IC -  Information Contact,,,,
2010AA.PER02,Name,Billing Provider Contact Name,S,,,,,
2010AA.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone",,,,
2010AA.PER04,Communication Number,,R,,,Phone_Country_Code,Claim Level,"2010AA.PER03  = TE

First byte  of 2010AA.PER04 Only If 2010AA.PER04  is 11 bytes"
,,,,,,Phone_Area_Code,Claim Level,"2010AA.PER03  = TE

2nd, 3rd, 4th bytes  if  2010AA.PER04  is 11 bytes

First 3 bytes If 2010AA.PER04  is 10 bytes"
,,,,,,Phone_Number,Claim Level,"2010AA.PER03  = TE

last 7 bytes of 2010AA.PER04"
2010AA.PER05,Communication Number Qualifier,Code identifying the type of communication numbe,S,"""EM"" : Electronic Mail
""FX"" : Facsimile
""TE"" : Telephone
""EX"" : Telephone Extension",,,,
2010AA.PER06,Communication Number,Communication Number,S,,,,,
2010AA.PER07,Communication Number Qualifier,Code identifying the type of communication number,S,,,,,
2010AA.PER08,Communication Number,,S,,,,,
Loop 2010AB - PAY-TO ADDRESS NAME (Situational)  Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Pay-to Address Name (Situational),,,,,,,
2010AB.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,87: Pay-to Provider,,,,
2010AB.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2:  Non-Person Entity",,,,
N3,Segment - N3 Pay-to Address - ADDRESS (Required),,R,,,,,
2010AB.N301,Address Information,Address Information,R,,PO BOX 677931,,,
2010AB.N302,Address Information,Address Information,S,,,,,
N4,"Segment - N4 Pay-To Address City, State, ZIP Code (Required)",,R,,,,,
