SUBMITTED_CLAIM,Data Type,Length(Min-Max),Comments
SUBMITTED_CLAIM_KEY,VARCHAR,1-50,
CLAIM_FACT_KEY,NUMERIC,0-19,
CLAIM_HCC_ID,VARCHAR,1-30,
BILLING_PROVIDER_CONTACT_NAME,VARCHAR,1-60,
RENDERING_PROVIDER_LAST_NAME,VARCHAR,1-60,
RENDERING_PROVIDER_FIRST_NAME,VARCHAR,1-35,
RENDERING_PROVIDER_MIDDLE_NAME,VARCHAR,1-25,
RENDERING_PROVIDER_NAME_SUFFIX,VARCHAR,1-10,
RENDERING_PROVIDER_ID,VARCHAR,2-80,
AMBULANCE_TRANSPORT_STRETCHER_PURPOSE,VARCHAR,1-80,
AMBULANCE_DROPOFF_LOCATION_NAME,VARCHAR,1-60,
CREATED_TIME,DATETIME,,
LAST_MODIFIED_TIME,DATETIME,,
SUBMITTER_NAME,VARCHAR,1-60,
SUBMITTER_IDENTIFICATION_CODE,VARCHAR,2-80,
CLAIM_SUBMITTERS_IDENTIFIER,VARCHAR,1-38,
CLAIM_AMOUNT,VARCHAR,1-18,
CLAIM_FACILITY_CODE,VARCHAR,1-2,
CLAIM_FREQUENCY_TYPE,VARCHAR,1-1,
PROVIDER_SIGNATURE_IND,VARCHAR,1-1,
PROVIDER_ACCEPT_ASSIGNEMNT_CODE,VARCHAR,1-1,
BENEFIT_ASSIGNMENT_IND,VARCHAR,1-1,
RELEASE_INFO_CODE,VARCHAR,1-1,
TREATMENT_START_DT,VARCHAR,1-35,
ADMISSION_DATE,VARCHAR,1-35,
DISCHARGE_DATE,VARCHAR,1-35,
PATIENT_AMOUNT_PAID,VARCHAR,1-18,
DIAGNOSIS_CODE1,VARCHAR,1-30,
DIAGNOSIS_CODE2,VARCHAR,1-30,
DIAGNOSIS_CODE3,VARCHAR,1-30,
DIAGNOSIS_CODE4,VARCHAR,1-30,
DIAGNOSIS_CODE5,VARCHAR,1-30,
DIAGNOSIS_CODE5,VARCHAR,1-30,
DIAGNOSIS_CODE7,VARCHAR,1-30,
DIAGNOSIS_CODE8,VARCHAR,1-30,
DIAGNOSIS_CODE9,VARCHAR,1-30,
DIAGNOSIS_CODE10,VARCHAR,1-30,
DIAGNOSIS_CODE11,VARCHAR,1-30,
DIAGNOSIS_CODE12,VARCHAR,1-30,
HCC_CLAIM_NUMBER,VARCHAR,1-50,
CLEARINGHOUSE_TRACE_NUMBER,VARCHAR,1-50,
ANESTHESIA_CODE,VARCHAR,1-30,
CLAIM_CREATION_DATE,VARCHAR,8-8,BHT04
CLAIM_CREATION_TIME,VARCHAR,4-8,BHT05
RECEIVER_NAME,VARCHAR,1-60,1000B.NM103
RECEIVER_IDENTIFICATION_CODE,VARCHAR,1-80,1000B.NM109
PAY_TO_ADDRESS_1,VARCHAR,1-55,
PAY_TO_ADDRESS_2,VARCHAR,1-55,
PAY_TO_ADDRESS_CITY,VARCHAR,2-30,
PAY_TO_ADDRESS_STATE_NAME,VARCHAR,2-2,
PAY_TO_ADDRESS_POSTAL_CODE,VARCHAR,3-15,
PAY_TO_ADDRESS_COUNTRY_CODE,VARCHAR,2-3,
STATEMENT_DATE,VARCHAR,1-35,
ADMISSION_TYPE_CODE,VARCHAR,1-1,
ADMISSION_SOURCE_CODE,VARCHAR,1-1,
PATIENT_STATUS_CODE,VARCHAR,1-2,
CONTRACT_TYPE_CODE,VARCHAR,2-2,
CONTRACT_AMOUNT,VARCHAR,1-18,
CONTRACT_PERCENTAGE,VARCHAR,1-6,
PATIENT_ESTIMATED_AMOUNT_DUE,VARCHAR,1-18,
PRIOR_AUTHORIZATION,VARCHAR,1-50,
AUTO_ACCIDENT_STATE,VARCHAR,1-50,
MEDICAL_RECORD_NUMBER,VARCHAR,1-50,
CLAIM_NOTE,VARCHAR,1-80,
BILLING_NOTE,VARCHAR,1-80,
