SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,Data Type,Length(Min-Max),
SUBMITTED_CLAIM_KEY,VARCHAR,1-50,
SEQ_NO,NUMERIC,0-3,
CLAIM_FACT_KEY,NUMERIC,0-19,
CLAIM_HCC_ID,VARCHAR,1-30,
BILLING_PROVIDER_REFERENCE_IDENTIFIER,VARCHAR,2-3,
BILLING_PROVIDER_TAXONOMY_CODE,VARCHAR,1-50,
BILLING_PROVIDER_LAST_NAME,VARCHAR,1-60,
BILLING_PROVIDER_FIRST_NAME,VARCHAR,1-35,
BILLING_PROVIDER_MIDDLE_NAME,VARCHAR,1-25,
BILLING_PROVIDER_NAME_SUFFIX,VARCHAR,1-10,
BILLING_PROVIDER_IDENTIFIER,VARCHAR,2-80,
CREATED_TIME,DATETIME,,
LAST_MODIFIED_TIME,DATETIME,,
BILLING_PROVIDER_ADDRESS_1,VARCHAR,1-55,2010AA.N301
BILLING_PROVIDER_ADDRESS_2,VARCHAR,1-55,2010AA.N302
BILLING_PROVIDER_CITY,VARCHAR,2-30,2010AA.N401
BILLING_PROVIDER_STATE_CODE,VARCHAR,2-2,2010AA.N402
BILLING_PROVIDER_POSTAL_CODE,VARCHAR,3-15,2010AA.N403
BILLING_PROVIDER_COUNTRY_CODE,VARCHAR,2-3,2010AA.N404
BILLING_PROVIDER_TAX_IDENTIFICATION_NUMBER,VARCHAR,1-50,2010AA.REF02
BILLING_PROVIDER_CONTACT_INFO,VARCHAR,1-256,2010AA.PER04
