SUBMITTED_CLAIM_CLAIMLINE_OTHERDETAILS,Data Type,Length(Min-Max),Comments
SUBMITTED_CLAIM_KEY,VARCHAR,1-50,
SUBMITTED_LINE_NUMBER,VARCHAR,1-6,
SEQ_NO,NUMERIC,0-3,
CLAIM_FACT_KEY,NUMERIC,0-19,
CLAIM_HCC_ID,VARCHAR,1-30,
SERVICE_LINE_PAID_AMOUNT,VARCHAR,1-18,
CLAIM_LINE_REMITTENCE_DATE,VARCHAR,1-35,
SERVICE_LINE_ALLOWED_AMOUNT,VARCHAR,1-18,
DRUG_CODE,VARCHAR,2-2,
DRUG_PRODUCT_ID,VARCHAR,1-48,
DRUG_QUANTITY,VARCHAR,1-15,
DRUG_QUANTITY_MEASURE,VARCHAR,2-2,
CREATED_TIME,DATETIME,,
LAST_MODIFIED_TIME,DATETIME,,
REMAINING_PATIENT_LIABILITY,VARCHAR,1-18,
CLAIM_LINE_FACT_KEY,NUMERIC,0-19,
CLAIM_LINE_HCC_ID,VARCHAR,1-30,
