SUBMITTED_CLAIM_DIAGNOSIS_INFO,,,,,
SUBMITTED_CLAIM_KEY,VARCHAR,1-50,,,
HI_SEQ_NO,NUMERIC,0-3,HI SEGMENTS,,
HI_MULTI_SEQ_NO,NUMERIC,0-3,HI MULTIPLE LOOP REPEAT,,
C200_SEQ_NO,NUMERIC,0-3,,,
CLAIM_FACT_KEY,NUMERIC,0-19,,,
CLAIM_HCC_ID,VARCHAR,1-30,,,
DIAGNOSIS_QUALIFIER,VARCHAR,1-3,,,
DIAGNOSIS_CODE,VARCHAR,1-30,,,
POA_INDICATOR,VARCHAR,1-1,,,
DATE_TIME_PERIOD,VARCHAR,1-35,,,
VALUE_CODE_AMOUNT,VARCHAR,1-18,,,
CREATED_TIME,DATETIME,,,,
LAST_MODIFIED_TIME,DATETIME,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,44
