SUBMITTED_CLAIM_LINE,Data Type,Length(Min-Max)
SUBMITTED_CLAIM_KEY,VARCHAR,1-50
SUBMITTED_LINE_NUMBER,VARCHAR,1-50
CLAIM_FACT_KEY,NUMERIC,0-19
CLAIM_HCC_ID,VARCHAR,1-30
CLAIM_LINE_FACT_KEY,NUMERIC,0-19
CLAIM_LINE_HCC_ID,VARCHAR,1-30
OPERATING_PHYSICIAN_LAST_NAME,VARCHAR,1-60
OPERATING_PHYSICIAN_FIRST_NAME,varchar(35),1-35
OPERATING_PHYSICIAN_MIDDLE_NAME,varchar(25),1-25
OPERATING_PHYSICIAN_NAME_SUFFIX,varchar(10),1-10
OPERATING_PHYSICIAN_IDENTIFIER,varchar(80),2-80
OTHER_OPERATING_PHYSICIAN_LAST_NAME,varchar(60),1-60
OTHER_OPERATING_PHYSICIAN_FIRST_NAME,varchar(35),1-35
OTHER_OPERATING_PHYSICIAN_MIDDLE_NAME,varchar(25),1-25
OTHER_OPERATING_PHYSICIAN_NAME_SUFFIX,varchar(10),1-10
OTHER_OPERATING_PHYSICIAN_IDENTIFIER,varchar(80),2-80
RENDERING_PROVIDER_LAST_NAME,VARCHAR,1-60
RENDERING_PROVIDER_FIRST_NAME,VARCHAR,1-35
RENDERING_PROVIDER_MIDDLE_NAME,VARCHAR,1-25
RENDERING_PROVIDER_NAME_SUFFIX,VARCHAR,1-10
RENDERING_PROVIDER_IDENTIFIER,VARCHAR,2-80
REFERRING_PROVIDER_LAST_NAME,VARCHAR,1-60
REFERRING_PROVIDER_FIRST_NAME,VARCHAR,1-35
REFERRING_PROVIDER_MIDDLE_NAME,VARCHAR,1-25
REFERRING_PROVIDER_NAME_SUFFIX,VARCHAR,1-10
REFERRING_PROVIDER_IDENTIFIER,VARCHAR,2-80
AMBULANCE_PATIENT_COUNT,VARCHAR,1-15
AMBULANCE_DROPOFF_LOCATION_NAME,VARCHAR,1-60
SERVICE_CODE,VARCHAR,1-48
PROCEDURE_MOD_1,VARCHAR,2-2
PROCEDURE_MOD_2,VARCHAR,2-2
PROCEDURE_MOD_3,VARCHAR,2-2
PROCEDURE_MOD_4,VARCHAR,2-2
LINE_ITEM_AMOUNT,VARCHAR,1-18
LINE_ITEM_QUANTITY,VARCHAR,1-15
LINE_SERVICE_DT,VARCHAR,1-35
LINE_ITEM_UNITS,VARCHAR,2-2
CREATED_TIME,DATETIME,
LAST_MODIFIED_TIME,DATETIME,
SERVICE_LINE_REVENUE_CODE,VARCHAR,1-48
NON_CONVERED_CHARGE_AMOUNT,VARCHAR,1-18
LINE_NOTE_TEXT,VARCHAR,1-80
