SUBMITTED_CLAIM_LINE_AMBULANCE_CERTIFICATION,Data Type,Length(Min-Max)
SUBMITTED_CLAIM_KEY,VARCHAR,1-50
SUBMITTED_LINE_NUMBER,VARCHAR,1-6
SEQ_NO,NUMERIC,0-3
CLAIM_FACT_KEY,NUMERIC,0-19
CLAIM_HCC_ID,VARCHAR,1-30
CLAIM_LINE_FACT_KEY,NUMERIC,0-19
CLAIM_LINE_HCC_ID,VARCHAR,1-30
CONDITION_CODE_APPLIES_INDICATOR,VARCHAR,1-1
CONDITION_CODE_1,VARCHAR,2-3
CONDITION_CODE_2,VARCHAR,2-3
CONDITION_CODE_3,VARCHAR,2-3
CONDITION_CODE_4,VARCHAR,2-3
CONDITION_CODE_5,VARCHAR,2-3
PATIENT_WEIGHT,VARCHAR,1-10
AMB_REASON_CODE,VARCHAR,1-1
AMB_UNITS,VARCHAR,2-2
AMB_TRANSPORT_DISTANCE,VARCHAR,1-15
AMB_PURPOSE_DESC,VARCHAR,1-80
AMB_PICKUP_ADD_1,VARCHAR,1-55
AMB_PICKUP_ADD_2,VARCHAR,1-55
AMB_PICKUP_ADD_CITY,VARCHAR,2-30
AMB_PICKUP_ADD_STATE,VARCHAR,2-2
AMB_PICKUP_ADD_ZIP,VARCHAR,3-15
AMB_PICKUP_ADD_COUNTRY,VARCHAR,2-3
AMB_DROPOFF_ADD_1,VARCHAR,1-55
AMB_DROPOFF_ADD_2,VARCHAR,1-55
AMB_DROPOFF_ADD_CITY,VARCHAR,2-30
AMB_DROPOFF_ADD_STATE,VARCHAR,2-2
AMB_DROPOFF_ADD_ZIP,VARCHAR,3-15
AMB_DROPOFF_ADD_COUNTRY,VARCHAR,2-3
CREATED_TIME,DATETIME,
LAST_MODIFIED_TIME,DATETIME,
