SUBMITTED_CLAIM_MEDICARE_INPATIENT_INFO,Data Type,Length(Min-Max)
SUBMITTED_CLAIM_KEY,VARCHAR,1-50
SEQ_NO,NUMERIC,0-3
CLAIM_FACT_KEY,NUMERIC,0-19
CLAIM_HCC_ID,VARCHAR,1-30
COVERED_DAYS_OR_VISITS_COUNT,VARCHAR,15
LIFETIME_PSYCHIATRIC_DAYS_COUNT,VARCHAR,15
CLAIM_DRG_AMOUNT,VARCHAR,18
CLAIM_PAYMENT_REMARK_CODE,VARCHAR,50
CLAIM_DISPROPORTIONATE_SHARE_AMOUNT,VARCHAR,18
CLAIM_MSP_PASS_THROUGH_AMOUNT,VARCHAR,18
CLAIM_PPS_CAPITAL_AMOUNT,VARCHAR,18
PPS_CAPITAL_FSP_DRG_AMOUNT,VARCHAR,18
PPS_CAPITAL_HSP_DRG_AMOUNT,VARCHAR,18
PPS_CAPITAL_DSH_DRG_AMOUNT,VARCHAR,18
OLD_CAPITAL_AMOUNT,VARCHAR,18
PPS_CAPITAL_IME_AMOUNT,VARCHAR,18
PPS_OPERATING_HOSPITAL_SPECIFIC_DRG_AMOUNT,VARCHAR,18
COST_REPORT_DAY_COUNT,VARCHAR,15
PPS_OPERATING_FEDERAL_SPECIFIC_DRG_AMOUNT,VARCHAR,18
CLAIM_PPS_CAPITAL_OUTLIER_AMOUNT,VARCHAR,18
CLAIM_INDIRECT_TEACHING_AMOUNT,VARCHAR,18
NON_PAYABLE_PROFESSIONAL_COMPONENT_BILLED_AMOUNT,VARCHAR,18
CLAIM_PAYMENT_REMARK_CODE_1,VARCHAR,50
CLAIM_PAYMENT_REMARK_CODE_2,VARCHAR,50
CLAIM_PAYMENT_REMARK_CODE_3,VARCHAR,50
CLAIM_PAYMENT_REMARK_CODE_4,VARCHAR,50
PPS_CAPITAL_EXCEPTION_AMOUNT,VARCHAR,18
CREATED_TIME,DATETIME,
LAST_MODIFIED_TIME,DATETIME,
