SUBMITTED_CLAIM_MEDICARE_OUTPATIENT_INFO,Data Type,Length(Min-Max)
SUBMITTED_CLAIM_KEY,VARCHAR,1-50
SEQ_NO,NUMERIC,0-3
CLAIM_FACT_KEY,NUMERIC,0-19
CLAIM_HCC_ID,VARCHAR,1-30
REIMBURSEMENT_RATE,VARCHAR,1-10
HCPCS_PAYABLE_AMOUNT,VARCHAR,1-18
CLAIM_PAYMENT_REMARK_CODE_1,VARCHAR,1-50
CLAIM_PAYMENT_REMARK_CODE_2,VARCHAR,1-50
CLAIM_PAYMENT_REMARK_CODE_3,VARCHAR,1-50
CLAIM_PAYMENT_REMARK_CODE_4,VARCHAR,1-50
CLAIM_PAYMENT_REMARK_CODE_5,VARCHAR,1-50
ESRD_PAYMENT_AMOUNT,VARCHAR,1-18
NON_PAYABLE_PROF_COMP_BILLED_AMOUNT,VARCHAR,1-18
CREATED_TIME,DATETIME,
LAST_MODIFIED_TIME,DATETIME,
