SUBMITTED_CLAIM_OTHER_PAYER,Data Type,Length(Min-Max)
SUBMITTED_CLAIM_KEY,VARCHAR,1-50
SEQ_NO,NUMERIC,0-3
CLAIM_FACT_KEY,NUMERIC,0-19
CLAIM_HCC_ID,VARCHAR,1-30
ADJUDICATION_OR_PAYMENT_DATE,VARCHAR,1-35
OTHER_PAYER_PRIMARY_IDENTIFIER,VARCHAR,2-80
CLAIM_PAYER_NAME,VARCHAR,1-60
CLAIM_OTHER_PAYER_NAME,VARCHAR,1-60
CLAIM_OTHER_PAYER_ADD_1,VARCHAR,1-55
CLAIM_OTHER_PAYER_ADD_2,VARCHAR,1-55
CLAIM_OTHER_PAYER_CITY,VARCHAR,2-30
CLAIM_OTHER_PAYER_STATE,VARCHAR,2-2
CLAIM_OTHER_PAYER_ZIP,VARCHAR,3-15
CLAIM_OTHER_PAYER_COUNTRY,VARCHAR,2-3
CREATED_TIME,DATETIME,
LAST_MODIFIED_TIME,DATETIME,
CLAIM_OTHER_PAYER_CONTROL_NUMBER,VARCHAR,1-50
CLAIM_PAYER_IDENTIFICATION_CODE,VARCHAR,2-80
