SUBMITTED_CLAIM_OTHER_SUBSCRIBER,Data Type,Length(Min-Max)
SUBMITTED_CLAIM_KEY,VARCHAR,1-50
SEQ_NO,NUMERIC,0-3
CLAIM_FACT_KEY,NUMERIC,0-19
CLAIM_HCC_ID,VARCHAR,1-30
RELATIONSHIP_TO_INSURED,VARCHAR,2-2
BENEFITS_ASSIGNMENT_CERTIFICATION_INDICATOR,VARCHAR,1-1
INFORMATION_RELEASE_CERTIFICATION_INDICATOR,VARCHAR,1-1
OTHER_INSURED_ADDRESS_LINE_1,VARCHAR,1-55
OTHER_INSURED_ADDRESS_LINE_2,VARCHAR,1-55
OTHER_INSURED_CITY,VARCHAR,2-30
OTHER_INSURED_STATE,VARCHAR,2-2
OTHER_INSURED_ZIP,VARCHAR,3-15
OTHER_INSURED_ADDITIONAL_IDENTIFIER,VARCHAR,1-50
PAYER_AMOUNT_PAID,VARCHAR,1-18
NONCOVERED_CHARGES,VARCHAR,1-18
OTHER_INSURED_LAST_NAME,VARCHAR,1-60
OTHER_INSURED_FIRST_NAME,VARCHAR,1-35
OTHER_INSURED_MIDDLE_NAME,VARCHAR,1-25
OTHER_INSURED_NAME_SUFFIX,VARCHAR,1-10
OTHER_INSURED_INDENTIFICATION_CODE,VARCHAR,2-80
CREATED_TIME,DATETIME,
LAST_MODIFIED_TIME,DATETIME,
REMAINING_PATIENT_LIABILITY,VARCHAR,1-18
INSURED_GROUP_NUMBER,VARCHAR,1-50
OTHER_INSURED_GROUP_NAME,VARCHAR,1-60
CLAIM_FILLING_INDICATOR,VARCHAR,1-2
