SUBMITTED_CLAIM_PROVIDER_DETAILS,Data Type,Length(Min-Max),
SUBMITTED_CLAIM_KEY,VARCHAR,1-50,
SEQ_NO,NUMERIC,0-3,
CLAIM_FACT_KEY,NUMERIC,0-19,
CLAIM_HCC_ID,VARCHAR,1-30,
CLAIMLVL_REFERRING_PROVIDER_LAST_NAME,VARCHAR,1-60,2310A.NM103
CLAIMLVL_REFERRING_PROVIDER_FIRST_NAME,VARCHAR,1-35,2310A.NM104
CLAIMLVL_REFERRING_PROVIDER_MIDDLE_NAME,VARCHAR,1-25,2310A.NM105
CLAIMLVL_REFERRING_PROVIDER_NAME_SUFFIX,VARCHAR,1-10,2310A.NM107
CLAIMLVL_REFERRING_PROVIDER_IDENTIFICATION_CODE,VARCHAR,2-80,2310A.NM109
CLAIMLVL_SERVICE_FACILITY_NAME,VARCHAR,1-60,2310C.NM103
CLAIMLVL_SERVICE_FACILITY_IDENTIFICATION_CODE,VARCHAR,2-80,2310C.NM109
CLAIMLVL_SERVICE_FACILITY_ADDRESS_1,VARCHAR,1-55,2310C.N301
CLAIMLVL_SERVICE_FACILITY_ADDRESS_2,VARCHAR,1-55,2310C.N302
CLAIMLVL_SERVICE_FACILITY_CITY_NAME,VARCHAR,2-30,2310C.N401
CLAIMLVL_SERVICE_FACILITY_STATE_CODE,VARCHAR,2-2,2310C.N402
CLAIMLVL_SERVICE_FACILITY_POSTAL_CODE,VARCHAR,3-15,2310C.N403
CLAIMLVL_SERVICE_FACILITY_COUNTRY_CODE,VARCHAR,2-3,2310C.N404
CREATED_TIME,DATETIME,,
LAST_MODIFIED_TIME,DATETIME,,
CLAIMLVL_ATTENDING_PROV_LAST_NAME,VARCHAR,1-60,
CLAIMLVL_ATTENDING_PROV_FIRST_NAME,VARCHAR,1-35,
CLAIMLVL_ATTENDING_PROV_MIDDLE_NAME,VARCHAR,1-25,
CLAIMLVL_ATTENDING_PROV_NAME_SUFFIX,VARCHAR,1-10,
CLAIMLVL_ATTENDING_PROV_IDENTIFICATION_CODE,VARCHAR,2-80,
CLAIMLVL_ATTENDING_PROV_SECONDARY_ID,VARCHAR,1-50,
CLAIMLVL_OPERATING_PHYSICIAN_LAST_NAME,VARCHAR,1-60,
CLAIMLVL_OPERATING_PHYSICIAN_FIRST_NAME,VARCHAR,1-35,
CLAIMLVL_OPERATING_PHYSICIAN_MIDDLE_NAME,VARCHAR,1-25,
CLAIMLVL_OPERATING_PHYSICIAN_NAME_SUFFIX,VARCHAR,1-10,
CLAIMLVL_OPERATING_PHYSICIAN_IDENTIFICATION_CODE,VARCHAR,2-80,
CLAIMLVL_OPERATING_PHYSICIAN_SECONDARY_ID,VARCHAR,1-50,
CLAIMLVL_OTHER_OPERATING_PHYSICIAN_LAST_NAME,VARCHAR,1-60,
CLAIMLVL_OTHER_OPERATING_PHYSICIAN_FIRST_NAME,VARCHAR,1-35,
CLAIMLVL_OTHER_OPERATING_PHYSICIAN_MIDDLE_NAME,VARCHAR,1-25,
CLAIMLVL_OTHER_OPERATING_PHYSICIAN_NAME_SUFFIX,VARCHAR,1-10,
CLAIMLVL_OTHER_OPERATING_PHYSICIAN_IDENTIFICATION_CODE,VARCHAR,2-80,
CLAIMLVL_OTHER_OPERATING_PHYSICIAN_SECONDARY_ID,VARCHAR,1-50,
