SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,Data Type,Length(Min-Max),Comments
SUBMITTED_CLAIM_KEY,VARCHAR,1-50,
SEQ_NO,NUMERIC,0-3,
CLAIM_FACT_KEY,NUMERIC,0-19,
CLAIM_HCC_ID,VARCHAR,1-30,
SUBSCRIBER_RELATIONSHIP_CODE,VARCHAR,2-2,
SUBSCRIBER_POLICY_NUMBER,VARCHAR,1-50,
SUBSCRIBER_GROUP_NAME,VARCHAR,1-60,
SUBSCRIBER_INSURANCE_TYPE_CODE,VARCHAR,1-3,
SUBSCRIBER_FILING_INDICATOR,VARCHAR,1-2,
SUBSCRIBER_LAST_NAME,VARCHAR,1-60,
SUBSCRIBER_FIRST_NAME,VARCHAR,1-35,
SUBSCRIBER_MIDDLE_NAME,VARCHAR,1-25,
SUBSCRIBER_NAME_SUFFIX,VARCHAR,1-10,
SUBSCRIBER_ADDRESS_1,VARCHAR,1-55,
SUBSCRIBER_ADDRESS_CITY,VARCHAR,2-30,
SUBSCRIBER_ADDRESS_STATE,VARCHAR,2-2,
SUBSCRIBER_ADDRESS_ZIP,VARCHAR,3-15,
SUBSCRIBER_ADDRESS_COUNTRY,VARCHAR,2-3,
SUBSCRIBER_BIRTH_DATE,VARCHAR,1-8,
SUBSCRIBER_GENDER,VARCHAR,1-1,
SUBSCRIBER_PHONE_NUMBER_1,VARCHAR,1-256,
SUBSCRIBER_PHONE_NUMBER_2,VARCHAR,1-256,
CREATED_TIME,DATETIME,,
LAST_MODIFIED_TIME,DATETIME,,
SUBSCRIBER_IDENTIFICATION_CODE,VARCHAR,2-80,2010BA.NM109
SUBSCRIBER_ADDRESS_2,VARCHAR,1-55,2010BA.N302
