Loop,Description,Table Names,
1000A,SUBMITTER NAME,SUBMITTED_CLAIM,
1000B,RECEIVER NAME,SUBMITTED_CLAIM,
2000A,BILLING PROVIDER HIERARCHICAL LEVEL,CLAIM_BILLINGPROVIDER_DETAILS,
2010AA,BILLING PROVIDER NAME,CLAIM_BILLINGPROVIDER_DETAILS,
,,SUBMITTED_CLAIM,
2010AB,PAY-TO ADDRESS NAME,CLAIM_BILLINGPROVIDER_DETAILS,
2010AC,PAY-TO PLAN NAME,,
2000B,SUBSCRIBER HIERARCHICAL LEVEL,CLAIM_SUBSCRIBER_DETAILS,
2010BA,SUBSCRIBER NAME,CLAIM_SUBSCRIBER_DETAILS,
2010BB,PAYER NAME,SUBMITTED_CLAIM_OTHER_PAYER,
2000C,Patient Hierarchical Level,CLAIM_PATIENT_DETAILS,
2010CA,Patient Name,CLAIM_PATIENT_DETAILS,
2300,CLAIM INFORMATION,SUBMITTED_CLAIM,
,,SUBMITTED_CLAIM_AMBULANCE_CERTIFICATION,
2310A,REFERRING PROVIDER NAME,CLAIM_PROVIDER_DETAILS,
2310B,RENDERING PROVIDER NAME,CLAIM_PROVIDER_DETAILS,
2310C,SERVICE FACILITY LOCATION NAME,CLAIM_PROVIDER_DETAILS,
2310D,SUPERVISING PROVIDER NAME,,
2310E,AMBULANCE PICK-UP LOCATION,CLAIM_PROVIDER_DETAILS,
2310F,AMBULANCE DROP-OFF LOCATION,SUBMITTED_CLAIM,
,,CLAIM_PROVIDER_DETAILS,
2320,OTHER SUBSCRIBER INFORMATION,SUBMITTED_CLAIM_OTHER_SUBSCRIBER,
,,CLAIM_LEVEL_ADJUSTMENTS,
,,SUBMITTED_CLAIM_MEDICARE_OUTPATIENT_INFO,
2330A,OTHER SUBSCRIBER NAME,SUBMITTED_CLAIM_OTHER_SUBSCRIBER,
2330B,OTHER PAYER NAME,SUBMITTED_CLAIM_OTHER_PAYER,
2330C,OTHER PAYER REFERRING PROVIDER,,
2330D,OTHER PAYER RENDERING PROVIDER,,
2330E,OTHER PAYER SERVICE FACILITY LOCATION,,
2330F,OTHER PAYER SUPERVISING PROVIDER,,
2330G,OTHER PAYER BILLING PROVIDER,,
2400,SERVICE LINE NUMBER,SUBMITTED_CLAIM_LINE_AMBULANCE_CERTIFICATION,
,,SUBMITTED_CLAIM_LINE,
2410,DRUG IDENTIFICATION Drug identification,CLAIM_CLAIMLINE_OTHERDETAILS,
2420A,RENDERING PROVIDER NAME,SUBMITTED_CLAIM_PROVIDER_DETAILS,
2420B,PURCHASED SERVICE PROVIDER NAME,,
2420C,SERVICE FACILITY LOCATION NAME,SUBMITTED_CLAIM_PROVIDER_DETAILS,
2420D,SUPERVISING PROVIDER NAME,,
2420E,ORDERING PROVIDER NAME,,
2420F,REFERRING PROVIDER NAME,SUBMITTED_CLAIM_LINE,
2420G,AMBULANCE PICK-UP LOCATION,CLAIM_CLAIMLINE_OTHER,
2420H,AMBULANCE DROP-OFF LOCATION,SUBMITTED_CLAIM_LINE,
2430,LINE ADJUDICATION INFORMATION,CLAIM_CLAIMLINE_DETAILS,Check whether this is the loop with KS
2440,FORM IDENTIFICATION CODE,,
