Integration Plus Staging Tables,ODS Tables,Loop.Segment,837I/P,Comments
USTILDB.SUBMITTED_CLAIM,CLAIM_SUBMITTED,,Both,
USTILDB.SUBMITTED_CLAIM_AMBULANCE_CERTIFICATION,CLAIM_SUBMITTED_AMBULANCE_CERTIFICATION,2300.CRC,837P,
USTILDB.SUBMITTED_CLAIM_LINE,CLAIM_SUBMITTED_LINE,,Both,
USTILDB.SUBMITTED_CLAIM_LINE_AMBULANCE_CERTIFICATION,CLAIM_SUBMITTED_LINE_AMBULANCE_CERTIFICATION,2400.CRC,837P,
USTILDB.SUBMITTED_CLAIM_MEDICARE_INPATIENT_INFO,CLAIM_SUBMITTED_MEDICARE_INPATIENT_INFO,COB/2320.MIA,837I,
USTILDB.SUBMITTED_CLAIM_MEDICARE_OUTPATIENT_INFO,CLAIM_SUBMITTED_MEDICARE_OUTPATIENT_INFO,COB/2320.MOA,Both,
USTILDB.SUBMITTED_CLAIM_OTHER_PAYER,CLAIM_SUBMITTED_OTHER_PAYER,COB/2330B,Both,
USTILDB.SUBMITTED_CLAIM_OTHER_SUBSCRIBER,CLAIM_SUBMITTED_OTHER_SUBSCRIBER,COB/2330A,Both,
SUBMITTED_CLAIM_BILLINGPROVIDER_DETAILS,,,837P,
SUBMITTED_CLAIM_SUBSCRIBER_DETAILS,,,837P,
SUBMITTED_CLAIM_PATIENT_DETAILS,,,837P,
SUBMITTED_CLAIM_CLAIMLINE_OTHERDETAILS,,,837P,
SUBMITTED_CLAIM_CLAIMLINE_PROVIDER,,,837P,Not included as part of PSD - 3520
SUBMITTED_CLAIM_LEVEL_ADJUSTMENTS,,,837P,
SUBMITTED_CLAIM_LINE_LEVEL_ADJUSTMENTS,,,837P,
SUBMITTED_CLAIM_PROVIDER_DETAILS,,,Both,"Included as part of PSD - 4847, 4763"
SUBMITTED_CLAIM_DIAGNOSIS_INFO,,,837I,
