LoopID.Segment ID,Segment Name,Element Description,Enumeration Values,Integration Plus Table  Name.Column Name,Mapping Logic
ISA,Interchange Control Header,,,,
ISA01,Authorization Information Qualifier,,00 : No Authorization Information Present,,
ISA02,Authorization Information,,Blank (10 spaces),,
ISA03,Security Information Qualifier,,00 : No Security Information Present,,
ISA04,Security Information,,Blank (10 spaces),,
ISA05,Interchange ID Qualifier,,ZZ : Mutually Defined,,
ISA06,Interchange Sender ID,Interchange Sender ID,,,
ISA07,Interchange ID Qualifier,,ZZ : Mutually Defined,,
ISA08,Interchange Receiver ID,The Trading Partner ID (TPID) assigned by the Client,,,
ISA09,Interchange Date,Date the Interchange is created,,,
ISA10,Interchange Time,Time the Interchange is created,,,
ISA11,Interchange Control Standards Identifier,Repetition Separator,^,,
ISA12,Interchange Control Version Number,Standards Approved by ACS X12 Review Board,,,
ISA13,Interchange Control Number,A control number assigned by the interchange sender,,,
ISA14,Acknowledgment Requested,Code indicating sender’s request for an interchange acknowledgment,"0 : No Interchange Acknowledgement Requested
1 : Interchange Acknowledgment Requested",,
ISA15,Usage Identifier,"Code indicating whether data enclosed by this interchange envelope is test,
production or information",P : Production Data T : Test,,
ISA16,Component Element Separator,The delimiter used to separate component data elements,": = Element separator
~ = Segment Terminator",,
GS,Functional Group Header,,,,
GS01,Functional Identifier Code,Benefit Enrollment And Maintenance (834),,,
GS02,Application Senders Code,Code identifying party sending transmission; codes agreed to by trading partners,,,
GS03,Application Receivers Code,"The Trading Partner ID (TPID)
assigned by the client",,,
GS04,Date,"Date the Group Header is created.
Enter current date in the CCYYMMDD format",,,
GS05,Time,"Time the Group Header is created.
Enter current time in the HHMM format",,,
GS06,Group Control Number,"Unique Sequential Number Assigned by Internal Processes for each Group Header  by the sender.
Must be identical to the Interchange Trailer GE02 .
This is Submitter-specific.",,,
GS07,Responsible Agency Code,"Code identifying the issuer of the EDI standard being used.
Accredited Standards Committee X12",X : Accredited Standards Committee X12,,
GS08,Version/Release/Industry Identifier Code,"Standards Approved for
Publication by ASC X12
Procedures Review Board",005010X220: Standards Approved for Publication by ASC X12,,
ST,Transaction Set Header,,,,
ST01,Transaction Set Identifier Code,Code uniquely identifying a Transaction Set,834 Benefit Enrollment and Maintenance,,
ST02,Transaction Set Control Number,"Unique Sequential Number Assigned by Internal Processes for each Transaction Set
ST02 and SE02 must be identical",,,
ST03,Implementation Convention Reference,"Standards Approved by ACS X12 Review Board
ST03 and GS08 must be identical",,,
BGN,Beginning Segment,,,,
BGN01,Transaction Set Purpose Code,,"00 Original
15 Re-Submission
22 Information Copy",,
BGN02,Reference Identification,Transaction Set Reference Number,,,
BGN03,Date,Date the Transaction Set is created.,,,
BGN04,Time,Time the Transaction Set is created,,,
BGN05,Time Code,Time Zone Code,"Eastern Time, always sent",,
BGN06,Reference Identification,Original Transaction Set Reference Number,,,
BGN07,Transaction Type Code,,,,
BGN08,Action Code,,"2 = Change/Update
4 = Verify",,
REF,Transaction Set Policy Number,,,,
REF01,Reference Identification Qualifier,,38 Master Policy Number,,
REF02,Reference Identification,op,,,
DTP,DTP - File Effective Date,,,,
DTP01,Date/Time Qualifier,Date Time Qualifier,"007 Effective
090 Report Start
091 Report End
303 Maintenance Effective
382 Enrollment
388 Payment Commencement",,
DTP02,Date Time Period Format Qualifier,,D8 Date Expressed in Format CCYYMMDD,,
DTP03,Date Time Period,,,,
QTY,Transaction Set Control Totals,,,,
QTY01,Quantity Qualifier,,"DT Dependent Total
ET Employee Total
TO Total",,
QTY02,Quantity,Record Totals,,,
1000A — SPONSOR NAME Loop Repeat: 1,,,,,
1000A.N1,Sponsor Name,,,,
1000A.N101,Entity Identifier Code,,P5 = Plan sponsor,,
1000A.N102,Plan Sponsor Name,Plan Sponsor Name,,Enr_Member.Sponsor _Name,
1000A.N103,Identification Code Qualifier,,FI = Federal Tax ID Number,,
1000A.N104,Identification Code,Sponsor Identifier,,Enr_Member.Sponsor_ Identification,
1000A.N2,Additional Name Information,,,,
1000A.N101,Name,,,,
1000A.N102,Name,,,,
1000A.N3,Party Location,,,,
1000A.N101,Address Information,,,,
1000A.N102,Address Information,,,,
1000A.N4,Geographic Location,,,,
1000A.N101,City Name,,,,
1000A.N102,State or Province Code,,,,
1000A.N103,Postal Code,,,,
1000A.N104,Country Code,,,,
1000A.N105,Location Qualifier,,,,
1000A.N106,Location Identifier,,,,
1000A.N107,Country Subdivision Code,,,,
1000A.PER,Administrative Communications Contact,,,,
1000A.PER01,Contact Function Code,,,,
1000A.PER02,Name,,,,
1000A.PER03,Communication Number Qualifier,,,,
1000A.PER04,Communication Number,,,,
1000A.PER05,Communication Number Qualifier,,,,
1000A.PER06,Communication Number,,,,
1000A.PER07,Communication Number Qualifier,,,,
1000A.PER08,Communication Number,,,,
1000A.PER09,Contact Inquiry Reference,,,,
1000B — PAYER Loop Repeat: 1,,,,,
1000B.N1,Payer,,,,
1000B.N101,Entity Identifier Code,,IN = Insurer,,
1000B.N102,Name,Insurer Name,,Enr_Member.Payer_Name,
1000B.N103,Identification Code Qualifier,,FI = Federal Tax ID number,,
1000B.N104,Identification Code,Insurer Identification Code,,Enr_Member.Payer_ldentiftation,
1000C — TPA/BROKER NAME Loop Repeat: 2,,,,,
1000C.N1,TPA/Broker Name,,,,
1000C.N101,Entity Identifier Code,,"BO : Broker or Sales Office
TV : Third Party Administrator (TPA)",,
1000C.N102,Name,TPA/Broker Name (free-form),,Enr_Member.Broker_Name,Map the first Instance of  1000C.N101 = BO
1000C.N103,Identification Code Qualifier,,FI = Federal Tax ID number,,
1000C.N104,Identification Code,TPA or Broker Identification Code,,Enr_Member.Broker_Identification,Map the first Instance of 1000C.N101 = BO
1100C — TPA/BROKER ACCOUNT INFORMATION Loop Repeat: 1,,,,,
1100C.ACT,TPA/BROKER ACCOUNT INFORMATION,,,,
1100C.ACT1,"Account
Number",TPA or Broker Account Number,,Enr_Member.Broker_License_Number,
1100C. ACT02,Name,,,,
1100C.ACT03,Identification Code Qualifier,,,,
1100C.ACT04,Identification Code,,,,
1100C.ACT05,Account Number Qualifier,,,,
1100C.ACT06,Account Number,,,,
1100C.ACT07,Description,,,,
1100C.ACT08,Payment Method Type Code,,,,
1100C.ACT09,Benefit Status Code,,,,
2000 — MEMBER LEVEL DETAIL Loop Repeat: >1    A record is inserted into Parent table(Enr_Member )  for each 2000.INS,,,,,
2000.INS,Member Level Detail,,,,
2000.INS01,Subscriber Indicator,,"Y :Yes
N :No",Enr_Member.Is_Subscriber,
2000.INS02,Individual Relationship Code,,"18 :Self
19 :Child
01: Spouse
03 : Father or Mother",Enr_Member.Relationship_Code,
2000.INS03,Maintenance Type Code,,"001 = Change, 021 = Addition, 024 = Cancellation or Termination, 025 = Reinstatement/Benefit Plan change, 030 = Audit or Compare",Enr_Member.Maintenance_Type_Code,
2000.INS04,Maintenance Reason Code,,"03=death
07=Termination of Benefits
15=Primary Care Provider Change
22=Plan Change
25=Change in Identifying Data Elements
28=Initial Enrollment
41=Re-enrollment
43=Change of Location
AI=Effective Date Change
XN=Notification Only (Audit)",Enr_Member.Maintenance_Reason_Code,
2000.INS05,Benefit Status Code,,"A: Active
C: Consolidated Omnibus Budget Reconciliation Act
(COBRA)
S: Surviving Insured
T: Tax Equity and Fiscal Responsibility Act (TEFRA)",Enr_Member.Benefit_Status_Code,
2000.INS06,MEDICARE STATUS CODE,,,,
2000.INS06-1,Medicare Plan Code,,"A =  Medicare Part A
B =  Medicare Part B
C = Medicare Part A and B
D = Medicare
E  = No Medicare",Enr_Member.Medicare_Plan_Code,
2000.INS06-2,Eligibility Reason Code,,"0 Age
1 Disability
2 End Stage Renal Disease (ESRD)",Enr_Member.Eligibility_Reason_Code,
2000.INS07,COBRA Qualifying Event,,"1 Termination of Employment
2 Reduction of work hours
3 Medicare
4 Death
5 Divorce
6 Separation
7 Ineligible Child
8 Bankruptcy of Retiree’s Former Employer (26 U.S.C.
4980B(f)(3)(F))
9 Layoff
10 Leave of Absence
ZZ Mutually Defined",Enr_Member.COBRA_Event_Code,
2000.INS08,Employment Status Code,,"Conversion Values:
AO - Active Military
AU - Active Military
RT - Retired
L1 - Leave of Absence
FT - Full-Time
PT - Part-Time
AC - Active for enrolled Members
TE - Terminate",Enr_Member.Employment_Status_Code,
2000.INS09,Student Status Code,,"F - Full-Time
N - Not a Student
P - Part-Time",Enr_Member.Student_Status_Code,
2000.INS10,Handicap Indicator,,"Y = Yes
N= No",Enr_Member.Handicap_Status_Code,
2000.INS11,DTP Format Qualifier,,D8 Date Expressed in Format CCYYMMDD,,
2000.INS12,Insured Individual Death Date,Date of Death,,Enr_Member.Date_Of_Death,
2000.INS13,Confidentiality Code,,"R Restricted Access
U Unrestricted Acces",,
2000.INS17,Birth Sequence Number,,,,
2000.REF,Subscriber Identifier,,,,
2000.REF01,Reference Identification Qualifier,,0F Subscriber Number,,
2000.REF02,Reference Identification,Subscriber Identifier,,Enr_Member.Subscriber_Identifier,
2000.REF,Member Policy Number,,,,
2000.REF01,Reference Identification Qualifier,,1L Group or Policy Number,,
2000.REF02,Reference Identification,Member Group or Policy Number,,Enr_Member.Group_Or_Policy_Number,
2000.REF,Member Supplemental Identifier Segment repeat = 13,A record is inserted into Enr_Member_Supplemental_Identification table for each repetition of 2000.REF segment.,,,
2000.REF01,Reference Identification Qualifier,,"17 Client Reporting Category
23 Client Number
3H Case Number
6O Cross Reference Number
Q4 Prior Identifier Number
ZZ Mutually Defined",Enr_Member_Supplemental_Identification.Identification_Type,
2000.REF02,Reference Identification,Member Supplemental Identifier,,Enr_Member_Supplemental_Identification.Member_Supplemental_Identifier,
2000.DTP,Member Level Dates,,,,
2000.DTP01,Date Time Qualifier,,,,
2000.DTP02,Date Time Period Format Qualifier,D8 Date Expressed in Format CCYYMMDD,,,
2000.DTP03,Date Time Period,Status Information Effective Date,,,
2100A — MEMBER NAME Loop Repeat: 1,,,,,
2100A.NM1,Member Name,,,,
2100A.NM101,Entity Identifier Code,,"IL = Insured or Subscriber
74 : Corrected Insured",,
2100A.NM102,Entity Type Qualifier,,1 = Person,,
2100A.NM103,Subscriber Last Name,Members last name,,Enr_Member.Last_Name,
2100A.NM104,Subscriber First Name,Members first name,,Enr_Member.First_Name,
2100A.NM105,Subscriber Middle Name,Members middle initial,,Enr_Member.Middle_Name,
2100A.NM106,Subscriber Name Prefix,Member Name Prefix,,Enr_Member.Prefix,
2100A.NM107,Subscriber Name Suffix,Member Name Suffix,,Enr_Member.Suffix,
2100A.NM108,Identification Code Qualifier,,"34 Social Security Number
ZZ Mutually Defined",,
2100A.NM109,Subscriber Identifier,,,Enr_Member.Identification_Code,
2100A.PER,Members Communications Numbers,A record is inserted into Enr_Communication_Numbers table for Members Communications Numbers (2100A.PER),,,
2100A.PER01,Contact Function Code,,IP : Insured Party,,Populate it as 'Insured Party'
