EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Enumeration Values,XSD Field Name,Field Description,X12 Element 837I,X12 Element 837P,Mapping Logic,Custom Field,Notes
,,,,ClaimRepricingIBRequestRoot/header/inputFilename,Inbound EDI File Name,Populate the IB file name,Populate the IB file name,,,These fields are used for internal reference. Not loaded to HRP UI
,,,,ClaimRepricingIBRequestRoot/header/inputFileId,This will be UniqueFile ID({UID}) from profile process flow,,,,,
,,,,ClaimRepricingIBRequestRoot/header/totalInputTransaction,Shows the total number of claim records in IB file.,Populate the total claim count in IB file,Populate the total claim count in IB file,,,
,,,,ClaimRepricingIBRequestRoot/header/inputFileType,,,,,,
,,,,ClaimRepricingIBRequestRoot/header/totalClaimCount,Shows the total number of claim records.,,,,,
,,,,ClaimRepricingIBRequestRoot/header/totalXMLTransactionCount,Shows the total number of claim records in a single xml file,Hardcoded as 1,Hardcoded as 1,,,
,,,,ClaimRepricingIBRequestRoot/header/fileCreationDate,File created date.,"Processing date/time in the format:
YYYY-MM-DD T HH:mm:ss:sss","Processing date/time in the format:
YYYY-MM-DD T HH:mm:ss:sss",,,
ISA13,Interchange Control Number,A control number assigned by the interchange sender,,ClaimRepricingIBRequestRoot/header/correlationId,Unique string or alphanumeric value identifying each file.,This will be ISA06 from IB EDI file,This will be ISA06 from IB EDI file,,,
,,,,ClaimRepricingIBRequestRoot/header/correlationIdDesc,,,,,,
ISA06,Interchange Sender ID,"Identification code published by the sender for other parties to use as the receiver
ID to route data to them; the sender always codes this value in the sender ID
element",,ClaimRepricingIBRequestRoot/header/senderId,This will be ISA06 from IB EDI file,ISA06,ISA06,,,
ISA08,Interchange Receiver ID,Receiver Id,,ClaimRepricingIBRequestRoot/header/receiverId,This will be ISA08 from IB EDI file,ISA08,ISA08,,,
,,,,ClaimRepricingIBRequestRoot/ClaimRepricingIBRequest/ClaimRepricingSubmitRequestRecordList/recordCount,Shows the total number of /ClaimRepricingSubmitRequestRecord tags  in a single xml file,,,,,
ISA13,Interchange Control Number,A control number assigned by the interchange sender,,ClaimRepricingIBRequestRoot/ClaimRepricingIBRequest/ClaimRepricingSubmitRequestRecordList/ClaimRepricingSubmitRequestRecord/recordId,Unique Record Number or ID to identify each claim in a file,A unique Identifier,A unique Identifier,,,
,,,,ClaimRepricingIBRequestRoot/ClaimRepricingIBRequest/ClaimRepricingSubmitRequestRecordList/ClaimRepricingSubmitRequestRecord/rayId,,GUID,GUID,,,
,,,,ClaimRepricingIBRequestRoot/ClaimRepricingIBRequest/ClaimRepricingSubmitRequestRecordList/ClaimRepricingSubmitRequestRecord/recordIdDesc,,,,,,
2300.REF02,Reference Identification,Repricer control number,,ClaimRepricingIBRequestRoot/ClaimRepricingIBRequest/ClaimRepricingSubmitRequestRecordList/ClaimRepricingSubmitRequestRecord/repricingClaimInput/hccClaimNumber,HCC ID of the repriced claim.,2300.REF02,2300.REF02,When 2300.REF01 = D9,,
