Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,USAGE,Enumeration Values,CDS Field Name / Hardcode,Extract layout name,Position,Level,Mapping Logic,Cuztomization,Comments,PIEDMONT,
ISA (Interchange Control Header),,,,,,,,,,,,,Mapping Value,
,ISA,Segment: Interchange Control Header,,R,,,,,,,,,,
,ISA01,Authorization Information Qualifier,Code identifying the type of information in the Authorization Information,R,"00 No Authorization Information Present (No Meaningful Information in I02)
03 Additional Data Identification","Hardcode as ""00""",,,,,,,,
,ISA02,Authorization Information,Information used for additional identification or authorization of the interchange sender or the data in the interchange; the type of information is set by the Authorization Information Qualifier (I01),R,,Leave it blank,,,,,,,,
,ISA03,Security Information Qualifier,Code identifying the type of information in the Security Information,R,"00 No Security Information Present (No Meaningful Information in I04)
01 Password","Hardcode as ""00""",,,,,,,,
,ISA04,Security Information,This is used for identifying the security information about the interchange sender or the data in the interchange; the type of information is set by the Security Information Qualifier (I03),R,,Leave it blank,,,,,,,,
,ISA05,Interchange ID Qualifier,Code indicating the system/method of code structure used to designate the sender or receiver ID element being qualified,R,"01 Duns (Dun & Bradstreet)
 14 Duns Plus Suffix
 20 Health Industry Number (HIN) CODE SOURCE 121: Health Industry Number
 27 Carrier Identification Number as assigned by Health Care Financing Administration (HCFA)
28 Fiscal Intermediary Identification Number as assigned by Health Care Financing Administration (HCFA)
29 Medicare Provider and Supplier Identification Number as assigned by Health Care Financing Administration (HCFA)
30 U.S. Federal Tax Identification Number
33 National Association of Insurance Commissioners Company Code (NAIC)
ZZ Mutually Defined","Hardcode as ""ZZ""",,,,,,,,
,ISA06,Interchange Sender ID,Identification code published by the sender for other parties to use as the receiver ID to route data to them; the sender always codes this value in the sender ID element,R,,"We need to refer the crosswalk for mapping the sender id for products is ""PRODUCT""",,,,,Yes,"Configurable value for Implementation team
PRODUCT",ClaimServiceStronglyTypedOBResponseRoot/header/senderId,
,ISA07,Interchange ID Qualifier,Code indicating the system/method of code structure used to designate the sender or receiver ID element being qualified,R,"01 Duns (Dun & Bradstreet)
14 Duns Plus Suffix
20 Health Industry Number (HIN) CODE SOURCE 121: Health Industry Number
27 Carrier Identification Number as assigned by Health Care Financing Administration (HCFA)
28 Fiscal Intermediary Identification Number as assigned by Health Care Financing Administration (HCFA)
29 Medicare Provider and Supplier Identification Number as assigned by Health Care Financing Administration (HCFA)
30 U.S. Federal Tax Identification Number
33 National Association of Insurance Commissioners Company Code (NAIC)
ZZ Mutually Defined","Hardcode as ""ZZ""",,,,,,,,
,ISA08,Interchange Receiver ID,"Identification code published by the receiver of the data; When sending, it is used by the sender as their sending ID, thus other parties sending to them will use this as a receiving ID to route data to them",R,,"Hardcode  <default value>
Hardcode  as ""123456789123456""",,,,We need to pull it from line level repricer name,Yes,"Configurable value for Implementation team
updated default values",,
,ISA09,Interchange Date,Date of the interchange,R,,"Map this value from  current date in the format of ""YYMMDD""",,,,,,,,
,ISA10,Interchange Time,Time of the interchange,R,,Map this value from   current time in the format of HHMM,,,,,,,,
