File Component,Field Name,Field Description,Level,Type,Length,Repricer,Position
,,,,,,,
Header,Header_Prefix,Field valued with ‘Header’,File,,,Y,1
Header,FILE_TYPE,"Valid values:  T or H
The file type indicates whether this file is a “to be audited” TBA File (T) or a History file (H).",File,,,Y,2
Header,FILE_SEQ,"This field contains the sequence number of the file.  This should be a value starting at 1 for the first daily and first history files received.  Subsequent files should be incremented by 1 so that each daily file has a unique FILE_SEQ number and then each history file has a unique FILE_SEQ number.  This sequence number will be used during file processing to confirm that the same file sequence number has not previously been loaded into the database.  It is important to note that the file sequence in the file name only increments for multiple files sent in the same day and will always reset to 1 for each new day.

Note: There is a separate file sequence for initial history files loaded prior to going live.  The sequence for ongoing history files should be reset to start at 1 after completion of the initial history load.",File,,,Y,3
Header,PRODUCED_DATE,This field contains the date the file was generated by the client. Date should be in CCYYMMDD format in all places,File,,,Y,4
Header,RECORD_COUNT,This field contains the total number of DETAIL records in the file.,File,,,Y,5
Header,FILE_INDICATOR,"Valid values:  'R' (retro) or 'P' (pre-pay.)
The file indicator identifies whether this file is a Retro (R) or a Pre-Pay (P) file. Use Pre-Pay (P) for prospective TBA claim extracts (claims prior to payment).  Use Retro (R) for retrospective paid claim TBA files.  Use 'R' for all History Extract files.",File,,,Y,6
Header,FILLER,"For Fixed Width files only. The header record is right-padded with spaces to equal the full length of the claim data records, taking into account the characters included in the client defined field.",File,,,Y,7
Header,TYPE_OF_FILE,This value in the field represent whether the claim is a Institutional or Professional ( INST or PROF),File,,,Y,8
,,,,,,,
Detail,TAG_VALUE_PREFIX,The value in this field represents the Tag value of the claim which falls on the prefix on each claim split. Record 0001 – should be prefixed on each claim and Record 0002 should be prefixed on all the lines of that claim,Claim,,,Y,1
Detail,TYPE_OF_FILE,This value in the field represent whether the claim is a Institutional or Professional ( INST or PROF),Claim,,,Y,2
Detail,SUB_ID,"The value in this field represents the member's identification number. In many cases, each member (subscriber and dependents) are issued an ID that is unique in the client’s system. If this ID is not unique, the data in this field combined with the DEPENDENT_NUM will be used to represent a unique member.
(Subscriber:  2010BA, NM109, NM1*IL*1) (Dependent:  2010CA, NM109, NM1*QC*1)",Claim,,,Y,3
Detail,DEPENDENT_NUM,"The value in this field represents the member’s dependent status as it relates to the insured. The value in this field, combined with the SUB_ID provides a unique member identifier. This field is required only if needed to create a unique member ID.",Claim,,,N,4
Detail,PATIENT_DOB,"The value in this field represents the patient’s date of birth.  Required for CV.  (Subscriber:  2010BA, DMG02) (Patient:  2010CA, DMG02)",Claim,,,Y,5
Detail,PATIENT_GENDER_ID,"The value in this field represents the patient’s gender.  Recommended values are M for Male, F for Female and U for Unknown.  Required for CV.  (Subscriber:  2010BA, DMG03)  (Patient:  2010CA, DMG03)",Claim,,,Y,6
Detail,PATIENT_SSN,The value in this field represents the patient’s social security number.,Claim,,,N,7
Detail,SUB_MEDICARE_ID,"This field represents the subscriber's Medicare ID and should include the trailing alpha character.  The patient's Medicare number would be provided in the PATIENT_ID field.  If the subscriber is the patient, the value in both fields would be the same.",Claim,,,N,8
Detail,MEDICAID_ID,This field represents the patient's unique Medicaid ID as assigned by the State in which they are covered.,Claim,,,N,9
