processStageName,processStatus,processMessage,JSON TRIGGER EVENT,Comments
edifecs:message received,MESSAGE READ,,,
edifecs:message received,ERROR,,,Do we need this event?
edifecs:validation,PROCESSED,,"After the Validations, if it’s a good record",
edifecs:validation failed,ERROR,"Detailed Error details in below format( for EDI )
(Err ID, ErrData, ErrSegment, ErrPath, ErrBrief) seprated by '||'.  Total error message length is 5000  with a max of 300 characters  recorded for  one error.","After the Validations, if it’s a bad record",
edifecs:conversion,PROCESSED,,After the XML conversion if it’s a success,
edifecs:conversion failed,ERROR,"Detailed Error details in below format( for EDI )
(Err ID, ErrData, ErrSegment, ErrPath, ErrBrief) seprated by '||'.  Total error message length is 5000  with a max of 300 characters  recorded for  one error.",After the XML conversion if it’s a failure,
,,,,
edifecs:file level validation error,ERROR,"Detailed Error details
(Err ID, ErrData, ErrSegment, ErrPath, ErrBrief) seprated by '||'.  Total error message length is 5000  with a max of 300 characters  recorded for  one error.",In case the full file is rejected due to error in header segments. – File level,
edifecs:validation failed,ERROR,Duplicate_File_<FileName>,In case the duplicate file name,
edifecs:validation failed,ERROR,Duplicate_Interchange_<SenderId>_<ReciverId>_<Time>_<Date>_<InterchangeControlNumber>,In case the interchange Duplicate,
