XML Field,HRP Element Description,Cotiviti-Inst,Cotiviti-Prof,Mapping Logic,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/inputId,,UID,UID,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/inputType,,"""INST""","""PROF""",,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/totalTransaction,,no of input in  file - total number of lines,no of input in  file - total number of lines,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/inputFilename,,IB DFF name with filename extension,IB DFF name with filename extension,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/inputArchiveFilename,,Archived file name with filename extension,Archived file name with filename extension,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/totalClaimCount,,No of claims in DFF,No of claims in DFF,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/totalXMLTransactionCount,,1 (1 claim each file),1 (1 claim each file),,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/XMLfileCreationDate,,2008-06-16T07:12:48(format),2008-06-16T07:12:48(format),,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/senderId,,Cotiviti Inst,Cotiviti Prof,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/receiverId,,Hardcode as 'Product',Hardcode as 'Product',,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/recordCount,,1 (1 claim each file),1 (1 claim each file),,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/recordIdentifier,,GUID,GUID,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/rayIdentifier,,GUID,GUID,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/tenantIdentifier,,NA,NA,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/SourceTypeIdentifier,,Cotiviti,Cotiviti,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/recordIdentifierFromSource,,Same as recordIdentifier,Same as recordIdentifier,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/referenceIdentifier,,NA,NA,,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/hccClaimNumber,HCC Claim number,CLAIM_ID,CLAIM_ID,,
