XML Field,HRP Element Description,Evicore,Mapping Logic
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/inputId,,UID,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/inputType,,HCFA/UB Indicator,"UB04- INST
1500-PROF"
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/totalTransaction,,no of input in  file - total number of lines,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/inputFilename,,IB DFF name with filename extension,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/inputArchiveFilename,,Archived file name with filename extension,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/totalClaimCount,,No of claims in DFF,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/totalXMLTransactionCount,,1 (1 claim each file),
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/XMLfileCreationDate,,2008-06-16T07:12:48(format),
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/senderId,,Evicore,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/header/receiverId,,Hardcode as 'Product',
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/recordCount,,1 (1 claim each file),
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/recordIdentifier,,GUID,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/rayIdentifier,,GUID,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/tenantIdentifier,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/SourceTypeIdentifier,,Evicore,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/recordIdentifierFromSource,,Same as recordIdentifier,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/referenceIdentifier,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/hccClaimNumber,HCC Claim number,HealthPlan Claim Id,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/hccLineNumber,Line number,HealthPlan Line Number,"Remove leading zeros if present.

i.e.  If the DFF is having 0001, populate hccLineNumber as 1."
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/subUnit,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/recHcpcs,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/recModifier01,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/recModifier02,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/recModifier03,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/recModifier04,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/recModifier05,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/recModifier06,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/recModifier07,,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/recModifier08,"Identifies the type of external edit to apply to the identified claim or claim
line:
DENY_LINE – Denies the specified claim or claim line; no other values are required.
PARTIAL_DENY – Adjust the units in a claim line. You must supply both originalUnits and adjustmentUnits.
APPLY_PERCENTAGE — Adjust the payment amount. The
adjustmentPercentage represents the final value to use for the claim (line).",NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/actions/action/actionType,Reason code,Reason Code,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/actions/action/reasons/reason/code,Reson code Description,Reason Code,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/actions/action/reasons/reason/description,,"Reason Code + Space + ""Action Reason""",
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/actions/action/originalUnits,,Quantity,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/actions/action/adjustedUnits,,Pay Qty,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/actions/action/adjustmentPercentage,Must be a CodeEntry that has been defined in HealthRules Payer,NA,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/claimLines/claimLine/actions/action/userMessageCode,,Reason Code,
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/adjustmentReasonCode,,1 (hardcoded),
ClaimEditingAdaptorRequest/ClaimEditingIBRequestRoot/ClaimEditingIBRequest/ClaimEditingRequestRecordList/ClaimEditingRequestRecord/externalEditClaim/adjustmentLogNote,,Reason Code of line 1,
