CDS VALUE / Hardcode,Position,Level
Header,,
Header_Prefix,1,File
FILE_TYPE,2,File
FILE_SEQ,3,File
PRODUCED_DATE,4,File
RECORD_COUNT,5,File
FILE_INDICATOR,6,File
FILLER,7,File
TYPE_OF_FILE,8,File
Details,,
TAG_VALUE_PREFIX,1,Claim
TYPE_OF_FILE,2,Claim
SUB_ID,3,Claim
PATIENT_DOB,5,Claim
PATIENT_GENDER_ID,6,Claim
PATIENT_CONTROL_NUMBER,11,Claim
PATIENT_LAST_NAME,12,Claim
PATIENT_FIRST_NAME,13,Claim
PATIENT_MIDDLE_NAME,14,Claim
PATIENT_NAME_SUFFIX,15,Claim
RELATIONSHIP_TO_SUB,16,Claim
CLAIM_ID,18,Claim
MED_REC_NO,20,Claim
BILL_TYPE,21,Claim
CONDITION_CODE_1,22,Claim
CONDITION_CODE_2,23,Claim
CONDITION_CODE_3,24,Claim
CONDITION_CODE_4,25,Claim
CONDITION_CODE_5,26,Claim
CONDITION_CODE_6,27,Claim
CONDITION_CODE_7,28,Claim
CONDITION_CODE_8,29,Claim
CONDITION_CODE_9,30,Claim
CONDITION_CODE_10,31,Claim
CONDITION_CODE_11,32,Claim
CONDITION_CODE_12,33,Claim
CONDITION_CODE_13,34,Claim
CONDITION_CODE_14,35,Claim
CONDITION_CODE_15,36,Claim
CONDITION_CODE_16,37,Claim
CONDITION_CODE_17,38,Claim
CONDITION_CODE_18,39,Claim
CONDITION_CODE_19,40,Claim
CONDITION_CODE_20,41,Claim
CONDITION_CODE_21,42,Claim
CONDITION_CODE_22,43,Claim
CONDITION_CODE_23,44,Claim
CONDITION_CODE_24,45,Claim
VALUE_CODE_1,46,Claim
VALUE_AMOUNT_1,47,Claim
VALUE_CODE_2,48,Claim
VALUE_AMOUNT_2,49,Claim
VALUE_CODE_3,50,Claim
VALUE_AMOUNT_3,51,Claim
VALUE_CODE_4,52,Claim
VALUE_AMOUNT_4,53,Claim
VALUE_CODE_5,54,Claim
VALUE_AMOUNT_5,55,Claim
VALUE_CODE_6,56,Claim
VALUE_AMOUNT_6,57,Claim
VALUE_CODE_7,58,Claim
VALUE_AMOUNT_7,59,Claim
VALUE_CODE_8,60,Claim
VALUE_AMOUNT_8,61,Claim
VALUE_CODE_9,62,Claim
