CDS VALUE / Hardcode,Position,Level
Header,,
Header_Prefix,1,File
FILE_TYPE,2,File
FILE_SEQ,3,File
PRODUCED_DATE,4,File
RECORD_COUNT,5,File
FILE_INDICATOR,6,File
FILLER,7,File
TYPE_OF_FILE,8,File
Details,,
TAG_VALUE_PREFIX,1,Claim
TYPE_OF_FILE,2,Claim
SUB_ID,3,Claim
PATIENT_DOB,5,Claim
PATIENT_GENDER_ID,6,Claim
PATIENT_CONTROL_NUM,11,Claim
PATIENT_LAST_NAME,12,Claim
PATIENT_FIRST_NAME,13,Claim
PATIENT_MIDDLE_NAME,14,Claim
PATIENT_NAME_SUFFIX,15,Claim
RELATIONSHIP_TO_SUB,16,Claim
CLAIM_ID,19,Claim
MED_REC_NO,21,Claim
DIAGNOSIS_CODE_1,23,CLaim
DIAGNOSIS_CODE_2,25,CLaim
DIAGNOSIS_CODE_3,27,CLaim
DIAGNOSIS_CODE_4,29,CLaim
DIAGNOSIS_CODE_5,31,CLaim
DIAGNOSIS_CODE_6,33,CLaim
DIAGNOSIS_CODE_7,35,CLaim
DIAGNOSIS_CODE_8,37,CLaim
DIAGNOSIS_CODE_9,39,CLaim
DIAGNOSIS_CODE_10,41,CLaim
DIAGNOSIS_CODE_11,43,CLaim
DIAGNOSIS_CODE_12,45,CLaim
DIAGNOSIS_CODE_13,47,CLaim
REFERRING_NPI,80,Line
RENDERING_PRACTITIONER__TAXONOMY_CODE,83,Line
RENDERING_PRACTITIONER__LAST_NAME,85,Line
RENDERING_PRACTITIONER__FIRST_NAME,86,Line
RENDERING_PRACTITIONER__MIDDLE_NAME,87,Line
RENDERING_PRACTITIONER__NAME_SUFFIX,88,Line
BILLING_STATE_LICENSE,105,Line
BILLING_TAXGROUP_ID,106,Line
BILLING_NPI,107,Line
Hard code as '2',112,Line
BILLING_LAST_NAME,113,Line
BILLING_FIRST_NAME,114,Line
BILLING_MIDDLE_NAME,115,Line
BILLING_NAME_SUFFIX,116,Line
BILLING_ADDRESS_1,117,Line
BILLING_ADDRESS_2,118,Line
BILLING_CITY,119,Line
BILLING_STATE,120,Line
(BILLING_ZIP) + (BILLING_ZIP_PLUS_4),122,Line
BILLING_COUNTRY,123,Line
LINE_SEQ,141,Line
POS_ID,144,Line
POS_ID,144,Line
DIAG_PTR1,146,Line
DIAG_PTR2,146,Line
DIAG_PTR3,146,Line
DIAG_PTR4,146,Line
SUB_HCPCS,158,Line
SUB_MOD_01,159,Line
SUB_MOD_02,160,Line
SUB_MOD_03,161,Line
SUB_MOD_04,162,Line
SUB_UNITS,168,Line
SUB_AMOUNT,169,Line
SUB_NDC,171,Line
SUB_NDC_UNITS,172,Line
SUB_NDC_UNITS_TYPE,173,Line
ASSIGNMENT_OF_BENEFITS,207,Claim
CLAIM_BILLED_AMOUNT,208,Claim
CLAIM_ID_ORIG,237,Claim
SUB_CLAIM_FILING_CODE,242,Claim
SUB_LAST_NAME,243,Claim
SUB_FIRST_NAME,244,Claim
SUB_MIDDLE_NAME,245,Claim
SUB_NAME_SUFFIX,246,Claim
SUB_ADDRESS_1,247,Claim
SUB_ADDDRESS_2,248,Claim
SUB_CITY,249,Claim
SUB_STATE,250,Claim
SUB_COUNTRY,253,Claim
SUB_DOB,255,Claim
SUB_GENDER_ID,256,Claim
PATIENT_ADDRESS_1,258,Claim
PATIENT_ADDRESS_2,259,Claim
PATIENT_CITY,260,Claim
PATIENT_STATE,261,Claim
PATIENT_COUNTRY,264,Claim
PAY_TO_ADDRESS_1,272,Line
PAY_TO_ADDRESS_2,273,Line
PAY_TO_CITY,274,Line
PAY_TO_STATE,275,Line
PAY_TO_COUNTRY,278,Line
REFERRING_NPI,80,Line
REFERRING_LAST_NAME,288,Line
REFERRING_FIRST_NAME,289,Line
REFERRING_MIDDLE_NAME,290,Line
REFERRING_NAME_SUFFIX,291,Line
CLAIM_FREQUENCY_CODE,426,Claim
SUB_MEMBER_GROUP_NUMBER,503,Claim
PROVIDER_SIGNATURE_PRESENT,504,Claim
ASSIGNMENT_ACCEPTANCE,505,Claim
INFORMATION_RELEASE,506,Claim
Rendering_Facility_ Address_Country,514,Claim
REPRICER_NAME,515,Line
"BILLING_PHONE_COUNTRY_CODE +
BILLING_PHONE + BILLING_PHONE_EXT",126+127+128,Line
"BILLING_FAX_COUNTRY_CODE +
BILLING_FAX",132 + 133,Line
DOS_FROM - DOS_TO,142 + 143,Line
(SUB_ZIP) + ( SUB_ZIP_PLUS_4),251 + 252,Claim
(PATIENT_ZIP) + (PATIENT_ZIP_PLUS_4),262 + 263,Claim
(PAY_TO_ZIP) + (PAY_TO_ZIP_PLUS_4),276 + 277,Line
Rendering_Facility_ Name,507,Claim
Rendering_Facility_ NPI,508,Claim
Rendering_Facility_ Address_1,509,Claim
Rendering_Facility_ Address_2,510,Claim
Rendering_Facility_ Address_City,511,Claim
Rendering_Facility_ Address_State,512,Claim
Rendering_Facility_ Address_Zip + Rendering_Facility_ Addres_ZIP_PLUS_4,513,Claim
,,
TRAILER_CONSTANT,1,File
DETAIL_COUNT,2,File
RUN_DATE,3,File
RUN_TIME,4,File
FILLER,5,File
