File Component,Field Name,Field Description,Level,Type,Length,"Fixed Width
files only",,Repricer,Position,Secomdary Editing,Position,
,,,,,,From,To,,,,,
Header,STREAM_ID,The value in this field represents a short description of the client’s payer stream name under which multiple payer short files will be provided. Example [XYZ Health Plan of NY] should be represented by “XYZNY”.  This value will be assigned and provided to the client during the implementation phase.,File,Text,5,1,5,Y,1,Y,1,
Header,FILE_TYPE,"Valid values:  T or H
The file type indicates whether this file is a “to be audited” TBA File (T) or a History file (H).",File,Text,1,6,6,Y,2,Y,2,
Header,FILE_SEQ,"This field contains the sequence number of the file.  This should be a value starting at 1 for the first daily and first history files received.  Subsequent files should be incremented by 1 so that each daily file has a unique FILE_SEQ number and then each history file has a unique FILE_SEQ number.  This sequence number will be used during file processing to confirm that the same file sequence number has not previously been loaded into the database.  It is important to note that the file sequence in the file name only increments for multiple files sent in the same day and will always reset to 1 for each new day.

Note: There is a separate file sequence for initial history files loaded prior to going live.  The sequence for ongoing history files should be reset to start at 1 after completion of the initial history load.",File,Numeric,7,7,13,Y,3,Y,3,
Header,PRODUCED_DATE,This field contains the date the file was generated by the client. Date should be in CCYYMMDD format in all places,File,"Date
YYYYMMDD",8,14,21,Y,4,Y,4,
Header,RECORD_COUNT,This field contains the total number of DETAIL records in the file.,File,Numeric,10,22,31,Y,5,Y,5,
Header,FILE_INDICATOR,"Valid values:  'R' (retro) or 'P' (pre-pay.)
The file indicator identifies whether this file is a Retro (R) or a Pre-Pay (P) file. Use Pre-Pay (P) for prospective TBA claim extracts (claims prior to payment).  Use Retro (R) for retrospective paid claim TBA files.  Use 'R' for all History Extract files.",File,Text,1,32,32,Y,6,Y,6,
Header,FILLER,"For Fixed Width files only. The header record is right-padded with spaces to equal the full length of the claim data records, taking into account the characters included in the client defined field.",File,Text,7220,33,7252,Y,7,Y,7,
,,,,,,,,,,,,
Detail,TAG_VALUE_PREFIX,The value in this field represents the Tag value of the claim which falls on the prefix on each claim split. Record 0001 – should be prefixed on each claim and Record 0002 should be prefixed on all the lines of that claim,Claim,Numeric,4,1,5,Y,1,Y,1,
Detail,TYPE_OF_FILE,This value in the field represent whether the claim is a Institutional or Professional ( INST or PROF),Claim,Text,4,6,9,,,Y,2,
Detail,PAYER_SHORT,The value in this field represents a short description of the client’s name. Example [XYZ Health Plan of NY] should be represented by “XYZNY”.  This value will be assigned and provided to the client during the implementation phase.,Claim,Text,5,10,14,,,Y,3,
Detail,CLAIM_TYPE,"The value in this field represents the type of claim submitted for payment.  The following values are valid for this field:
     O - Outpatient facility claims
     S - Ambulatory Surgical Center claims
     I - Inpatient claims processed via Outpatient
Required for CV.",Claim,Text,1,15,15,Y,2,Y,4,
Detail,SUB_ID,"The value in this field represents the member's identification number. In many cases, each member (subscriber and dependents) are issued an ID that is unique in the client’s system. If this ID is not unique, the data in this field combined with the DEPENDENT_NUM will be used to represent a unique member.
(Subscriber:  2010BA, NM109, NM1*IL*1) (Dependent:  2010CA, NM109, NM1*QC*1)",Claim,Text,25,16,40,Y,3,Y,5,
Detail,DEPENDENT_NUM,"The value in this field represents the member’s dependent status as it relates to the insured. The value in this field, combined with the SUB_ID provides a unique member identifier. This field is required only if needed to create a unique member ID.",Claim,Text,10,41,50,N,4,N,6,
Detail,PATIENT_DOB,"The value in this field represents the patient’s date of birth.  Required for CV.  (Subscriber:  2010BA, DMG02) (Patient:  2010CA, DMG02)",Claim,"Date
YYYYMMDD",8,51,58,Y,5,Y,7,
Detail,PATIENT_GENDER_ID,"The value in this field represents the patient’s gender.  Recommended values are M for Male, F for Female and U for Unknown.  Required for CV.  (Subscriber:  2010BA, DMG03)  (Patient:  2010CA, DMG03)",Claim,Text,10,59,68,Y,6,Y,8,
Detail,PATIENT_SSN,The value in this field represents the patient’s social security number.,Claim,Text,9,69,77,N,7,N,9,
Detail,SUB_MEDICARE_ID,"This field represents the subscriber's Medicare ID and should include the trailing alpha character.  The patient's Medicare number would be provided in the PATIENT_ID field.  If the subscriber is the patient, the value in both fields would be the same.",Claim,Text,25,78,102,N,8,N,10,
Detail,MEDICAID_ID,This field represents the patient's unique Medicaid ID as assigned by the State in which they are covered.,Claim,Text,25,103,127,N,9,N,11,
Detail,PATIENT_ID,"The value in this field represents an alternate patient identification number, not otherwise specified in the layout. Required for CV.",Claim,Text,20,128,147,N,10,N,12,
Detail,PATIENT_CONTROL_NUM,"The value in this field represents the Patient Control Number, also referred to as the Patient Account Number and is assigned by the provider or facility.  (2300, CLM01)",Claim,Text,24,148,171,Y,11,Y,13,
Detail,PATIENT_LAST_NAME,"The value in this field represents the patient’s last name. (Subscriber:  2010BA, NM103)  (Patient: 2010CA, NM103)",Claim,Text,60,172,231,Y,12,Y,14,
Detail,PATIENT_FIRST_NAME,"The value in this field represents the patient’s first name.  (Subscriber:  2010BA, NM104) (Patient: 2010CA, NM104)",Claim,Text,35,232,266,Y,13,Y,15,
Detail,PATIENT_MIDDLE_NAME,"The value in this field represents the patient's middle name.  This is required by CMS when needed to identify the individual. (Subscriber: 2010BA, NM105) (Patient: 2010CA, NM105)",Claim,Text,25,267,291,Y,14,Y,16,
Detail,PATIENT_NAME_SUFFIX,"The value in this field represents the suffix attached to the patient's name.  This is required by CMS when needed to identify the individual. (Subscriber: 2010BA, NM105) (Patient: 2010CA, NM105)",Claim,Text,10,292,301,Y,15,Y,17,
Detail,RELATIONSHIP_TO_SUB,"The value in this field defines the patient's relationship to the subscriber.  CMS values are:
01 - Spouse
18 - Self
19 - Child
20 - Employee
21 - Unknown
39 - Organ Donor
40 - Cadaver Donor
53 - Life Partner
G8 - Other Relationship
Required for CV.
(Subscriber: 2000B, SBR02)  (Dependent:  2000C, PAT01)",Claim,Text,2,302,303,Y,16,Y,18,
Detail,PATIENT_DEATH_DATE,The value in this field represents the patient's date of death.,Claim,"Date
YYYYMMDD",8,304,311,N,17,N,19,
Detail,CLAIM_ID,"The value in this field represents the client’s claim identification number. This should be a claim ID that is unique in the client’s system. If this ID is not unique, please advise what other data is required to make it unique. Required for CV.",Claim,Text,25,312,336,Y,18,Y,20,
Detail,PROVIDER_CLAIM_ID,"The value in this field represents the provider’s claim identification number. This should be a claim ID that is unique in the provider’s system. If this ID is not unique, please advise what other data is required to make it unique.",Claim,Text,25,337,361,N,19,N,21,
Detail,MED_REC_NO,"The value in this field represents the Medical Record Number from the rendering provider or facility.  (2300, REF02, REF*EA)",Claim,Text,24,362,385,Y,20,Y,22,
Detail,BILL_TYPE,"The value in this field represents the Type of Bill.  This field is used to indicate the type of bill for Medicare’s billing purposes.  Any legacy 3-digit codes should have a leading 0 added to make up the 4 character value. (2300, CLM05-1) Required for CV.",Claim,Text,4,386,389,Y,21,Y,23,
Detail,CONDITION_CODE_01,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI01-2, HI*BG)",Claim,Text,2,390,391,Y,22,Y,24,
Detail,CONDITION_CODE_02,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI02-2, HI*BG)",Claim,Text,2,392,393,Y,23,Y,25,
Detail,CONDITION_CODE_03,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI03-2, HI*BG)",Claim,Text,2,394,395,Y,24,Y,26,
Detail,CONDITION_CODE_04,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI04-2, HI*BG)",Claim,Text,2,396,397,Y,25,Y,27,
Detail,CONDITION_CODE_05,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI05-2, HI*BG)",Claim,Text,2,398,399,Y,26,Y,28,
Detail,CONDITION_CODE_06,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI06-2, HI*BG)",Claim,Text,2,400,401,Y,27,Y,29,
Detail,CONDITION_CODE_07,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, H107-2, HI*BG)",Claim,Text,2,402,403,Y,28,Y,30,
Detail,CONDITION_CODE_08,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI08-2, HI*BG)",Claim,Text,2,404,405,Y,29,Y,31,
Detail,CONDITION_CODE_09,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI09-2, HI*BG)",Claim,Text,2,406,407,Y,30,Y,32,
Detail,CONDITION_CODE_10,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI10-2, HI*BG)",Claim,Text,2,408,409,Y,31,Y,33,
Detail,CONDITION_CODE_11,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI11-2, HI*BG)",Claim,Text,2,410,411,Y,32,Y,34,
Detail,CONDITION_CODE_12,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI12-2, HI*BG)",Claim,Text,2,412,413,Y,33,Y,35,
Detail,CONDITION_CODE_13,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,414,415,Y,34,Y,36,
Detail,CONDITION_CODE_14,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,416,417,Y,35,Y,37,
Detail,CONDITION_CODE_15,"The value in this field represents the Condition Code used to indicate the patient’s eligibility, benefits and how to administer the primary and secondary insurances.  (2300, HI*BG Segment Repeat)",Claim,Text,2,418,419,Y,36,Y,38,
