"#","Table Area","Loop Position","Loop ID","Loop Name","Segment Position","Segment ID","Segment Name","Composite Position","Composite ID","Composite Name","Element Position","Element ID","Element Name","Standard Option","User Option","Excluded","Max use","Data Type","Min Length","Max Length","Codelist"
"1","Not Defined",,,,,"ISA","Interchange Control Header",,,,,,,"Mandatory","Required","NO","1",,,,
"2",,,,,,,,,,,"01","I01","Authorization Information Qualifier","Mandatory","Required","NO","1","ID","2","2","00,03"
"3",,,,,,,,,,,"02","I02","Authorization Information","Mandatory","Required","NO","1","AN","10","10",
"4",,,,,,,,,,,"03","I03","Security Information Qualifier","Mandatory","Required","NO","1","ID","2","2","00,01,"
"5",,,,,,,,,,,"04","I04","Security Information","Mandatory","Required","NO","1","AN","10","10",
"6",,,,,,,,,,,"05","I05","Interchange ID Qualifier","Mandatory","Required","NO","1","ID","2","2","01,14,20,27,28,29,30,33,ZZ"
"7",,,,,,,,,,,"06","I06","Interchange Sender ID","Mandatory","Required","NO","1","AN","15","15",
"8",,,,,,,,,,,"07","I05","Interchange ID Qualifier","Mandatory","Required","NO","1","ID","2","2","01,14,20,27,28,29,30,33,ZZ"
"9",,,,,,,,,,,"08","I07","Interchange Receiver ID","Mandatory","Required","NO","1","AN","15","15",
"10",,,,,,,,,,,"09","I08","Interchange Date","Mandatory","Required","NO","1","DT","6","6",
"11",,,,,,,,,,,"10","I09","Interchange Time","Mandatory","Required","NO","1","TM","4","4",
"12",,,,,,,,,,,"11","I65","Repetition Separator","Mandatory","Required","NO","1",,"1","1",
"13",,,,,,,,,,,"12","I11","Interchange Control Version Number","Mandatory","Required","NO","1","ID","5","5","00501"
"14",,,,,,,,,,,"13","I12","Interchange Control Number","Mandatory","Required","NO","1","N0","9","9",
"15",,,,,,,,,,,"14","I13","Acknowledgment Requested","Mandatory","Required","NO","1","ID","1","1","0,1,"
"16",,,,,,,,,,,"15","I14","Interchange Usage Indicator","Mandatory","Required","NO","1","ID","1","1","P,T"
"17",,,,,,,,,,,"16","I15","Component Element Separator","Mandatory","Required","NO","1",,"1","1",
"18","Not Defined",,,,,"GS","Functional Group Header",,,,,,,"Mandatory","Required","NO","1",,,,
"19",,,,,,,,,,,"01","479","Functional Identifier Code","Mandatory","Required","NO","1","ID","2","2","BE"
"20",,,,,,,,,,,"02","142","Application Sender's Code","Mandatory","Required","NO","1","AN","2","15",
"21",,,,,,,,,,,"03","124","Application Receiver's Code","Mandatory","Required","NO","1","AN","2","15",
"22",,,,,,,,,,,"04","373","Date","Mandatory","Required","NO","1","DT","8","8",
"23",,,,,,,,,,,"05","337","Time","Mandatory","Required","NO","1","TM","4","8",
"24",,,,,,,,,,,"06","28","Group Control Number","Mandatory","Required","NO","1","N0","1","9",
"25",,,,,,,,,,,"07","455","Responsible Agency Code","Mandatory","Required","NO","1","ID","1","2","X"
"26",,,,,,,,,,,"08","480","Version / Release / Industry Identifier Code","Mandatory","Required","NO","1","AN","1","12","005010X220A1"
"27","Heading",,,,"0100","ST","Transaction Set Header",,,,,,,"Mandatory","Required","NO","1",,,,
"28",,,,,,,,,,,"01","143","Transaction Set Identifier Code","Mandatory","Required","NO","1","ID","3","3","834"
"29",,,,,,,,,,,"02","329","Transaction Set Control Number","Mandatory","Required","NO","1","AN","4","9",
"30",,,,,,,,,,,"03","1705","Implementation Convention Reference","Optional","Required","NO","1","AN","1","35",
"31","Heading",,,,"0200","BGN","Beginning Segment",,,,,,,"Mandatory","Required","NO","1",,,,
"32",,,,,,,,,,,"01","353","Transaction Set Purpose Code","Mandatory","Required","NO","1","ID","2","2","00,15,22"
"33",,,,,,,,,,,"02","127","Reference Identification","Mandatory","Required","NO","1","AN","1","50",
"34",,,,,,,,,,,"03","373","Date","Mandatory","Required","NO","1","DT","8","8",
"35",,,,,,,,,,,"04","337","Time","Relational","Required","NO","1","TM","4","8",
"36",,,,,,,,,,,"05","623","Time Code","Optional","Situational","NO","1","ID","2","2","01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,AD,AS,AT,CD,CS,CT,ED,ES,ET,GM,HD,HS,HT,LT,MD,MS,MT,ND,NS,NT,PD,PS,PT,TD,TS,TT,UT"
"37",,,,,,,,,,,"06","127","Reference Identification","Optional","Situational","NO","1","AN","1","50",
"38",,,,,,,,,,,"08","306","Action Code","Optional","Required","NO","1","ID","1","2","2,4,RX"
"39","Heading",,,,"0300","REF","Transaction Set Policy Number",,,,,,,"Optional","Situational","NO","1",,,,
"40",,,,,,,,,,,"01","128","Reference Identification Qualifier","Mandatory","Required","NO","1","ID","2","3","38"
"41",,,,,,,,,,,"02","127","Reference Identification","Relational","Required","NO","1","AN","1","50",
"42","Heading",,,,"0400","DTP","File Effective Date",,,,,,,"Optional","Situational","NO",">1",,,,
"43",,,,,,,,,,,"01","374","Date/Time Qualifier","Mandatory","Required","NO","1","ID","3","3","007,090,091,303,382,388"
"44",,,,,,,,,,,"02","1250","Date Time Period Format Qualifier","Mandatory","Required","NO","1","ID","2","3","D8"
"45",,,,,,,,,,,"03","1251","Date Time Period","Mandatory","Required","NO","1","AN","1","35",
"46","Heading",,,,"0600","QTY","Transaction Set Control Totals",,,,,,,"Optional","Situational","NO","3",,,,
"47",,,,,,,,,,,"01","673","Quantity Qualifier","Mandatory","Required","NO","1","ID","2","2","DT,ET,TO"
"48",,,,,,,,,,,"02","380","Quantity","Relational","Required","NO","1","R","1","15",
"49","Heading","0700","1000A","Sponsor Name",,,,,,,,,,"Mandatory","Required","NO","1",,,,
"50","Heading",,,,"0700","N1","Sponsor Name",,,,,,,"Mandatory","Required","NO","1",,,,
"51",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","P5"
"52",,,,,,,,,,,"02","93","Name","Relational","Situational","NO","1","AN","1","60",
"53",,,,,,,,,,,"03","66","Identification Code Qualifier","Relational","Required","NO","1","ID","1","2","24,94,FI"
"54",,,,,,,,,,,"04","67","Identification Code","Relational","Required","NO","1","AN","2","80",
,,,,,,,,,,,,,,,,,,,,,
"55","Heading","0700","1000B","Payer",,,,,,,,,,"Mandatory","Required","NO","1",,,,
"56","Heading",,,,"0700","N1","Payer",,,,,,,"Mandatory","Required","NO","1",,,,
"57",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","IN"
"58",,,,,,,,,,,"02","93","Name","Relational","Situational","NO","1","AN","1","60",
"59",,,,,,,,,,,"03","66","Identification Code Qualifier","Relational","Required","NO","1","ID","1","2","94,FI,XV"
"60",,,,,,,,,,,"04","67","Identification Code","Relational","Required","NO","1","AN","2","80",
,,,,,,,,,,,,,,,,,,,,,
"61","Heading","0700","1000C","TPA/Broker Name",,,,,,,,,,"Optional","Situational","NO","2",,,,
"62","Heading",,,,"0700","N1","TPA/Broker Name",,,,,,,"Optional","Situational","NO","1",,,,
"63",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","BO,TV"
"64",,,,,,,,,,,"02","93","Name","Relational","Required","NO","1","AN","1","60",
"65",,,,,,,,,,,"03","66","Identification Code Qualifier","Relational","Required","NO","1","ID","1","2","94,FI,XV"
"66",,,,,,,,,,,"04","67","Identification Code","Relational","Required","NO","1","AN","2","80",
"67","Heading","1200","1100C","TPA/Broker Account Information",,,,,,,,,,"Optional","Situational","NO","1",,,,
"68","Heading",,,,"1200","ACT","TPA/Broker Account Information",,,,,,,"Optional","Situational","NO","1",,,,
"69",,,,,,,,,,,"01","508","Account Number","Mandatory","Required","NO","1","AN","1","35",
"70",,,,,,,,,,,"06","508","Account Number","Relational","Situational","NO","1","AN","1","35",
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"71","Detail","0100","2000","Member Level Detail",,,,,,,,,,"Optional","Required","NO",">1",,,,
"72","Detail",,,,"0100","INS","Member Level Detail",,,,,,,"Optional","Required","NO","1",,,,
"73",,,,,,,,,,,"01","1073","Yes/No Condition or Response Code","Mandatory","Required","NO","1","ID","1","1","N,Y"
"74",,,,,,,,,,,"02","1069","Individual Relationship Code","Mandatory","Required","NO","1","ID","2","2","01,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,23,24,25,26,31,38,53,60,D2,G8,G9"
"75",,,,,,,,,,,"03","875","Maintenance Type Code","Optional","Required","NO","1","ID","3","3","001,021,024,025,030"
"76",,,,,,,,,,,"04","1203","Maintenance Reason Code","Optional","Situational","NO","1","ID","2","3","01,02,03,04,05,06,07,08,09,10,11,14,15,16,17,18,20,21,22,25,26,27,28,29,31,32,33,37,38,39,40,41,43,59,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AL,EC,XN,XT"
"77",,,,,,,,,,,"05","1216","Benefit Status Code","Optional","Required","NO","1","ID","1","1","A,C,S,T"
"78",,,,,,,,"06","C052","Medicare Status Code",,,,"Optional","Situational","NO","1",,,,
"79",,,,,,,,,,,"01","1218","Medicare Plan Code","Mandatory","Required","NO","1","ID","1","1","A,B,C,D,E"
"80",,,,,,,,,,,"02","1701","Eligibility Reason Code","Optional","Situational","NO","1","ID","1","1","0,1,2"
"81",,,,,,,,,,,"07","1219","Consolidated Omnibus Budget Reconciliation Act (COBRA) Qualifying Event Code","Optional","Situational","NO","1","ID","1","2","1,2,3,4,5,6,7,8,9,10,ZZ"
"82",,,,,,,,,,,"08","584","Employment Status Code","Optional","Situational","NO","1","ID","2","2","AC,AO,AU,FT,L1,PT,RT,TE"
"83",,,,,,,,,,,"09","1220","Student Status Code","Optional","Situational","NO","1","ID","1","1","F,N,P"
"84",,,,,,,,,,,"10","1073","Yes/No Condition or Response Code","Optional","Situational","NO","1","ID","1","1","N,Y"
"85",,,,,,,,,,,"11","1250","Date Time Period Format Qualifier","Relational","Situational","NO","1","ID","2","3","D8"
"86",,,,,,,,,,,"12","1251","Date Time Period","Relational","Situational","NO","1","AN","1","35",
"87",,,,,,,,,,,"13","1165","Confidentiality Code","Optional","Situational","NO","1","ID","1","1","R,U"
"88",,,,,,,,,,,"17","1470","Number","Optional","Situational","NO","1","N0","1","9",
"89","Detail",,,,"0200","REF","Subscriber Identifier",,,,,,,"Mandatory","Required","NO","1",,,,
"90",,,,,,,,,,,"01","128","Reference Identification Qualifier","Mandatory","Required","NO","1","ID","2","3","0F"
"91",,,,,,,,,,,"02","127","Reference Identification","Relational","Required","NO","1","AN","1","50",
"92","Detail",,,,"0200","REF","Member Policy Number",,,,,,,"Optional","Situational","NO","1",,,,
"93",,,,,,,,,,,"01","128","Reference Identification Qualifier","Mandatory","Required","NO","1","ID","2","3","1L"
"94",,,,,,,,,,,"02","127","Reference Identification","Relational","Required","NO","1","AN","1","50",
"95","Detail",,,,"0200","REF","Member Supplemental Identifier",,,,,,,"Optional","Situational","NO","13",,,,
"96",,,,,,,,,,,"01","128","Reference Identification Qualifier","Mandatory","Required","NO","1","ID","2","3","17,23,3H,4A,6O,D3,DX,F6,P5,Q4,QQ,ZZ,ABB"
"97",,,,,,,,,,,"02","127","Reference Identification","Relational","Required","NO","1","AN","1","50",
"98","Detail",,,,"0250","DTP","Member Level Dates",,,,,,,"Optional","Situational","NO","24",,,,
"99",,,,,,,,,,,"01","374","Date/Time Qualifier","Mandatory","Required","NO","1","ID","3","3","050,286,296,297,300,301,303,336,337,338,339,340,341,350,351,356,357,383,385,386,393,394,473,474"
"100",,,,,,,,,,,"02","1250","Date Time Period Format Qualifier","Mandatory","Required","NO","1","ID","2","3","D8"
"101",,,,,,,,,,,"03","1251","Date Time Period","Mandatory","Required","NO","1","AN","1","35",
"102","Detail","0300","2100A","Member Name",,,,,,,,,,"Optional","Required","NO","1",,,,
"103","Detail",,,,"0300","NM1","Member Name",,,,,,,"Optional","Required","NO","1",,,,
"104",,,,,,,,,,,"01","98","Entity Identifier Code","Mandatory","Required","NO","1","ID","2","3","74,IL"
"105",,,,,,,,,,,"02","1065","Entity Type Qualifier","Mandatory","Required","NO","1","ID","1","1","1"
"106",,,,,,,,,,,"03","1035","Name Last or Organization Name","Relational","Required","NO","1","AN","1","60",
